date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-31,-21.2461,55.71,E,,0.1368,0.0814,0.0271,-0.0173,-0.0371,0.0006,0.005,0.0041,0.0502,-0.0561,-0.003,-0.0285,-0.0351,-0.0199,-0.0167,-0.0218,-0.0132,0.0048,0.0037,0.0174,0.0146,0.0135,0.0061,0.0008,-0.0065,-0.0023,0.0016,0.0062,0.0053
2000-03-31,-21.2461,55.71,N,0.1473,0.0903,0.0649,0.0628,0.0503,0.026,0.0045,0.0247,0.0058,0.0048,0.0499,0.0328,0.0198,0.0062,-0.0036,-0.0185,-0.0142,-0.0108,-0.0162,-0.0184,-0.0137,-0.0113,-0.0094,-0.0041,0.0129,0.012,0.0142,0.0144,0.003,0.0041
2000-03-31,-21.2461,55.71,NE,,0.1377,0.0795,0.0663,0.0551,0.0438,0.0188,-0.0137,-0.0085,-0.0072,-0.0189,-0.0094,-0.0087,-0.0335,-0.0325,-0.0173,-0.0046,0.0065,0.0093,-0.004,-0.0005,0.0079,0.0079,0.0108,0.0166,0.0234,0.022,0.0135,0.0067,-0.0182
2000-03-31,-21.2461,55.71,NO,,0.1267,0.0803,0.0465,0.033,0.0436,0.0402,-0.0041,-0.0096,-0.0031,0.0132,0.019,-0.0168,-0.0208,-0.0169,-0.0151,-0.0178,-0.0207,-0.0137,-0.0073,-0.0015,0.0014,0.0092,0.017,0.0166,0.0187,0.0169,0.0153,0.0087,0.0075
2000-03-31,-21.2461,55.71,O,0.1956,0.1648,0.0901,0.0249,-0.0417,-0.0226,0.0049,0.0182,0.0153,0.0085,0.0035,-0.0012,-0.0089,-0.0111,-0.0047,-0.0021,-0.0017,0.0019,0.0075,-0.0018,-0.0106,-0.0009,0.0012,-0.0053,-0.0067,0.0013,0.001,0.0025,0.0023,0.003
2000-03-31,-21.2461,55.71,S,0.1598,0.0845,-0.012,-0.0421,-0.0424,-0.0199,0.0058,0.0197,0.0181,0.0246,0.0123,0.0018,-0.0025,-0.0035,-0.0077,-0.0072,-0.0075,-0.0054,-0.0055,-0.004,-0.0008,0.0014,-0.0062,-0.0034,0.0022,0.0017,0.0054,0.0033,0.0003,-0.0006
2000-03-31,-21.2461,55.71,SE,,0.1546,0.0898,0.0282,0.0159,0.0207,0.013,0.0152,0.0255,0.0232,0.0306,0.0375,0.0271,-0.0047,-0.0242,-0.0173,-0.0116,-0.0004,0.0025,-0.0023,-0.0045,-0.0084,-0.0119,-0.0073,-0.0082,-0.0038,-0.0064,0.0013,0.0077,0.0093
2000-03-31,-21.2461,55.71,SO,,0.0742,-0.0091,-0.0678,-0.0391,0.0007,0.0175,0.0184,0.0141,0.0146,0.0118,0.0041,-0.0057,-0.0049,-0.0123,-0.0069,-0.0056,-0.0097,-0.0048,-0.0109,-0.0035,0.0019,-0.0005,-0.0028,-0.0014,0.004,0.0063,0.0022,0.0006,-0.0016
2000-06-19,-21.2464,55.7103,E,,0.0459,0.0051,-0.0089,-0.0307,-0.0476,-0.0497,-0.0223,0.0027,0.0239,-0.0091,0.0371,0.0349,-0.006,-0.0144,-0.0199,-0.0277,-0.0329,-0.0316,-0.0189,-0.0091,-0.0038,-0.0007,-0.0012,0.004,0.0038,0.0058,0.0083,0.0119,0.0132
2000-06-19,-21.2464,55.7103,N,0.0624,0.0564,0.0553,0.0456,0.0473,0.0373,0.0408,0.0224,0.0124,0.0257,0.0223,0.0123,-0.0036,-0.0074,-0.0097,-0.0202,-0.012,-0.0095,-0.017,-0.0086,-0.009,-0.007,-0.0039,-0.0007,0.0068,0.0085,0.0074,0.0008,-0.0022,-0.0051
2000-06-19,-21.2464,55.7103,NE,,0.0663,0.0376,0.0347,0.0296,0.0183,0.0004,-0.0099,-0.0108,-0.011,-0.0121,-0.012,-0.0188,-0.0189,-0.0144,-0.0116,-0.0035,-0.0019,-0.0003,0.0037,0.0055,0.0083,0.0097,0.0006,0.0163,0.0169,0.032,0.0215,0.012,-0.0016
2000-06-19,-21.2464,55.7103,NO,,0.0791,0.0818,0.0608,0.0475,0.0498,0.0391,0.0176,-0.0073,0.0075,-0.006,-0.0061,-0.0088,-0.0107,-0.0053,-0.0087,-0.0078,-0.0063,-0.004,-0.0071,-0.0024,-0.0029,-0.0014,-0.0035,-0.001,0.0017,0.0021,0.0011,0.0062,0.0049
2000-06-19,-21.2464,55.7103,O,0.1402,0.1144,0.0471,-0.0203,-0.0224,-0.0036,-0.0031,0.0033,0.0031,0.0069,0.0036,-0.0004,0.0009,0.0012,0.0007,0.0046,0.0033,-1e-04,-0.0017,-0.0014,-0.0006,0.0006,-0.0027,-0.0031,-0.0014,-0.0024,0.0012,0.0008,0.0013,0.0015
2000-06-19,-21.2464,55.7103,S,,0.061,-0.0012,-0.0585,-0.0574,-0.0499,-0.029,-0.0042,0.0017,0.003,-0.0012,-0.0023,-0.0035,-0.0031,-0.0076,-0.0079,0.0,0.0008,-0.0027,-0.004,-0.004,-0.0018,0.0038,0.0022,-0.0045,0.0025,0.0004,0.0031,0.0048,0.004
2000-06-19,-21.2464,55.7103,SE,,0.0533,0.0345,0.0003,-0.0339,-0.0372,-0.0347,-0.0087,-0.005,-0.0054,-0.0059,0.0014,-0.0025,0.0015,-0.0119,-0.0173,-0.0102,0.0023,0.0035,0.0049,0.001,0.0044,-0.002,0.0016,-0.0019,0.0006,0.001,0.0024,0.0037,0.0057
