date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-16,10.198,-84.2326,E,,-0.0121,-0.0142,-0.0338,-0.0214,-0.019,-0.0011,-0.0122,-0.0122,-0.0163,-0.019,-0.0003,0.0155,0.0097,0.0065,0.0043,0.0005,0.0166,0.0261,0.0432,0.0106,0.0036,-0.003,-0.0129,-0.005,-0.006,-0.0291,-0.0181,-0.0078,-0.0058
2000-09-16,10.198,-84.2326,NE,,-0.131,-0.1567,-0.1947,-0.1379,,-0.1183,,,,,,,,-0.0083,-0.0071,0.0068,0.0088,0.0171,0.0198,0.0241,0.0221,0.0347,0.0402,0.0135,1e-04,-0.0067,-0.0132,-0.0567,-0.0666
2000-09-16,10.198,-84.2326,S,,0.0279,0.0159,-0.0148,-0.019,-0.0093,-0.004,0.0025,-0.0047,0.0072,0.0006,0.0107,0.0036,-0.0059,-0.0132,-0.0007,-0.0032,-0.0062,-0.0035,-0.0049,-0.0047,-0.0117,-0.0046,-0.0026,0.0016,0.004,0.0077,0.0104,0.0101,0.0172
2000-09-16,10.198,-84.2326,SE,0.0568,0.0321,0.0256,0.017,0.0107,0.0041,0.0247,0.024,0.0254,0.0247,0.0168,0.0206,0.0211,0.0306,0.0314,0.0297,0.0226,0.016,0.0071,-0.0041,-0.0051,-0.0183,0.0006,-0.009,-0.0077,-0.0117,-0.0165,-0.0125,-0.0233,-0.0175
2000-09-16,10.198,-84.2326,SO,,0.0569,0.0484,0.0277,0.0047,-0.0011,0.0147,0.016,0.0093,0.0023,0.0008,0.0078,0.0023,-0.0189,-0.0187,-0.0177,-0.0049,0.0034,0.0036,0.0012,0.0126,0.0171,0.0005,,,,,,,
2001-06-15,10.1966,-84.2307,E,,,,,,,,,0.0291,0.0183,-0.0014,0.0026,0.0025,0.0198,0.0095,-0.028,-0.0181,0.0101,0.0109,0.0085,0.012,0.0142,0.0162,0.018,0.0376,0.0293,0.0021,-0.0176,-0.037,-0.0464
2001-06-15,10.1966,-84.2307,N,,,,,,,,,-0.0447,-0.0155,0.0114,0.0502,0.0679,0.0642,0.0628,0.0694,0.1057,0.0767,0.0301,-0.0185,-0.0375,-0.0381,-0.0249,-0.0067,-0.0049,-0.0104,-0.0267,-0.0385,-0.0389,-0.0565
2001-06-15,10.1966,-84.2307,NE,,,,,,,,,0.0657,0.061,0.0378,0.015,0.0093,-0.0126,-0.0302,-0.0183,0.005,0.0223,0.021,0.0202,0.0207,0.0219,0.0205,0.0225,0.0289,0.0153,0.0104,-0.0014,-0.0113,-0.0206
2001-06-15,10.1966,-84.2307,NO,,,,,,,,,,0.0605,0.0413,0.0158,0.0123,0.0181,0.0312,0.0379,0.0188,0.0041,-0.0099,-0.0122,-0.014,-0.0235,-0.0268,-0.022,-0.0155,-0.0073,-0.0045,0.0033,0.0052,0.0069
2001-06-15,10.1966,-84.2307,O,0.0976,0.0615,,0.0263,0.0206,0.0255,0.0304,0.0359,0.0339,0.0228,-0.0015,-0.0187,-0.0127,-0.0082,-0.0207,-0.0166,-0.0132,-0.008,-0.0027,0.0069,0.019,0.0132,0.0056,0.0037,-0.0033,-0.0042,-0.0033,0.0008,0.0031,0.0048
2001-06-15,10.1966,-84.2307,S,,,0.0165,0.008,0.0133,0.0262,0.0158,0.0161,0.0169,0.0185,0.002,0.0009,0.0158,0.0087,0.0079,0.014,0.0078,0.0017,-0.0032,-0.0227,-0.0165,-0.0203,-0.0159,-0.0122,-0.006,0.0008,0.0041,0.0012,0.0008,0.0063
2001-06-15,10.1966,-84.2307,SE,,,,,,,0.0209,0.0543,0.027,,,,,,,,,0.0041,0.0119,0.0164,0.0019,0.0025,0.0104,0.0057,0.0072,0.0025,-0.0013,-0.0062,-0.0138,-0.0171
2001-06-15,10.1966,-84.2307,SO,,0.0985,0.0087,0.0012,0.0213,0.0256,0.0278,0.031,0.0312,0.0392,0.0339,0.0258,0.0047,0.01,-0.0254,-0.0187,0.0237,0.0405,0.0215,0.0104,0.0033,0.0048,-0.0103,-0.0016,-0.009,-0.0102,-0.0139,-0.0212,-0.0197,-0.0085
2002-03-14,10.198,-84.2326,E,,0.0808,0.0794,0.0216,,,,,,,,,,,,0.0099,0.0079,0.0141,0.0223,0.044,0.0127,0.0063,0.0061,-0.0041,-0.0015,-0.011,-0.03,-0.0214,-0.0139,-0.0165
2002-03-14,10.198,-84.2326,N,,0.0054,,,,,,,,,,-0.0987,0.0008,0.0049,-0.0027,-0.0054,0.003,0.0118,0.0317,0.0461,0.0479,0.0552,0.0489,0.0375,0.0212,0.003,-0.0344,-0.0763,-0.0743,-0.0671
2002-03-14,10.198,-84.2326,NE,,0.0031,0.0147,,,,,,,,,,,,,,0.0051,0.0052,0.01,0.0091,0.0138,0.0152,0.0131,0.0199,0.018,0.0041,-0.002,-0.0084,-0.0217,-0.0176
2002-03-14,10.198,-84.2326,NO,,0.0272,0.0252,,0.0028,0.0336,,,,0.0484,0.0587,0.0635,0.0596,0.0369,0.0245,0.0122,-0.0065,0.0011,-0.0294,-0.0365,-0.0233,-0.0059,0.0105,0.0124,0.0199,-0.0103,-0.0217,-0.036,-0.0366,-0.0247
2002-03-14,10.198,-84.2326,O,0.0195,0.031,0.0238,0.0112,0.013,0.0176,0.0159,0.0405,0.0421,0.0483,0.0338,0.0585,0.0407,0.0204,-0.0236,-0.0176,-0.0281,-0.0462,-0.0333,-0.0313,-0.027,-0.0187,-0.0076,0.0009,0.0098,0.0091,0.0117,0.0076,-0.0087,-0.0107
2002-03-14,10.198,-84.2326,S,,0.0693,0.0515,0.0177,0.0259,0.0221,0.0205,0.0178,0.0174,0.0285,0.0096,0.0044,0.0036,0.0038,-0.003,-0.0041,-0.0117,-0.0094,-0.0093,-0.0236,-0.0161,-0.0181,-0.0154,0.0003,0.0096,0.0173,0.0206,0.0241,0.015,0.0036
2002-03-14,10.198,-84.2326,SE,0.1682,0.1197,0.1091,0.0941,,,,,,,,,,,,0.0682,0.0571,0.0349,0.0187,0.0024,-0.0092,-0.0179,0.0045,-0.009,1e-04,-0.0008,-0.0085,-0.0015,-0.0016,0.0013
2002-03-14,10.198,-84.2326,SO,,0.0243,0.034,0.0374,-0.0195,-0.0162,0.0047,0.0071,0.0168,0.0155,0.024,0.0267,0.0229,0.0164,0.0125,0.0283,0.0218,0.0223,-0.0039,-0.0175,-0.0197,-0.0009,-0.0186,-0.0056,-0.0111,-0.0215,-0.0243,-0.0143,-0.0142,-0.0151
2003-04-18,10.1977,-84.2323,E,,,0.0633,0.0366,,,,,,,,,,,,,0.0292,0.017,0.0184,0.0124,0.0413,0.0222,0.0104,0.0059,-0.0078,-0.0035,-0.0041,0.0047,-0.0098,-0.012
2003-04-18,10.1977,-84.2323,N,,,,,,,,,,,,,,,,0.0166,0.0265,0.0166,0.0446,0.0544,0.0697,0.0691,0.0594,0.0344,0.0093,-0.0363,-0.0769,-0.0747,-0.0439,-0.0485
2003-04-18,10.1977,-84.2323,NE,,,,,,,,,,,,,,,,,,0.0136,0.0117,0.01,0.0099,0.0149,0.0121,0.009,0.0096,0.0076,0.0021,0.0041,-0.0281,-0.02
2003-04-18,10.1977,-84.2323,NO,,,0.0528,,0.0498,0.014,-0.0006,0.0205,0.0508,0.0608,0.0594,0.0432,0.0408,0.033,0.0175,-0.0013,0.0083,0.001,0.0105,-0.0019,0.0113,0.0301,0.0381,0.0054,-0.0261,-0.0447,-0.0453,-0.0389,-0.0365,-0.0242
2003-04-18,10.1977,-84.2323,O,0.0296,0.0211,0.0307,0.0303,0.032,0.0361,0.039,0.0522,0.0525,0.0569,0.0583,0.0418,0.0156,-0.0428,-0.0412,-0.0432,-0.0495,-0.0405,-0.0353,-0.03,-0.0196,-0.0,0.0106,0.0176,0.0306,0.036,0.0213,-0.0009,-0.0231,-0.031
2003-04-18,10.1977,-84.2323,S,,0.0332,0.0421,0.0292,0.0052,0.0181,0.0333,0.0213,0.0123,0.0082,0.0174,-0.0028,-0.0042,-0.0159,-0.0164,0.0109,-0.0152,-0.0185,-0.0218,-0.0216,-0.0239,-0.0298,-0.0246,-0.014,0.0017,0.0226,0.0296,0.0318,0.0306,0.0227
2003-04-18,10.1977,-84.2323,SE,0.1347,0.1475,0.1492,0.1269,0.1069,0.0896,0.0915,0.0878,0.0774,,,,,,,,,,0.0466,0.0247,0.0081,0.0019,-0.0132,-0.0131,-0.0105,-0.0033,-0.0027,-0.0101,-0.0077,-0.001
