date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2002-10-03,48.2893,153.2537,E,,,0.0439,0.0341,0.0336,0.0243,0.0031,0.002,0.0222,-0.0007,-0.0005,-0.001,-0.006,-0.0089,-0.0121,-0.004,-0.0094,-0.0029,0.0047,0.0019,0.0009,0.0056,0.0109,0.0006,-0.0061,-0.0125,,,,
2002-10-03,48.2893,153.2537,N,,,,-0.0123,-0.0099,-0.0028,-0.004,0.0024,0.0068,-0.0026,-0.0047,-0.0036,-0.0069,-0.0019,-0.0018,0.0035,0.0018,0.0099,-0.0078,0.0162,-0.0055,-0.0022,-0.0021,0.0026,-0.0016,0.0041,-0.0034,-0.0171,,
2002-10-03,48.2893,153.2537,NE,,,-0.0117,-0.0171,-0.014,-0.0011,0.0052,0.0038,0.0055,0.0036,-0.0003,0.0005,0.0003,-0.0028,-0.0026,0.0036,0.004,-0.0011,-0.0041,0.0018,0.0059,0.0031,-0.0008,0.003,-0.0006,-0.0048,-0.0075,,,
2002-10-03,48.2893,153.2537,NO,-0.0096,,,,,,,-0.0232,-0.0254,-0.0235,-0.0148,-0.0106,-0.002,0.0025,0.0048,0.0562,0.0616,,,,,,,-0.0085,-0.0085,-0.0085,,-0.0085,-0.0085,-0.0085
2002-10-03,48.2893,153.2537,O,,,,,,,,,,,,,,,,,,,,,0.0006,-0.0052,-0.0028,0.0046,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
2002-10-03,48.2893,153.2537,S,,0.023,0.0243,,,,,,,,,,,,,0.0051,-0.001,-0.0004,-0.0022,,,,,,,,,,,
2002-10-03,48.2893,153.2537,SE,,,0.0727,,,,0.0481,,0.0012,-0.004,-0.0039,-0.0031,0.0022,-0.0028,-0.0028,0.0023,0.0026,0.0025,0.0025,0.0024,-0.0019,-0.0022,0.0,-0.0005,-0.0,0.003,0.0032,0.0111,,
2002-10-03,48.2893,153.2537,SO,,,,,,,,,,,,,,,,,,,,-0.0137,-0.0116,-0.0048,-0.0014,-0.0018,-0.0017,-1e-04,0.004,0.0068,0.0046,-0.0023
2013-10-09,48.2915,153.2553,E,,0.0024,,,,,,,,,,,,,,,,,-0.0128,,,-0.0039,,-0.0028,,,,,,-0.0052
2013-10-09,48.2915,153.2556,E,0.0015,,,,,,,,,,,,,,,,,,,,-0.0042,,-0.0025,,,,,-0.0012,-0.0037,
2013-10-09,48.2915,153.2558,E,,,-0.0029,,,,,,,,,,,,,,,,,,,,,,0.0049,0.0057,0.0023,,,
2013-10-09,48.2915,153.2553,N,,-0.1236,,-0.1046,-0.1046,-0.1054,,-0.0283,,-0.0308,,-0.0114,,0.0011,,0.0175,,0.0249,0.0344,0.0411,0.0477,0.0416,,,,,,,,
2013-10-09,48.2915,153.2556,N,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033,,,
2013-10-09,48.2915,153.2558,N,,,-0.117,,,,-0.0347,,-0.0303,,-0.0221,,-0.0043,,0.0114,,0.023,,,,,,,,-0.0053,-0.0154,,-0.0065,-0.0156,-0.0219
2013-10-09,48.2915,153.2553,NE,-0.0356,,-0.0333,,,-0.0243,,,,,-0.0035,,,,,,,,,,,,,,,,,,,
2013-10-09,48.2915,153.2556,NE,,,,,-0.0319,,-0.0183,,,,,,,,,,,,,,,,,0.0053,,,0.0022,1e-04,,-0.0033
2013-10-09,48.2915,153.2558,NE,,-0.0512,,-0.0378,,,,,,-0.0165,,,,,,,,,,,0.0041,0.0035,0.0039,,0.0037,0.0035,,,-0.0013,
2013-10-09,48.2915,153.2553,NO,,,,,,,,,,,,,,,,,0.0087,,,,,,,,,,,0.0046,,-0.0167
2013-10-09,48.2915,153.2556,NO,,,,,,,,,,,,,,,,-0.0017,,,,,,,,,,,,,,
2013-10-09,48.2915,153.2558,NO,,,,,,,,,,,,,,,-0.0047,,,,,,,,,,,0.0254,0.0168,,-0.0129,
2013-10-09,48.2915,153.2553,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021,-0.0028
2013-10-09,48.2915,153.2556,O,,,,,,,,,,,,,,,0.0021,,,,,,,,,,,,,,,
2013-10-09,48.2915,153.2553,S,0.039,,0.0338,,0.017,,0.0033,-0.0004,,,-0.0028,,,,-0.0002,,0.0016,,0.0004,,,,,,,-0.001,,,,
2013-10-09,48.2915,153.2556,S,,,,,,,,,-0.0031,,,-0.0028,-0.0017,-0.0006,,,,,,,-0.0017,,,,,,,,,
2013-10-09,48.2915,153.2558,S,,0.0351,,,,0.0111,,,,-0.0028,,,,,,0.0015,,0.0009,,-0.0017,,-0.0021,-0.0024,-0.0029,-0.0032,,0.0003,-0.0023,1e-04,
2013-10-09,48.2915,153.2553,SE,,,,,1e-04,-0.0016,,-0.0048,,-0.0039,-0.0061,-0.0055,-0.004,-0.0012,,0.0007,0.0019,0.0018,,,,-0.0025,-0.004,,,,0.0027,-1e-04,,
2013-10-09,48.2915,153.2556,SE,,,,,,,-0.0014,,,,,,,,-0.0002,,,,,,,,,,,,,,-0.0027,
2013-10-09,48.2915,153.2558,SE,0.0308,0.032,,,,,,,-0.0046,,,,,,,,,,0.0016,-0.0005,-0.0019,,,-0.0013,0.0027,0.0073,,,,-0.0034
2013-10-09,48.2915,153.2553,SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017,
2013-10-09,48.2915,153.2556,SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0
2013-10-09,48.2915,153.2558,SO,0.2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-25,48.2912,153.2545,E,,,,,0.0148,,,,,,,,,,,0.0184,0.0169,0.0089,0.0071,0.0006,0.0014,-0.0007,-0.0018,,,,,,,-0.0046
2013-10-25,48.2914,153.255,E,0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-25,48.2915,153.2553,E,,0.0307,0.0215,,,,,,,,,,,,,,,,,,,,,-0.0021,-0.0031,-0.0051,-0.0006,-0.0009,-0.0028,
2013-10-25,48.2912,153.2545,N,,,,,,-0.052,-0.0461,,,,,,-0.0073,,,,,,,,0.0258,0.0206,0.0223,,,,,,,-0.0138
2013-10-25,48.2914,153.255,N,,-0.0717,-0.0721,-0.0628,-0.0597,,,,,,,,,,,,0.015,,,0.0231,,,,,,,,,,
2013-10-25,48.2915,153.2553,N,,,,,,,,-0.0422,-0.0482,-0.0222,-0.0159,-0.009,,0.0045,0.0116,0.0175,,0.0211,0.0242,,,,,0.0051,0.0036,-0.0004,-0.0013,-0.0077,-0.0126,
2013-10-25,48.2912,153.2545,NE,,,,,,,-0.006,-0.0063,,,,,,0.0056,0.0051,,,,,,,,,,,,,,,-0.0054
2013-10-25,48.2914,153.255,NE,-0.0056,-0.0032,,-0.001,,,,,-0.0037,,,0.0017,,,,,,,,,,,,,,,,,,
2013-10-25,48.2915,153.2553,NE,,,-0.0009,,-0.0049,-0.0066,,,,-0.0021,-0.0004,,0.0035,,,,,,,,,0.0176,0.0141,0.014,0.0082,0.0052,0.0023,-0.0009,-0.0043,
2013-10-25,48.2912,153.2545,NO,,,,,,-0.1229,-0.1206,,,,,,,,,,,0.0002,,,,,,,,,,,,
2013-10-25,48.2915,153.2553,NO,,,,,,,,,,,,,,,,,-0.0024,,,,,,0.0101,-0.0021,-0.0116,-0.0021,0.0104,0.0045,-0.0026,-0.0059
2013-10-25,48.2912,153.2545,O,,,,,,,,,,,,,,,,0.0171,,,,,,,,,,,,0.0043,0.0012,-0.0017
2013-10-25,48.2912,153.2545,S,,,,,,,,,,-0.0085,-0.0051,,-0.0056,,,,,-0.0016,-0.0018,,,,,,,,,,,
2013-10-25,48.2914,153.255,S,,,0.009,0.0148,,,,-0.0049,0.0008,,,-0.0078,,,-0.0042,,,,,,,,,,,,,,,
2013-10-25,48.2915,153.2553,S,0.0113,0.0102,,,0.0183,0.0048,0.0132,,,,,,,-0.0059,,-0.0029,-0.0032,,,0.0019,0.0015,0.0042,1e-04,0.0005,1e-04,-1e-04,-0.0017,-0.0045,0.0024,
2013-10-25,48.2912,153.2545,SE,,0.0326,0.0171,0.0022,-0.0047,-0.0045,-0.0057,-0.0069,-0.0068,-0.0068,-0.0073,-0.0066,-0.0046,-0.002,-0.0013,0.0002,0.0022,,,,-0.0048,-0.0039,,,0.0076,,,,,
2013-10-25,48.2914,153.255,SE,,,,,,,,,,,,,,,,,,0.0032,,,,,-0.001,0.0022,,,,0.0047,,
2013-10-25,48.2915,153.2553,SE,,,,,,,,,,,,,,,,,,,0.0027,-0.002,,,,,,0.0087,0.0056,,0.001,-0.0053
2013-10-25,48.2912,153.2545,SO,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0033,-0.0014,-0.0006,0.0005
2018-11-08,48.2904,153.2557,E,,,,0.0288,0.0271,0.0211,0.0104,0.0106,0.0088,,0.0076,,,,,,,-0.0031,0.0015,0.0019,0.002,-0.0003,-0.0013,-0.0012,-0.0015,-0.002,-0.0021,-0.0024,-0.0028,-0.0028
2018-11-08,48.2904,153.2557,N,-0.035,-0.0315,,,,,,,,,-0.0204,-0.0118,-0.0031,0.0039,0.0082,0.0091,0.0081,0.0015,-0.0005,,,,,,-0.0116,-0.0,0.004,0.0012,-0.0029,-0.0052
2018-11-08,48.2904,153.2557,NE,,,,,-0.0417,-0.0218,-0.0108,-0.0118,-0.0071,-0.0043,-0.0036,0.0084,0.0101,0.0038,0.0133,0.0127,0.0216,0.026,,,,,,0.0123,0.0089,0.0016,0.0031,0.0016,-0.0028,-0.0056
2018-11-08,48.2904,153.2557,NO,,,,-0.0225,-0.0129,,,,,,,,1e-04,,,,,,,,,,0.0059,0.0113,0.0095,0.0055,0.0011,-0.0015,-0.0035,-0.0045
2018-11-08,48.2904,153.2557,O,,,,,,,,,,,,0.0059,0.0105,,,,,,,,,,,,0.0146,0.0023,0.0004,-0.0021,-0.0073,-0.0106
2018-11-08,48.2904,153.2557,S,,,,,,,,,,0.014,0.009,0.005,0.0041,-0.0036,-0.0012,-0.0059,-0.0052,-0.001,-0.0052,-0.0045,-0.0056,-0.0048,-0.0011,-0.0005,0.0021,0.0018,0.002,0.0021,0.0021,0.0018
2018-11-08,48.2904,153.2557,SE,,,,,0.0378,0.0318,0.0294,0.0108,-0.0023,-0.0035,-0.0044,-0.0044,-0.0039,-0.0043,-0.0037,-0.003,-0.0026,-0.0022,-0.0016,-0.0015,-0.0019,1e-04,-0.0,0.0014,-0.0019,0.0014,0.0023,0.0045,0.0059,0.0074
2018-11-08,48.2904,153.2557,SO,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004,-0.0011,-0.0,-0.0012,0.0009
2019-07-13,48.2945,153.2489,E,,,0.1159,,0.1115,0.0662,0.0553,0.0461,0.0355,0.0333,0.029,0.0103,-0.0083,-0.0178,-0.0266,-0.0301,-0.0302,-0.0282,-0.0234,-0.0117,0.0023,0.0228,0.0341,0.0461,0.0629,0.0493,0.0129,-0.0488,-0.0719,-0.0719
2019-07-13,48.2945,153.2489,N,,,,,,-0.0405,-0.0315,-0.0418,-0.0528,-0.031,-0.0242,0.0061,0.014,0.0286,0.0339,0.0347,0.0314,0.0232,0.0315,0.0194,0.0254,0.0125,0.0046,0.0052,0.0034,0.0025,-0.0039,-0.0067,-0.0109,-0.0172
2019-07-13,48.2945,153.2489,NE,,0.0487,,,-0.0416,-0.0634,-0.0452,-0.0355,-0.0263,-0.0104,-0.0045,-0.0095,0.0021,0.0066,0.0095,0.0025,-0.0035,-0.0122,-0.0123,-0.026,-0.0221,-0.0303,-0.0245,0.0058,-0.0025,0.0225,0.021,0.0126,0.0046,0.002
2019-07-13,48.2945,153.2489,NO,0.2173,,,,0.0576,0.05,0.0304,0.005,-0.0051,-0.0155,-0.0136,-0.026,-0.0235,1e-04,0.0046,0.0051,0.0026,0.0164,0.0304,0.0453,0.0512,,,,,,,,,
2019-07-13,48.2945,153.2489,O,,,0.0787,,0.0217,0.0049,-0.003,0.0083,,0.0066,-0.001,-0.0194,0.0025,0.0018,-0.0118,,,,,,0.0032,0.0122,-0.002,0.0008,1e-04,-0.0007,0.0064,0.0013,0.0025,-0.0006
2019-07-13,48.2945,153.2489,S,,,,,,,,,,0.0939,,,,,,0.0255,0.0254,0.0236,0.0183,0.0058,-0.0021,-0.0056,-0.0057,-0.0083,-0.0064,-0.0072,0.0003,-0.0004,1e-04,-0.0044
2019-07-13,48.2945,153.2489,SE,,,,,,,0.0469,0.0362,0.0245,0.0146,0.0089,0.0098,0.0146,0.0007,-0.0081,-0.0211,-0.0119,-0.0215,-0.022,-0.018,-0.0221,-0.0053,0.0084,0.0109,0.0109,0.0185,-0.0091,0.0006,1e-04,0.0084
2019-07-13,48.2945,153.2489,SO,,0.1111,,,,,,,,,,,,,,,,,,-0.0142,-0.0224,-0.0148,-0.0091,-0.0048,-0.0004,0.0046,0.0045,0.0024,0.0019,0.0005
2019-10-02,48.295,153.2489,E,,0.4028,0.2995,0.1495,0.0583,0.0546,,,,0.0644,0.0538,0.0073,0.0014,-0.0224,-0.0227,-0.0244,-0.0271,-0.0276,-0.0267,-0.0219,0.0227,0.0314,0.0343,0.0089,0.022,-0.0281,-0.0585,-0.0585,-0.0585,
2019-10-02,48.295,153.2489,N,,0.3396,0.3493,0.3046,0.2622,0.0915,0.0753,0.0176,-0.0003,-0.0215,-0.0216,-0.0015,0.001,0.0071,0.0055,0.0086,0.005,0.0011,-0.0004,-0.0006,-0.0082,-0.0092,-0.0101,-0.008,-0.0044,-0.0048,-0.0011,-0.0005,-0.0069,-0.0083
2019-10-02,48.295,153.2489,NE,0.3914,0.3493,,0.135,0.033,-0.013,-0.0158,-0.0078,-0.0281,-0.0078,-0.0082,0.0123,0.02,0.0123,-0.004,-0.0107,-0.0025,-0.0099,-0.0199,-0.0199,-0.0169,-0.0252,-0.0148,-0.0149,0.0037,0.0142,0.027,0.0251,0.0211,0.0186
2019-10-02,48.295,153.2489,NO,0.4304,,,0.4352,0.3656,0.2894,0.1354,-0.0071,-0.0112,-0.0008,-0.007,-0.0057,-0.0139,-0.0175,-0.0082,0.0021,0.0051,0.0026,0.0038,0.008,0.0076,0.0009,0.0081,0.0126,0.0154,0.0191,0.0183,,,
2019-10-02,48.295,153.2489,O,,,,,0.2148,0.2278,0.1913,0.0963,0.0099,-0.0323,-0.0324,-0.0153,-0.0089,-0.0082,0.0075,0.0327,0.0198,0.0067,0.0016,-0.01,-0.0238,-0.0344,,,,,,,,
