date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-06-23,-8.1181,114.0571,E,,0.2757,0.1059,0.0108,0.0106,0.0337,0.0425,0.0588,0.0608,0.0711,0.0496,0.052,0.0575,0.0462,0.0435,0.039,0.0271,0.0072,-0.0235,-0.0901,-0.1138,-0.083,-0.0301,-0.0082,-0.0074,-0.0079,-0.006,-0.0155,-0.0033,-0.0144
2000-06-23,-8.1181,114.0571,N,0.6536,0.3829,0.0849,-0.0196,-0.0165,0.0664,0.0587,0.0524,0.0414,0.037,0.034,0.0202,0.0014,-0.0158,-0.0219,-0.0013,0.0069,0.0346,0.0467,0.0321,-0.0255,-0.0407,-0.0483,-0.0357,-0.0217,-0.0023,-0.0045,0.0147,0.0247,0.0237
2000-06-23,-8.1181,114.0571,NE,,0.485,,0.1223,0.0975,0.0721,0.0654,0.0536,0.0388,0.0373,0.0398,0.0443,0.0658,0.0633,0.0675,0.0596,0.0399,0.0052,-0.0606,-0.104,-0.1084,-0.0745,0.0076,0.0147,0.0202,0.0236,0.0247,-0.0328,-0.0114,-0.0008
2000-06-23,-8.1181,114.0571,NO,,0.4848,0.1993,0.1026,0.0632,0.0091,-0.0058,-0.0073,0.0002,0.0087,0.0092,0.0058,-0.0035,0.0043,0.0071,0.0087,0.0003,-0.0054,-0.0064,-0.0027,-0.0056,0.0011,-0.0042,-0.012,-0.0229,-0.0108,0.0076,0.0182,0.0232,0.0208
2000-06-23,-8.1181,114.0571,O,,0.5773,0.1823,0.0439,0.02,-0.0039,-0.0048,0.0067,-0.004,-0.0491,-0.036,-0.0208,-0.0108,0.0045,0.0134,0.0038,0.0174,0.0118,0.0189,0.0142,-0.001,-0.0167,-0.01,-0.0091,-0.0169,-0.0122,0.0029,0.0029,0.0002,0.0088
2000-06-23,-8.1181,114.0571,S,,0.4916,0.1539,0.0276,-0.0214,-0.028,-0.0426,-0.0676,-0.0265,-0.0104,0.0003,-0.0125,-0.0145,0.0087,0.0053,0.0186,0.016,0.0173,0.0239,0.0219,0.0147,0.0091,0.0089,0.0139,-0.0083,-0.0097,-0.0075,-0.0228,-0.0335,0.0008
2000-06-23,-8.1181,114.0571,SE,0.4585,,0.1009,-0.0253,-0.0445,-0.0252,-0.005,0.0191,0.0339,0.0152,0.0295,0.0396,0.0454,0.0155,0.0378,0.0235,0.0251,0.0376,0.0377,0.0097,-0.0093,-0.0244,0.0119,-0.0038,-0.0093,-0.0172,0.0022,0.0222,0.0021,-0.0239
2000-06-23,-8.1181,114.0571,SO,,0.4158,0.1675,0.0534,0.0266,0.0187,0.0624,0.0259,-0.0398,-0.0668,-0.0493,-0.0283,-0.0212,-0.0087,-0.0083,-0.0147,-0.0237,-0.0335,-0.0308,-0.036,-0.0419,-0.01,0.0041,0.0228,0.0239,0.0294,0.0293,0.0368,0.0228,-0.0027
2000-07-09,-8.1181,114.0574,E,,0.1795,0.1207,0.0726,0.0625,0.063,0.0671,0.0497,0.0724,0.0607,0.054,0.0693,0.0774,0.0721,0.068,0.0576,0.0413,0.0147,-0.0351,-0.1279,-0.0987,-0.1089,-0.0278,-0.0002,-0.0009,-0.0005,-0.0012,-0.0043,0.0066,-0.014
2000-07-09,-8.1181,114.0574,N,,0.2169,,0.0297,0.0905,0.04,0.0144,0.003,-0.0068,0.0008,-0.0195,-0.0125,-0.0118,0.0024,0.0224,0.0115,0.0515,0.0732,0.0381,-0.0244,-0.0557,-0.0695,-0.0672,-0.0446,-0.0297,-0.0004,0.035,0.055,0.0692,0.0443
