date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2002-10-14,-0.0784,-77.6518,E,,0.0988,0.0672,0.0422,0.0182,0.0418,0.0561,0.034,0.0264,0.0402,0.04,0.0361,0.0305,0.042,0.0332,-0.0036,-0.0311,-0.0271,-0.023,-0.0217,-0.0138,-0.0128,-0.0114,-0.006,-0.0198,-0.0209,-0.0242,-0.0253,-0.0265,-0.0327
2002-10-14,-0.0784,-77.6518,N,,-0.0105,-0.0106,-0.0071,-0.0034,-0.0079,0.0048,0.0005,0.001,0.0071,0.0064,0.0056,0.0083,-0.0027,0.0012,-0.005,0.0043,0.0065,0.0055,-0.0022,-0.0102,-0.0066,-0.0048,-0.0021,0.0007,-0.0041,-0.006,-1e-04,0.0056,0.0021
2002-10-14,-0.0784,-77.6518,NE,,0.0294,0.0239,0.0236,0.0179,0.0148,0.012,0.0057,0.0081,0.01,-0.0047,-0.0056,-0.0015,0.013,0.0096,-0.0014,-0.0121,-0.0076,-0.0024,-0.0034,-0.0032,0.001,0.0011,0.0089,-0.0027,0.0061,0.0052,0.0032,0.0002,0.0077
2002-10-14,-0.0784,-77.6518,NO,,0.061,0.0543,0.0292,0.0253,0.0091,0.0098,0.0225,0.0291,0.0271,0.0152,0.0034,-0.0142,-0.029,-0.0283,-0.0276,-0.0107,0.0019,0.0029,0.0025,0.0029,0.0094,0.0153,0.014,0.0153,0.0101,0.0076,0.001,0.0005,-0.002
2002-10-14,-0.0784,-77.6518,O,0.0869,0.077,0.0513,0.0442,0.0396,0.0418,0.0544,0.0494,0.0271,0.0054,-0.0165,-0.0217,-0.0138,0.0054,0.0161,0.0145,0.0104,0.0256,0.0355,0.0422,0.0379,0.0307,0.0114,0.0023,-0.0046,-0.0195,-0.0297,-0.0321,-0.038,-0.0287
2002-10-14,-0.0784,-77.6518,S,0.014,0.0172,0.0259,0.0346,0.0294,0.0227,-0.0049,0.0115,-0.0162,0.0237,0.0057,,0.0197,0.0451,0.0275,-0.0023,-0.0228,-0.0294,,,,,,,,,,,,
2002-10-14,-0.0784,-77.6518,SE,,0.1454,0.1313,0.1115,0.1013,0.0631,0.0086,-0.0027,0.0126,-0.0027,0.0113,0.0138,0.0148,0.0479,0.0559,0.0176,0.0012,0.0006,0.0062,-0.0035,-0.0076,-0.014,-0.0141,-0.0128,-0.0115,-0.0128,-0.0116,-0.0132,-0.0088,-0.0137
2002-10-14,-0.0784,-77.6518,SO,,0.0458,0.0434,0.0241,0.0316,0.038,0.0407,0.0368,0.023,0.015,0.0101,0.0203,0.0224,0.0212,0.0399,0.0334,0.0053,-0.0253,-0.0568,-0.0545,-0.0496,-0.0375,-0.073,,-0.0857,-0.0878,-0.0605,-0.056,,
2003-11-18,-0.0756,-77.6521,E,,0.0361,0.0156,0.014,0.0107,0.0029,-0.0062,-0.004,-0.001,0.0006,-0.001,0.0072,0.0094,-0.0013,,,,-0.0135,-0.0211,-0.0175,-0.0162,0.0041,0.0071,0.0118,,,,,,
2003-11-18,-0.0756,-77.6521,N,,0.0097,0.0033,0.0047,0.0079,-0.0106,-0.0079,-0.0033,0.0173,0.0145,0.015,0.0101,-0.0097,-0.0044,-0.0104,-0.0167,-0.0058,0.0019,0.0039,-0.001,0.0031,0.0023,-0.005,0.0004,0.0039,0.0028,-0.0003,-1e-04,0.0002,-0.0012
2003-11-18,-0.0756,-77.6521,NE,,-0.0077,-0.0111,-0.0091,-0.0032,0.0014,0.001,0.0013,0.0063,-0.001,-0.0106,-0.0085,-0.0138,-0.0089,-0.0048,-0.0101,,,,,,,,,,0.0019,0.004,0.0036,0.002,-0.0026
2003-11-18,-0.0756,-77.6521,NO,,,,,,,,,,,,,,,-0.0204,-0.0193,-0.0137,-0.0096,-0.0061,-0.0114,-0.0109,-0.0089,-0.0094,0.0007,-1e-04,0.004,0.0095,0.0085,0.0129,0.0117
