date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-05,-36.6401,-70.4137,E,,,0.0382,0.0189,-0.0068,,,,,,,,0.0187,0.034,0.0337,0.0314,0.0304,,,,,-0.0304,-0.0353,-0.0158,-0.0027,0.0028,-0.0015,-0.0046,-0.0042,-0.0055
2000-02-05,-36.6401,-70.4137,N,0.1968,0.1424,0.1453,,,,,,,,,,,,,,-0.0213,-0.0247,-0.0173,-0.0261,0.0429,0.0145,0.0197,0.014,-0.0019,0.0152,0.027,0.0272,0.016,-0.052
2000-02-05,-36.6401,-70.4137,NE,,,,,,,,,,,,,,,,,,,0.012,0.0074,0.0015,-0.0116,-0.0199,-0.0268,-0.0197,-0.0078,-0.0036,0.003,0.0059,0.0135
2000-02-05,-36.6401,-70.4137,NO,,0.022,0.0138,0.0141,0.0,0.0126,0.0235,0.0194,0.0144,-0.0008,0.0153,-0.0122,-0.0153,-0.0282,-0.0081,0.0246,0.0405,0.0031,-0.0056,-0.0082,-0.0252,-0.0137,-0.0086,-0.0016,0.0056,0.0131,0.0223,0.02,0.0108,-0.0045
2000-02-05,-36.6401,-70.4137,O,0.0369,0.0196,-0.0064,-0.0033,-0.0067,-0.0058,0.0037,-0.0002,0.0003,-0.009,-0.0149,-0.0136,-0.0046,0.0039,-0.0035,-0.0131,-0.0109,0.0034,0.0075,0.0132,0.0189,0.0104,0.0068,0.0051,-0.0039,-0.0037,0.0005,0.001,-0.0015,0.0016
2000-02-05,-36.6401,-70.4137,S,0.0371,0.0261,0.0241,0.022,0.0206,0.0322,0.0345,0.0475,0.0163,-0.0096,-0.0079,-0.0114,-0.0138,-0.0209,-0.0236,-0.0278,-0.0265,0.0051,0.0107,0.0172,-0.001,0.0082,0.017,0.0197,0.0158,0.0071,0.0077,0.0031,-0.0055,-0.0076
2000-02-05,-36.6401,-70.4137,SE,,0.0455,0.0386,0.0289,0.0221,0.0158,-0.0066,-0.0029,-0.029,-0.0309,0.011,0.0062,0.0213,0.004,0.0145,0.0068,0.0136,0.0045,0.0074,-0.0017,0.0025,0.0025,-1e-04,-1e-04,-0.0046,0.0023,-0.0073,-0.0262,-0.0123,-0.0222
2000-02-05,-36.6401,-70.4137,SO,,0.0333,0.0237,0.0255,0.0301,0.037,0.0306,0.0477,0.0469,0.0467,0.0409,0.0265,0.0294,0.0324,0.0163,0.0187,0.009,0.0149,0.0123,0.0057,0.001,0.0015,0.0023,-0.0025,-0.0125,-0.0202,-0.0224,-0.0194,-0.0148,-0.0125
2001-04-12,-36.6403,-70.4181,E,0.1639,0.1014,0.0086,0.0427,0.0387,0.0611,0.0202,-0.0004,-0.0432,-0.0173,-0.0021,0.0476,0.0553,0.0048,0.0064,-0.0039,-0.0194,-0.0192,-0.0164,-0.0233,-0.0239,-0.0177,0.0057,-0.0118,-0.0317,-0.0482,-0.0249,0.0522,0.1272,0.1266
2001-04-12,-36.6403,-70.4181,N,,-0.0486,-0.0362,-0.026,-0.0048,0.0003,-0.0009,0.0013,0.0127,-0.0064,-0.0188,-0.0099,-0.0007,-0.0332,-0.0036,-0.004,0.0084,0.0152,0.0284,0.0281,0.0452,0.0576,0.0678,0.0145,-0.0045,0.0013,-0.0665,-0.0682,-0.0598,-0.0519
2001-04-12,-36.6403,-70.4181,NE,,0.2291,0.2052,0.1694,0.168,0.167,0.1563,0.1311,0.0908,0.0688,0.0192,-0.0395,-0.0542,-0.079,-0.0948,-0.1007,-0.1031,-0.1054,-0.1123,-0.1168,,,,,,,0.0485,0.0416,0.0459,-0.0047
2001-04-12,-36.6403,-70.4181,NO,,-0.028,-0.0345,-0.0373,-0.0361,-0.0217,-0.0164,-0.0094,-0.0068,-0.0091,-0.0048,0.0012,-0.0012,1e-04,0.0092,0.011,0.007,-0.0044,-0.0016,-0.0118,-0.0009,-0.0042,0.001,-0.0027,-0.0022,-0.0126,0.0067,0.0006,-1e-04,0.0206
2001-04-12,-36.6403,-70.4181,O,,0.0031,0.008,0.0074,0.0276,0.0221,0.0206,0.0055,0.0037,-0.0062,-0.0079,0.0038,0.0165,0.0244,0.0152,0.0151,0.0065,0.0161,0.0132,0.0037,0.0021,-0.0026,-0.0005,0.0047,-0.0041,-0.0145,-0.0175,-0.0169,-0.0051,0.0127
2001-04-12,-36.6403,-70.4181,S,0.1479,0.1477,0.1275,0.0955,0.0514,0.0508,0.0266,0.0159,0.0251,0.0284,0.0286,0.0249,0.0225,0.0221,0.0246,0.0109,0.0198,0.0177,0.0146,0.0131,0.0399,0.0132,0.0113,-0.0005,-0.0191,0.0015,0.0386,-0.0342,-0.0036,-0.0527
2001-04-12,-36.6403,-70.4181,SE,,0.1155,0.0909,0.086,0.0686,0.063,0.0452,0.0135,-0.0145,-0.0135,-0.0267,0.0242,0.0384,0.0682,0.0228,0.0832,0.0643,0.0533,0.0152,0.0003,-0.0267,-0.0319,-0.0281,-0.0395,-0.0384,-0.0397,-0.0268,-0.0297,-0.03,-0.0264
2001-04-12,-36.6403,-70.4181,SO,,0.1176,0.1102,0.1001,0.0675,0.0611,0.0005,-0.0096,-0.0187,-0.003,0.0167,0.0172,0.0018,-0.0042,-0.0178,-0.0349,-0.0465,-0.0336,-0.0204,-0.0104,-0.0093,-0.0058,0.0002,0.0042,0.0118,0.0092,0.0183,0.0164,0.0185,0.0162
2006-01-04,-36.6379,-70.4214,E,,0.047,0.0465,0.0123,0.0097,0.0048,0.0182,0.0183,0.0156,0.0172,0.0125,0.0112,-0.0018,-0.0003,-0.0134,-0.0172,-0.0128,-0.0381,,,-0.0172,-0.0289,-0.0125,0.0224,0.0104,-0.019,-0.0222,0.0239,0.0257,0.0175
2006-01-04,-36.6379,-70.4214,N,,0.0162,-0.0346,-0.04,-0.0393,-0.0343,-0.0145,-0.0102,-0.0098,-0.0076,0.0135,0.0243,0.0118,0.0056,-0.0098,-0.011,-0.0087,-0.0085,-0.0011,-0.0159,-0.0066,0.0014,0.0144,-0.0191,0.0071,0.032,0.0427,,,
2006-01-04,-36.6379,-70.4214,NE,0.0462,0.0336,0.0206,0.012,0.0145,0.0298,0.0301,0.018,0.0244,0.0301,0.0312,0.0031,-0.0074,-0.0328,-0.0238,-0.0186,-0.0115,-0.0132,-0.0168,-0.0213,-0.0091,,,,,,,0.0045,0.0313,0.0296
2006-01-04,-36.6379,-70.4214,NO,0.0148,0.0077,-0.0034,-0.0067,0.0053,0.0075,0.0092,0.0051,0.0067,0.006,0.0009,-0.0024,-0.0017,0.0039,0.0116,0.0093,0.0021,0.0101,0.0146,0.0134,-0.0157,-0.0205,-0.0341,-0.0198,-0.0238,-0.0098,0.0028,-0.0183,0.0064,0.0115
2006-01-04,-36.6379,-70.4214,O,,0.0107,0.0125,0.0146,0.0175,0.0149,0.0106,0.0002,0.0146,0.0155,0.0103,0.0023,-0.0065,0.025,,,-0.0093,0.009,0.0057,-0.0014,0.003,-0.0026,-0.0025,-0.0128,-0.0176,-0.0155,-0.0091,-0.0014,0.0269,0.0194
2006-01-04,-36.6379,-70.4214,S,,0.0329,0.0366,0.0332,0.0374,0.0196,0.0211,0.0091,0.0059,0.003,1e-04,-0.0041,-0.0073,-0.0062,0.015,-0.0108,-0.0084,-0.0147,-0.0173,-0.021,-0.0152,-0.0089,-0.0094,0.0175,0.0171,0.0174,0.017,0.0119,0.0146,0.0168
