date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2010-01-22,10.8262,-85.326,N,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-22,10.8262,-85.326,S,,,,,,,,,,,,,,,,,,,,,-0.006,-0.0048,-0.0026,0.0028,0.0037,0.0061
2010-01-22,10.8262,-85.326,SO,,,,,,,,,,,,,,,,,,,,,,-0.0033,0.0006,0.0006,0.0006,0.0003
2016-01-15,10.8265,-85.326,N,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,10.8265,-85.326,NO,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,10.8265,-85.326,O,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2016-01-15,10.8265,-85.326,S,,,,,,,,,,,,,,,,,,,,-0.0039,-0.006,-0.0007,0.0015,0.003,-0.001,0.0011
2016-01-15,10.8265,-85.326,SO,,,,,,,,,,,,,,,,,,,,,-0.0019,-0.0034,-0.0022,-0.0028,-0.0012,-0.0
2019-11-23,10.8262,-85.326,N,0.0088,0.0029,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-23,10.8262,-85.326,NO,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-23,10.8262,-85.326,S,,,,,,,,,,,,,,,,,,,,0.0008,-0.0046,-0.0008,-0.0051,0.0018,-0.0021,0.0054
2019-11-23,10.8262,-85.326,SO,,,,,,,,,,,,,,,,,,,,,0.0014,-0.0012,-0.002,-0.0026,-0.0019,0.0003
2020-02-27,10.8262,-85.326,N,0.0234,0.0171,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,10.8262,-85.326,S,,,,,,,,,,,,,,,,,,,,0.0006,-0.0033,0.0017,-0.0066,0.0017,-0.0037,0.0053
2020-02-27,10.8262,-85.326,SO,,,,,,,,,,,,,,,,,,,,,0.0007,-0.0017,-0.0024,-0.0025,-0.0017,0.0005
2021-02-13,10.8262,-85.326,N,0.0087,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,10.8262,-85.326,NO,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,10.8262,-85.326,O,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,10.8262,-85.326,S,,,,,,,,,,,,,,,,,,,,-0.0028,-0.0062,-0.0,-0.0068,-0.0025,-0.0051,0.0017
2021-02-13,10.8262,-85.326,SO,,,,,,,,,,,,,,,,,,,,,,-0.0012,-0.0015,-0.0033,-0.0011,0.0008
2022-07-26,10.8262,-85.3262,N,0.0139,0.0057,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-26,10.8262,-85.3262,NE,,0.0069,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-26,10.8262,-85.3262,NO,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-07-26,10.8262,-85.3262,S,,,,,,,,,,,,,,,,,,,-0.001,-0.0005,-0.0018,-0.0009,-0.0041,-0.0076,-0.0032,
2022-07-26,10.8262,-85.3262,SO,,,,,,,,,,,,,,,,,,,,,0.002,1e-04,-0.0022,-0.0026,-0.0007,0.0011
2023-02-20,10.8276,-85.3185,E,,0.004,0.0035,,,,,,,,,,,,,,,,,,,,,,,
2023-02-20,10.8276,-85.3185,N,0.004,0.0038,0.0035,,,,,,,,,,,,,,,,,,,,,,,
2023-02-20,10.8276,-85.3185,NE,,0.0038,0.0033,0.0031,,,,,,,,,,,,,,,,,,,,,,
2023-02-20,10.8276,-85.3185,NO,,,,,,,,,,,,,,,0.0022,0.0028,0.003,0.0051,0.0026,-0.0009,-0.0026,-0.0025,0.001,-0.0,0.0025,0.0015
2023-02-20,10.8276,-85.3185,O,,,,,,,,-0.0041,-0.0068,-0.0068,-0.0069,-0.007,-0.0027,-0.0048,0.0002,0.0028,0.0005,-0.002,-0.0022,-0.0013,-0.001,0.0011,0.0017,0.0015,0.0026,0.0172
2023-02-20,10.8276,-85.3185,SE,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-19,10.8268,-85.3301,N,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-10,10.8241,-85.3268,N,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-10,10.8235,-85.3251,NE,0.0149,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-10,10.8235,-85.3251,S,0.0143,0.0073,0.0003,1e-04,0.0003,0.0003,1e-04,,,,,,,,,,,,,,,,,,,
2023-06-10,10.8235,-85.3251,SE,,,,,,0.0066,,,,,,,,,,,,,,,,,,,,
