date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-10-19,2.3032,125.3678,E,,,0.1906,0.1743,0.1569,0.1348,0.0669,0.0294,0.0049,0.009,0.0066,0.0041,0.0069,0.0016,0.0005,-0.0008,-0.0019,0.0036,-0.0019,-0.0069,-0.0119,-0.0094,-0.0135,-0.0166,-0.0119,-0.0058,-0.0015,0.0124,0.027,0.0365
2000-10-19,2.3032,125.3678,N,0.1209,0.1023,0.0975,0.0963,0.082,0.0557,0.0394,0.035,0.0582,0.0023,0.0296,0.0209,0.0093,0.004,0.0131,0.025,0.0352,0.0402,0.022,-0.0065,-0.0172,-0.0238,-0.0275,-0.023,-0.0163,-0.0036,-0.0094,-0.0041,-0.006,-0.0136
2000-10-19,2.3032,125.3678,NE,,0.1957,0.1754,0.1449,0.097,0.0778,0.0429,0.0295,0.0094,-0.0047,-0.0086,-0.0089,-0.0036,-0.0058,0.011,0.007,-0.0063,0.0124,-0.0185,-0.0044,-0.0066,-0.005,-0.0164,-0.0227,-0.0197,-0.0182,-0.0183,-0.0059,0.0178,0.0233
2000-10-19,2.3032,125.3678,NO,,0.054,0.0275,0.0088,0.0016,0.0049,0.004,0.0285,0.0265,0.0194,0.0198,0.0186,0.0094,0.0085,0.0016,-0.0006,-0.0175,-0.0045,-0.0012,-0.002,0.0004,-0.0066,0.0012,-0.003,-0.0057,-0.0049,0.0,0.0055,0.0079,0.0122
2000-10-19,2.3032,125.3678,O,,0.0867,0.0594,0.0503,0.0407,0.0334,0.0251,0.0262,0.0206,0.0249,0.0181,0.0147,0.0014,-0.0078,-0.0124,-0.0119,-0.0174,-0.0176,-0.0261,-0.0145,-0.0194,-0.0135,-0.0019,0.0016,0.0158,0.0171,0.0178,0.0075,0.005,0.0063
2000-10-19,2.3032,125.3678,S,0.1195,0.1156,0.0973,0.0876,0.0806,0.0686,0.056,0.0448,0.0279,0.0202,0.0044,-0.0045,-0.0155,-0.0285,-0.0375,-0.0264,-0.0217,-0.0256,-0.0118,0.0085,0.0139,0.0223,0.0207,0.0136,0.0122,0.0077,0.005,-0.0009,-0.004,-0.0055
2000-10-19,2.3032,125.3678,SE,,0.1261,0.123,0.1031,0.1148,0.0741,0.0929,0.0431,0.0628,0.0882,0.0612,0.0268,0.0056,-0.0056,0.0197,-0.0081,-0.0123,-0.0073,-0.0301,-0.0361,-0.0294,-0.0055,-0.0024,-0.0032,-0.0033,-0.0002,-0.0004,-0.0027,-0.0013,-0.0019
2000-10-19,2.3032,125.3678,SO,,0.0765,0.053,0.0607,0.0514,0.0318,0.0173,0.0069,0.0013,0.003,0.0002,-0.002,-0.0096,-0.0089,-0.0153,-0.0065,-0.0031,0.0009,0.0015,-0.0041,0.0101,0.0021,0.0151,0.0011,0.0013,0.0033,-0.0006,-0.0024,0.0003,0.0096
2002-05-02,2.3038,125.3708,E,,,0.0462,0.0346,0.038,0.0213,0.0133,0.0118,0.0107,0.0218,0.0184,0.0061,-0.0003,0.0079,0.0011,-0.0004,-0.0078,-0.0045,-0.001,-0.0016,-0.0026,-0.0041,0.0056,0.0102,-0.0037,-0.0079,0.03,-0.0097,-0.0194,-0.0224
2002-05-02,2.3038,125.3708,N,0.0245,0.0121,0.0133,0.0085,0.0057,0.0021,0.0027,-0.0023,-0.0151,-0.0216,-0.0229,-0.016,-0.0252,-0.0411,,,0.0203,0.0285,-0.0258,-0.0135,-0.0248,-0.0021,0.0069,0.0137,0.0079,0.0012,0.0018,0.0092,0.0058,-0.005
2002-05-02,2.3038,125.3708,NE,,0.1052,0.0785,0.0766,0.0616,0.0534,0.0428,0.0322,0.0294,0.0227,0.0107,0.0044,0.0077,0.0032,0.003,-0.0106,-0.019,-0.0055,-0.0124,-0.0185,-0.0036,0.0053,0.0093,0.0009,0.0146,0.0171,0.0089,-0.0005,-0.0167,-0.0257
2002-05-02,2.3038,125.3708,NO,,-0.0088,-0.0389,-0.0302,-0.0418,-0.0334,-0.0214,-0.0447,-0.0281,-0.0129,-0.004,,,,,,0.0038,0.0115,0.0056,0.0094,0.0176,0.0121,0.0128,0.013,0.0087,0.0169,0.0029,-0.0008,-0.0107,-0.0057
2002-05-02,2.3038,125.3708,O,,0.025,0.0135,0.0089,-0.0031,0.0009,-0.0004,-0.0017,-0.0015,0.0143,,,,,,,,,,,,,,,-0.0036,-0.0024,-0.0015,-0.0008,-0.0005,-0.0003
2002-05-02,2.3038,125.3708,S,,0.0055,0.0048,-0.0009,-0.002,0.0006,-0.0022,0.0008,0.0034,0.0014,-0.0004,-0.0339,,,,,,,,,,,,,,,,,,
2002-05-02,2.3038,125.3708,SE,,0.0711,0.0564,0.0339,0.0357,0.0354,0.032,0.0217,0.0054,-0.0035,-0.0027,0.0072,-0.0029,-0.0028,-0.0041,-0.0034,-0.0095,-0.0095,-0.0015,-0.0045,-0.0061,-0.0037,0.0013,0.0022,0.0017,,,,0.0043,
2002-05-02,2.3038,125.3708,SO,,0.025,0.0105,0.0077,0.0015,-0.0066,-0.0093,0.005,-0.0067,,,,,,,,,,,,,,,,,,,-0.0012,0.001,0.0003
2006-12-07,2.3046,125.3713,E,,,0.0373,0.017,-0.0021,-0.0132,-0.012,-0.0136,-0.014,-0.01,-0.0159,-0.0094,0.0017,0.0073,0.0014,0.0058,0.0175,0.0121,-0.0094,0.0023,-0.0094,,,,,,,-0.0036,-0.0057,-0.0212
2006-12-07,2.3046,125.3713,N,0.0081,-0.0069,-0.0139,-0.0041,0.0026,0.0094,0.0082,0.0031,0.0032,0.0052,-0.003,-0.0128,-0.0127,0.0056,0.0244,0.0148,0.0277,0.0136,0.0075,0.0087,0.01,0.0046,0.0031,-0.0163,-0.0108,-0.0282,-0.0414,-0.0355,-0.037,-0.0344
2006-12-07,2.3046,125.3713,NE,,0.0262,-0.0096,-0.0392,-0.0177,-0.0138,0.008,0.0218,0.0197,0.0072,0.0034,0.0025,0.0098,0.0086,0.0092,-0.014,-0.0131,-0.013,-0.0089,-0.0135,0.0059,0.0043,0.0228,0.0166,0.025,0.0245,-0.0104,-0.0036,-0.0057,-0.0005
2006-12-07,2.3046,125.3713,NO,,0.0468,0.0716,0.0701,0.058,0.0344,0.046,0.0115,-0.0046,-0.0098,-0.0205,-0.0295,-0.0336,-0.019,-0.0028,0.0067,0.0082,0.0107,0.0129,0.0247,0.0156,0.0212,0.0106,0.0026,-0.0063,-0.0132,-0.0055,0.0055,0.008,0.0094
2006-12-07,2.3046,125.3713,O,,-0.0191,-0.0241,-0.0354,-0.046,-0.052,,,,,,,,,,-0.0424,-0.0226,-0.0161,-0.0143,0.0039,0.0093,0.0044,-0.0064,-0.0069,-0.0048,-0.0024,0.0049,0.0104,0.0087,0.0176
2006-12-07,2.3046,125.3713,S,,0.1258,0.0994,0.0719,0.0515,0.0383,0.0264,0.0135,0.0243,0.0269,0.0269,0.0288,0.0143,0.0039,-0.0005,-0.0033,-0.0027,-0.0065,-0.0063,-0.0093,-0.0135,-0.0072,-0.014,-0.0146,-0.0046,-0.0068,-0.0113,-0.01,-0.0065,0.0052
2006-12-07,2.3046,125.3713,SE,,0.0894,0.0656,0.0072,0.0036,-0.021,-0.0049,0.0083,0.0042,0.0103,0.0041,0.0033,0.0021,0.0087,0.0022,-0.0044,-0.0037,-0.0018,0.0012,-0.0033,-0.0064,-0.0042,0.0033,-0.0008,-0.0042,-0.0099,-0.0112,-0.0055,-0.0049,-0.0088
2006-12-07,2.3046,125.3713,SO,,-0.0152,-0.0199,-0.037,-0.0469,-0.0449,-0.0578,-0.0707,-0.0563,-0.0453,-0.0344,,,,,,0.0132,-0.0195,-0.0195,-0.0198,-0.0077,-0.0071,0.0011,-0.0004,0.0014,0.0057,0.0088,0.0055,-0.0008,-0.0025
2012-11-21,2.3075,125.3635,E,,,0.1767,0.151,0.1225,0.0523,-0.0171,-0.0107,0.0006,-0.0123,-0.0019,-0.0086,-0.0078,-0.0059,-0.004,-0.0048,-0.0025,-0.0042,-0.0036,-0.0022,-0.0008,0.0013,0.0023,0.0023,0.0037,,,,,
2012-11-21,2.3075,125.3635,N,0.1952,0.1473,0.1005,0.0932,0.0863,0.1058,0.0595,0.0274,-0.0073,-0.0059,0.0004,-0.0077,-0.0117,-0.0105,-0.0064,-0.0054,-0.0029,-0.0049,-0.0047,-0.0047,-0.0038,-0.0067,-0.006,-0.0062,-0.0038,-0.0028,-0.0017,0.0005,0.0018,0.0052
2012-11-21,2.3075,125.3635,NE,,0.1642,0.1425,0.1484,0.1111,0.089,0.0909,0.0877,0.0796,-0.0306,-0.0299,-0.0252,-0.0256,-0.0244,-0.0236,-0.0194,-0.0139,-0.0161,-0.0096,-0.0085,-0.0058,-0.0068,-0.0057,-0.0022,-0.0022,0.0022,0.0037,0.0054,0.0076,0.0081
2012-11-21,2.3075,125.3635,NO,,,,,,,,,,,,,,-0.0335,-0.0166,-0.0065,0.0025,-0.0089,0.0311,0.0161,0.0273,-0.0172,-0.0251,-0.0129,-0.0168,-0.0167,-0.0078,0.0021,0.0064,0.0112
2012-11-21,2.3075,125.3635,O,,,,,,,,,,,-0.0218,-0.0222,-0.0227,-0.0202,-0.0177,-0.0073,0.0273,0.0244,-0.0084,-0.0139,-0.0126,-0.0104,-0.0084,-0.0055,-0.0029,-0.0012,-0.0018,-0.0003,0.0035,0.0074
2012-11-21,2.3075,125.3635,S,,0.2131,0.1898,0.1379,0.0711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012-11-21,2.3075,125.3635,SE,,0.2062,0.18,0.1339,0.0686,0.0003,0.0004,-1e-04,,,-0.0003,,-0.0003,-0.0002,-0.0002,-0.0003,-0.0003,-0.0003,-0.0004,-0.0002,-0.0002,-1e-04,-0.0,0.0002,0.0003,0.0003,,,,
2012-11-21,2.3075,125.3635,SO,,,,,,,,,,,-0.0155,-0.0128,,-0.0058,-0.0089,-0.0013,-0.0022,0.003,-0.0,-0.0041,-0.0003,-0.0017,-0.0033,-0.0019,-0.0013,-0.0008,0.0005,0.0017,0.0024,0.0032
2013-03-13,2.3067,125.3711,E,,0.006,,0.0005,-0.0003,0.0022,0.0017,,,,,,,,-0.0022,,0.0012,,,0.0007,0.0,,,0.0044,,,,,,
2013-03-13,2.3067,125.3708,E,,,0.004,,,,,0.0041,0.0002,,,,,,,,,,,,,,,,0.003,,,,,
2013-03-13,2.3067,125.3705,E,,,,,,,,,,0.0004,-0.0007,0.0003,-0.0031,-0.0026,,-0.0007,,0.0004,-0.0016,,,0.0015,0.0006,,,,,,,
2013-03-13,2.3067,125.3711,N,,,0.0059,,0.0059,0.0056,-0.001,,-0.0012,,-0.0005,,-0.0039,,,,-0.0039,-0.0037,,0.0011,,0.0012,,,,-1e-04,-0.0018,,,
2013-03-13,2.3067,125.3708,N,,0.0068,,0.006,,,,,,,,-0.0006,,-0.0003,,,,,,,,,,0.0037,,,,,-0.0017,
2013-03-13,2.3067,125.3705,N,,,,,,,,-0.0008,,0.0031,,,,,-1e-04,1e-04,,,0.0004,,0.0012,,0.0014,,0.0037,,,-0.0023,,-0.0017
2013-03-13,2.3067,125.3711,NE,,,,,,,-0.0069,-0.0063,,,,0.0029,,-0.0011,-0.0015,-0.0008,0.0014,,0.0026,,0.0006,,,,-0.0021,,-0.0019,,,-0.0014
2013-03-13,2.3067,125.3708,NE,,,-0.0051,,,-0.0022,,,,-0.0077,0.0017,,,,,,,0.0021,,,,-0.0009,,-0.0025,,,,-0.0017,,
2013-03-13,2.3067,125.3705,NE,,-0.0024,,-0.0039,-0.0025,,,,-0.0053,,,,-0.0016,,,,,,,0.003,,,-0.0025,,,-0.0021,,,-0.0014,
2013-03-13,2.3067,125.3711,NO,,,,,,,,,,,,,0.001,,,0.0012,0.0016,,0.0028,-0.0015,,0.0013,0.001,,,,-0.0011,-0.0017,-0.0008,
2013-03-13,2.3067,125.3708,NO,,,,,,,,,,,,,,,,,,0.0028,,,,,,,,,,,,
2013-03-13,2.3067,125.3705,NO,,,,,,,,,,,,,,0.0034,-0.0032,,,,,,-0.0026,,,-0.0014,-0.0002,0.0019,,,,-0.001
2013-03-13,2.3067,125.3711,O,,,,,,,,,,,0.0025,0.0007,-0.0005,-1e-04,-0.0005,,-0.0004,-0.0005,-0.001,,-0.002,0.0008,,0.0031,,0.0019,,-0.0026,,
2013-03-13,2.3067,125.3708,O,,,,,,,,,,,,,,,,,,,,-0.002,,,-0.0007,,,,,,,
2013-03-13,2.3067,125.3705,O,,,,,,,,,,,,,,,,-0.0033,,,,,,,,,0.0051,,0.002,,0.0013,-0.0029
2013-03-13,2.3067,125.3711,S,,,0.0095,,-0.0055,,-0.0059,,-0.0023,,0.0019,0.0019,,,,,-0.0038,-0.003,,-0.0037,,-0.0026,,,,-0.0013,,,,
2013-03-13,2.3067,125.3708,S,,0.0102,,,,,,,,-0.0003,,,,,,,,,-0.0044,,,,-0.0003,,-0.0025,,,0.0029,0.0039,
2013-03-13,2.3067,125.3705,S,,,,-0.0092,,,,-0.001,,,,,-0.0029,-0.0033,-0.0009,-0.0007,,,,,-0.0026,,,0.0003,,,0.0023,,,0.0055
2013-03-13,2.3067,125.3711,SE,,,,,,0.0007,,0.0042,,-0.0031,-0.0024,-0.0028,,,,0.0016,0.0018,,-0.0007,0.0038,,,-0.0012,-0.0009,-0.0019,,,,-0.0023,-0.0022
2013-03-13,2.3067,125.3708,SE,,,,-0.0041,-0.0047,,,,,,,,-0.0018,,0.0014,,,,,,,,,,,,,,,
2013-03-13,2.3067,125.3705,SE,,0.0081,0.0007,,,,0.0002,,-0.0024,,,,,0.0006,,,,0.0014,,,0.0022,0.0021,,,,0.0016,-0.0019,-0.0027,,
2013-03-13,2.3067,125.3711,SO,,,,,,,,,,,,0.0006,,,,,0.0009,,0.0012,,0.0003,,-0.0021,,,,0.0005,0.0015,,0.0028
2013-03-13,2.3067,125.3708,SO,,,,,,,,,,,,,,,,,,0.0017,,,,,,-0.0,,,,,0.0015,
