date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-10,-39.2819,175.5632,E,,,0.2355,0.2146,,,,0.1271,0.0802,,,,,,,,,,,,,,,,,,,,,
2000-01-10,-39.2819,175.5632,N,,,,,,,,,,-0.0581,-0.04,0.0003,-0.0388,-0.0172,0.0153,0.0082,0.0032,0.0013,0.0348,0.0217,0.0121,0.0087,-0.0017,0.0215,-0.0004,0.0125,0.0158,0.0101,0.003,0.007
2000-01-10,-39.2819,175.5632,NE,,,,,,,,,,,-0.0605,-0.0757,-0.0033,,,0.0041,-0.0276,0.0212,0.0046,0.0519,0.0466,0.0349,-0.0065,-0.002,-0.0532,,,,,
2000-01-10,-39.2819,175.5632,NO,,0.1136,0.1186,0.0951,0.0814,0.06,0.0313,0.0203,-0.0013,0.0029,0.0054,0.0024,0.0327,0.0245,-0.0004,-0.0253,-0.0007,0.001,-0.0107,-0.0158,-0.0136,-0.0075,-0.0069,-0.0054,-0.0179,-0.0012,0.0322,0.0283,0.0188,0.0196
2000-01-10,-39.2819,175.5632,O,,0.1648,0.141,0.1128,0.0944,0.08,0.037,0.0099,-0.0069,-0.0156,,,,,,,,,,,,,-0.0167,0.0147,0.001,0.0157,-0.0045,-0.0434,,
2000-01-10,-39.2819,175.5632,S,0.1959,0.0805,0.1035,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2000-01-10,-39.2819,175.5632,SE,,0.0658,,,,,0.0334,0.0237,-0.0231,,,,,,,,,,,,,,,-0.0062,,,,,0.0003,0.0053
2000-01-10,-39.2819,175.5632,SO,,0.1436,,0.0687,0.068,,,0.0192,,,,,,,,,,-0.0084,-0.0046,0.0035,0.0119,-0.0005,-0.0003,-0.0015,-0.0013,-0.0002,-0.0017,-0.0009,0.0023,0.002
2000-01-19,-39.2821,175.5636,E,,,,,,,,,,0.0365,-0.0056,-0.0618,,,,,,,,,,,,,,,-0.0,,-0.0,
2000-01-19,-39.2821,175.5636,N,,,,,,,,,-0.0574,-0.0204,-0.0132,-0.0438,-0.0261,0.019,0.0251,0.0308,0.068,0.0489,0.0416,0.0141,-0.0155,-0.0216,-0.0325,-0.0227,-0.0076,0.0069,0.0166,0.0095,0.0077,0.017
