date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-10-07,13.4299,-88.2674,E,0.0988,0.0749,0.0686,0.0225,-0.0003,-0.0119,0.0312,0.0609,0.0657,0.0605,0.0609,-0.0032,0.0044,0.0073,0.0037,0.0065,0.0132,0.0078,0.0065,-0.0111,-0.0152,-0.0264,-0.0366,-0.0266,-0.0232,-0.0132,-0.0128,-0.0098,-0.0083,-0.0106
2000-10-07,13.4299,-88.2674,N,0.0721,0.0656,0.0592,0.04,0.0565,0.0013,-0.0106,0.0018,0.0062,0.0066,0.0311,0.0315,-0.0053,-0.0173,-0.0167,-0.011,-0.0144,-0.0126,-0.0131,-0.0126,-0.0161,-0.0043,-0.0077,-0.0086,-0.0089,-0.0152,-0.0146,-0.0146,-0.0197,0.0005
2000-10-07,13.4299,-88.2674,NE,,0.0311,0.0276,0.0248,0.0235,0.0254,0.0258,0.0148,-0.0258,-0.012,-0.006,0.0207,0.0285,0.0306,0.0251,0.0272,0.0024,0.0057,-0.0028,-0.0103,-0.0134,-0.0321,-0.041,-0.0302,-0.0293,-0.0228,-0.0115,-0.007,-0.0069,-0.004
2000-10-07,13.4299,-88.2674,NO,,0.0614,0.0574,0.0571,0.059,0.0401,0.0273,0.0043,-0.0035,-0.0063,-0.0048,-0.0216,-0.0149,-0.0157,-0.0203,-0.0188,-0.0007,0.01,0.0144,0.009,0.0087,0.0168,0.0176,0.0196,0.0211,0.0151,0.0069,0.0079,-0.0013,-0.0053
2000-10-07,13.4299,-88.2674,O,0.0837,0.0843,0.0805,0.0777,0.0558,0.0524,0.049,0.04,0.0063,0.006,0.0064,0.0073,0.0017,-0.0059,-0.0095,0.0349,0.038,0.0318,0.0373,-0.0002,-0.0074,-0.0025,-0.0357,-0.0394,-0.0353,-0.0237,-0.0113,-0.0136,-0.0098,-0.0013
2000-10-07,13.4299,-88.2674,S,,0.1442,0.1002,0.0581,0.0147,-0.0209,-0.0215,-0.007,0.0312,0.0112,0.0142,-0.0237,-0.0486,-0.0521,-0.0528,-0.0533,-0.0339,-0.0062,0.0073,0.0075,0.0081,0.0055,0.0062,0.0117,0.0181,0.0201,0.0221,0.0158,0.0089,-0.0066
2000-10-07,13.4299,-88.2674,SE,,0.0873,0.0521,-0.0209,-0.0361,-0.0132,0.0232,0.0621,0.0736,0.0866,0.0665,0.0531,0.0122,-0.0615,-0.0577,-0.0575,-0.0285,-0.0326,-0.027,-0.0311,0.0086,0.0208,0.0323,0.0365,0.0395,0.0404,0.0134,-0.0213,-0.0678,-0.067
2000-10-07,13.4299,-88.2674,SO,,0.1399,0.132,0.1308,0.1038,0.0509,0.0255,0.0155,0.0116,0.0032,0.0116,0.0064,-0.0103,-0.0096,-0.0093,-0.0209,-0.0088,-0.0119,0.0041,0.0104,0.0208,0.0254,0.004,0.0166,0.0027,0.0033,-0.0145,-0.0029,-0.0032,0.0076
2000-12-26,13.4299,-88.2674,E,0.1738,0.1476,0.1244,0.036,0.0045,0.0027,0.0762,0.123,0.0992,0.0768,0.0771,0.002,0.013,0.0182,0.0164,0.019,0.0131,0.0041,0.0066,-0.0247,-0.0378,-0.0536,-0.0512,-0.0379,-0.0316,-0.0261,-0.0215,-0.0137,-0.008,-0.0154
2000-12-26,13.4299,-88.2674,N,0.0702,0.0603,0.0502,0.0325,0.0511,-0.0024,-0.0069,-0.0046,0.004,0.0074,0.0109,0.0143,-0.0038,0.0002,0.0064,0.0041,0.0044,0.0079,0.0007,-0.0038,-0.0343,0.0058,0.0146,-0.0004,0.0206,0.0327,0.0193,-0.0238,-0.0218,0.0082
2000-12-26,13.4299,-88.2674,NE,,0.0779,0.0769,0.0736,0.0643,0.0532,0.0467,0.0307,-0.0168,-0.0018,-0.0053,0.0216,0.0447,0.0371,0.0145,0.0261,0.005,-0.0028,-0.0072,-0.0048,-0.0136,-0.0433,-0.0578,-0.0427,-0.0387,-0.0295,-0.0178,-0.0049,0.0056,0.0123
2000-12-26,13.4299,-88.2674,NO,,0.032,0.0276,0.0273,0.0355,0.0114,-0.0138,-0.0211,-0.0197,-0.0269,-0.0173,-0.0313,-0.0135,-0.0114,0.003,0.0084,0.0315,0.039,0.0475,0.0273,0.0235,0.0303,0.0387,0.0401,0.0118,0.0129,-0.0252,0.0114,-0.0031,-0.0012
2000-12-26,13.4299,-88.2674,O,0.0577,0.0581,0.0677,0.0684,0.0374,0.0318,0.0229,0.0057,-0.0179,-0.0103,0.0045,0.0047,-0.0227,-0.0204,-0.01,0.041,0.0494,0.0224,0.0173,-0.0134,-0.0073,-0.0005,-0.0215,-0.0243,-0.0243,-0.018,-0.004,-0.0353,-0.0331,-0.0214
2000-12-26,13.4299,-88.2674,S,,0.2009,0.0938,0.0374,-0.0168,-0.0652,-0.0451,-0.0476,0.0021,-0.0103,-0.0196,-0.0372,-0.0582,-0.0581,-0.0765,-0.0636,-0.045,-0.0383,-0.0104,-0.0032,-0.0009,0.0145,0.0319,0.0252,0.038,0.0213,0.0252,0.0137,0.0084,0.0078
2000-12-26,13.4299,-88.2674,SE,,0.1467,0.0658,-0.0543,-0.1163,-0.0668,-0.0309,0.0178,0.0342,0.0554,0.0579,0.0605,0.0015,-0.0868,-0.0284,-0.0963,-0.0844,-0.0385,-0.0071,0.0142,0.0626,0.0767,0.068,0.0685,0.0699,0.0418,-0.1059,-0.1151,-0.1149,-0.1145
2000-12-26,13.4299,-88.2674,SO,,0.1329,0.1295,0.1227,0.1189,0.0551,0.0311,0.0005,0.0354,0.0058,0.0186,0.0097,-0.0085,-0.0032,0.0125,0.0023,0.0096,0.0114,0.0233,0.0168,0.016,0.0255,0.0108,0.0275,-0.001,-0.002,-0.0067,-0.0194,-0.0138,0.0036
2003-01-01,13.4299,-88.2674,E,0.1926,0.1609,0.1296,0.0286,0.005,0.0206,0.0497,0.0866,0.1094,0.0639,0.0731,0.0151,0.0144,0.0166,0.0189,0.0265,0.0205,0.0035,0.0079,-0.0148,-0.0333,-0.0523,-0.0588,-0.0404,-0.0327,-0.0215,-0.0124,-0.0073,-0.0094,-0.024
2003-01-01,13.4299,-88.2674,N,0.1036,0.0891,0.0686,0.0535,0.0621,0.0148,0.0014,0.0138,0.0124,0.0296,0.0249,0.0237,-0.0014,0.0039,0.0162,-0.0041,-0.0035,0.0043,-0.008,-0.0132,-0.0326,-0.0076,-0.0149,-0.0158,0.0074,0.0192,0.0212,-0.0071,-0.0026,0.0215
2003-01-01,13.4299,-88.2674,NE,,0.0951,0.0909,0.0648,0.0617,0.0557,0.0555,0.0358,-0.0056,0.0053,-0.0115,0.0106,0.0255,0.041,0.007,0.0315,-0.0064,-0.0004,-0.0064,-0.0185,-0.0107,-0.0403,-0.0562,-0.043,-0.0362,-0.0316,-0.0231,-0.0072,-0.0011,0.0069
2003-01-01,13.4299,-88.2674,NO,,0.032,0.0218,0.0175,0.0177,-0.0142,-0.0227,-0.027,-0.0277,-0.0376,-0.0274,-0.0131,0.0002,-0.0051,-0.0028,0.0118,0.0283,0.0363,0.0474,0.0507,0.044,0.0407,0.0438,0.0329,0.0014,-0.0046,-0.0121,-0.0039,-0.0227,-0.0142
