date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-02-19,13.7358,-89.2922,E,0.0525,0.0124,-0.0208,-0.0243,-0.003,-0.003,0.0194,0.0301,0.0461,0.0358,0.0235,0.017,0.0223,0.0378,0.0942,0.1489,0.0812,0.0843,0.075,0.0854,0.0408,-0.0152,-0.0504,-0.0694,-0.054,-0.0983,-0.1302,-0.1392,-0.1513,-0.1521
2001-02-19,13.7358,-89.2922,N,0.2027,0.1621,0.1012,0.0427,0.0047,-0.0174,-0.0319,-0.029,-0.033,-0.0299,-0.0044,0.0146,0.0507,0.0694,0.1039,0.0807,0.0492,0.0227,0.0285,0.0233,0.0132,0.0079,0.0033,-0.0084,-0.0123,-0.0323,-0.0315,-0.0388,-0.0515,-0.0768
2001-02-19,13.7358,-89.2922,NE,,-0.016,-0.0509,-0.0842,-0.1132,-0.1302,-0.1386,-0.134,-0.1221,-0.1019,-0.0741,-0.0222,0.0058,0.0301,0.0583,0.0576,0.0547,0.0412,0.0122,0.0022,-0.0029,-0.0252,-0.0299,-0.0203,-0.0057,0.009,0.0013,0.0027,-0.0278,-0.0349
2001-02-19,13.7358,-89.2922,NO,,0.1493,0.1281,0.1134,0.0543,0.0015,-0.0333,-0.0325,-0.0253,-0.0341,-0.0033,-0.0074,-0.0284,-0.0062,-0.0073,-0.017,-0.0079,0.0084,0.0129,0.0391,0.0584,0.0377,0.022,0.0066,-0.0058,-0.0135,-0.0177,-0.0283,-0.0319,-0.0456
2001-02-19,13.7358,-89.2922,O,,0.2557,0.2339,0.2359,0.2292,0.1738,0.1092,0.0641,0.053,0.0518,0.0316,0.014,0.0088,0.0034,-0.0012,-0.0068,-0.0116,-0.0111,-0.013,-0.0122,-0.0114,-0.0131,-0.0126,-0.007,-0.0089,-0.0051,-0.0036,-0.0018,-0.0008,-0.0048
2001-02-19,13.7358,-89.2922,S,0.2644,0.2553,0.2178,0.1474,0.0688,0.0219,0.0021,-0.0032,-0.0018,-0.0067,-0.004,0.0014,0.0024,0.0021,0.0026,0.0022,0.005,0.0079,0.0102,0.0036,0.0045,-0.0014,-0.0075,0.0004,-0.0015,-0.0049,-0.0016,0.0011,0.005,0.0088
2001-02-19,13.7358,-89.2922,SE,,0.2419,0.2094,0.198,0.168,0.1326,0.0692,0.035,0.0197,0.0152,0.0065,-0.001,0.0017,0.0066,0.0069,-0.0003,-0.012,-0.0147,-0.0138,-0.0126,-0.0113,-0.0093,-0.0082,-0.0068,-0.0041,-0.0023,0.0033,0.009,0.0095,0.0118
2001-02-19,13.7358,-89.2922,SO,,0.2384,0.2122,0.1837,0.1354,0.0986,0.0589,0.0326,0.0205,0.0072,0.0004,-0.006,0.0074,0.0008,1e-04,-0.0076,-0.0072,-0.0051,0.0021,-0.0141,0.0069,-0.0102,-0.0044,-0.0045,-0.0047,-0.0018,-0.0007,-0.002,0.0036,0.0066
2001-08-14,13.7358,-89.2925,E,0.0464,0.0177,0.0102,0.0047,0.0077,0.0014,0.0176,0.038,0.0345,0.0285,0.0099,-0.0214,-0.0056,0.0258,0.0624,0.0783,0.0714,0.0486,0.0363,0.0592,0.0542,-0.0263,-0.0307,-0.0451,-0.0472,-0.0602,-0.0717,-0.071,-0.0733,-0.0724
2001-08-14,13.7358,-89.2925,N,0.1343,0.1046,0.076,0.0458,0.026,0.0055,-0.0167,-0.0207,-0.0149,-0.016,-0.0136,-0.0052,0.0153,0.0248,0.0351,0.0303,0.0192,0.0111,0.0002,-0.0006,0.003,0.0196,0.0109,0.0101,0.0057,0.0093,-0.0018,-0.0026,-0.0342,-0.0624
