date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2006-01-04,-33.7833,-69.8816,E,,0.1363,0.1468,0.1293,0.1242,,,,,,,,0.0286,-0.0175,-0.0029,-0.027,-0.0417,-0.0551,-0.0447,-0.0199,-0.0125,-0.012,0.0075,0.007,0.0104,-1e-04,-0.014,-0.0049,-0.0028,0.0046
2006-01-04,-33.7833,-69.8816,N,,0.0994,0.0519,0.0059,-0.007,-0.0281,-0.0152,-0.0781,-0.0416,-0.0135,0.0216,0.0274,0.0397,0.0022,-0.0039,0.0259,0.0275,-0.0111,-0.0303,-0.0183,-0.0193,-0.0176,,0.001,0.0048,0.0065,,-0.0098,-0.0091,0.0124
2006-01-04,-33.7833,-69.8816,NE,0.1476,0.131,0.1095,0.0583,,,,,,,,,,,-0.031,,-0.0102,-0.0021,-0.0019,-0.0196,0.0007,0.0277,0.0305,0.0341,0.0019,-1e-04,-0.0002,-0.0123,-0.0122,-0.0037
2006-01-04,-33.7833,-69.8816,NO,0.0827,0.0719,0.0572,0.0454,0.0337,0.0333,0.0379,0.0233,0.0308,0.0618,0.0734,0.0302,-0.0028,-0.0041,-0.008,-0.0092,0.0102,0.011,-0.0409,-0.0337,-0.0432,-0.0071,0.0035,0.0024,0.0039,0.0109,0.0147,0.0101,0.022,0.0036
2006-01-04,-33.7833,-69.8816,O,,0.1203,0.1063,0.0529,0.0012,-0.0004,0.0147,0.0195,0.034,0.0135,0.0278,0.0223,0.0187,0.0354,0.0098,-0.0099,-0.0289,-0.028,-0.0268,-0.016,0.0036,-0.056,-0.0462,,,,,,0.0494,0.0256
2006-01-04,-33.7833,-69.8816,S,,0.1339,0.0898,0.0407,0.0551,0.0565,0.0504,0.0386,0.0154,0.0045,0.0035,-0.0057,-0.0111,-0.0164,-0.0068,-0.0287,-0.0305,-0.0209,-0.0036,-0.0028,-0.0099,-0.0045,-0.0066,0.0017,0.002,0.0054,0.0207,0.0075,-0.0088,-0.0206
2006-01-04,-33.7833,-69.8816,SE,0.1399,0.1294,0.1291,0.1019,0.1294,0.0936,0.0854,0.0745,0.0372,-0.0003,-0.0115,-0.0099,-0.0173,-0.0498,-0.0435,-0.0026,0.0313,0.016,0.0029,-0.0243,-0.0525,-0.0439,-0.013,-0.0005,0.0025,-0.0029,-0.0011,0.0019,0.0121,0.0137
2006-01-04,-33.7833,-69.8816,SO,0.1584,0.1301,0.0971,0.0441,0.001,-0.0411,-0.0643,-0.0557,-0.0445,-0.0199,-0.0197,-0.0284,-0.0232,-0.0123,-0.0105,0.0162,0.022,0.0373,0.0362,0.0326,0.0145,0.0098,-0.0006,-0.0165,0.0008,-0.0042,-0.0011,-0.0479,-0.0473,-0.0235
2006-05-12,-33.7839,-69.8793,E,0.0204,-0.0914,-0.1472,-0.1364,-0.0655,-0.01,-0.0082,0.0117,0.0102,0.0075,0.0007,-0.1121,,,,,,,,,,,,,,,,,,
2006-05-12,-33.7839,-69.8793,N,,0.1076,0.0955,0.0943,0.0891,0.0776,0.0725,0.0692,0.0626,0.0493,0.0422,0.0215,-0.0138,-0.0111,-0.0004,-0.0406,-0.061,-0.0762,-0.0686,-0.056,-0.0493,-0.0237,-0.001,0.0102,0.0174,0.0236,0.0238,0.013,-0.0056,-0.0025
2006-05-12,-33.7839,-69.8793,NE,,0.1377,0.161,0.1769,0.1666,0.1482,0.1066,0.0778,0.0008,0.0026,-0.012,0.0108,0.0159,0.011,-0.005,-0.0654,-0.0292,-0.0639,-0.0638,,,-0.0625,-0.0107,0.0168,0.0303,0.026,0.008,-0.0022,-0.0115,-0.018
2006-05-12,-33.7839,-69.8793,NO,,0.145,0.145,0.136,0.1175,0.1074,0.0715,0.0553,0.0226,-0.0073,-0.0072,0.0052,,,,,,,-0.0265,-0.0447,-0.0253,-0.0266,0.0341,-0.0007,-0.0009,-0.0133,-0.0078,0.0058,-0.0009,0.0225
2006-05-12,-33.7839,-69.8793,O,,0.2491,0.1768,,,,,,,,,,,-0.05,-0.0146,-0.0124,-0.0443,-0.0598,,,-0.037,-0.0014,0.0569,0.0523,0.0244,0.0014,-0.0128,-0.0258,-0.0123,0.0209
2006-05-12,-33.7839,-69.8793,S,,0.0985,0.0924,0.0676,0.0509,0.0343,0.0708,0.0652,0.0414,0.0385,0.0302,-0.0352,-0.0517,-0.0171,,-0.0174,-0.0711,-0.0593,-0.0457,0.0049,,-0.0105,,-0.0029,0.0464,0.0411,,,0.1183,
2006-05-12,-33.7839,-69.8793,SE,0.0501,-0.0096,0.0186,-0.0228,-0.0225,-0.0289,-0.0243,-0.0233,-0.0038,0.0153,0.02,0.0147,0.0116,0.0376,0.04,0.0433,0.0215,0.0099,-0.0095,-0.0489,-0.0212,-0.0,-0.0163,-0.0142,-0.0334,-0.0378,-0.013,-0.0521,-0.0379,-0.0612
2006-05-12,-33.7839,-69.8793,SO,0.2788,0.2285,0.2001,0.1559,,,,,,,,,,,0.0007,,-0.0003,-1e-04,0.0002,-1e-04,-0.0022,-0.003,-0.0036,-0.0038,-0.0022,-0.0025,0.0026,0.004,-0.0021,0.0028
2013-01-23,-33.7822,-69.8868,E,,,,0.1575,0.1322,,,,,,,,,,,,,,,,,,,,,-0.0093,,,,
2013-01-23,-33.7819,-69.8868,E,,0.202,0.178,,,,,,,,,,,,,0.032,0.0125,0.0074,0.0063,-0.0031,0.0025,0.0089,0.0016,-0.0058,,,-0.0143,-0.0066,-0.0127,
2013-01-23,-33.7817,-69.8868,E,,,,,,,,,,,,,0.0668,0.049,0.0452,,,,,,,,,,-0.011,,,,,-0.0236
2013-01-23,-33.7822,-69.8868,N,,0.0893,,,,,0.0015,-0.0128,-0.0191,-0.0004,0.0248,0.0273,0.0401,0.0358,0.0058,,-0.0159,-0.0199,-0.0198,-0.0145,-0.0093,,,0.0117,,0.0213,0.0098,,-0.0123,
2013-01-23,-33.7819,-69.8868,N,,,0.0541,0.0391,0.0253,0.0075,,,,,,,,,,-0.0147,,,,,,0.0058,,,,,,,,
2013-01-23,-33.7817,-69.8868,N,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.0191,,,0.0053,,-0.0254
2013-01-23,-33.7822,-69.8868,NE,,,,-0.0469,-0.0444,-0.0585,-0.0672,-0.0603,-0.0652,,,,,,,,,,,,,,,,0.0115,,,,,
2013-01-23,-33.7819,-69.8868,NE,-0.0297,-0.0377,-0.0306,,,,,,,,,,,,,,,,,,,0.0088,0.0146,,,,0.0074,-0.005,-0.0174,-0.0125
2013-01-23,-33.7817,-69.8868,NE,,,,,,,,,,,,,-0.0114,-0.0007,0.0026,0.0025,-0.0112,-0.0123,-0.0112,-0.0051,-0.0003,,,0.0215,,0.0084,,,,
2013-01-23,-33.7822,-69.8868,NO,,,,,,,0.0637,,,,,,,,,,,,-0.0314,,,,,,,,,,,
2013-01-23,-33.7819,-69.8868,NO,0.1291,,0.0974,0.0739,0.0624,,,0.0717,0.0595,0.0598,0.0574,0.0573,,,,,,,,,,-0.052,,-0.0533,,,,,,
2013-01-23,-33.7817,-69.8868,NO,,0.1311,,,,0.06,,,,,,,0.0602,0.0462,0.0267,0.016,-0.0054,-0.0298,,-0.0259,-0.0387,,-0.0515,,-0.0579,0.0147,0.0103,0.0215,0.0112,0.0073
2013-01-23,-33.7822,-69.8868,O,,,,,,,,,,,,,,,,,,-0.0129,,,,,,,,,,,-0.003,0.0002
2013-01-23,-33.7819,-69.8868,O,0.1971,0.1731,0.145,0.1217,0.108,0.0832,0.0835,0.0562,0.0462,0.0163,-0.0003,-0.012,-0.0123,-0.0124,-0.013,-0.0128,-0.0128,,-0.0111,,,,,,,,,,,
2013-01-23,-33.7817,-69.8868,O,,,,,,,,,,,,,,,,,,,,-0.0121,-0.0119,-0.011,-0.0155,-0.0196,-0.0213,-0.0249,,,,
