date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-08-20,13.4299,-88.2674,E,0.0996,0.0894,0.0827,0.0352,0.0061,0.0034,0.0324,0.0457,0.0579,0.0659,0.0678,0.0546,0.0047,0.0017,-0.0146,-0.0092,0.0,0.001,-0.0031,-0.005,-0.0075,-0.009,-0.0241,-0.0264,-0.0247,-0.0176,-0.012,-0.0065,-0.0051,-0.0029
2000-08-20,13.4299,-88.2674,N,0.0321,0.0341,0.0241,0.0146,0.0301,-0.011,-0.0301,-0.007,0.0045,0.0079,0.0257,0.0274,0.0028,-0.0107,-0.0091,-0.0035,-0.0038,-0.0006,0.0004,0.0061,0.0039,-0.0022,0.0002,-0.0026,0.0037,-0.0082,-0.0049,-0.0175,-0.0337,0.0396
2000-08-20,13.4299,-88.2674,NE,,0.0584,0.0606,0.0452,0.0394,0.0397,0.0279,0.0246,-0.0268,-0.0095,0.0187,0.0156,0.0271,0.03,0.0213,0.0255,0.0132,0.0082,-0.0004,-0.0353,-0.032,-0.0373,-0.0304,-0.0182,-0.0092,-0.0015,-1e-04,-0.0013,0.0014,0.0027
2000-08-20,13.4299,-88.2674,NO,,0.0702,0.0594,0.0516,0.0609,0.0348,0.0255,0.0236,0.021,0.0006,0.01,-0.0113,-0.0087,-0.0227,-0.0205,-0.0148,-0.0052,0.0032,0.0094,0.0119,0.0085,0.0212,0.0229,0.0187,0.0106,0.0079,0.0022,-0.0006,0.0002,-0.0159
2000-08-20,13.4299,-88.2674,O,,0.0835,0.0876,0.0844,0.0559,0.0541,0.0473,0.0344,0.0047,0.0083,0.0052,0.0031,1e-04,0.0027,-0.0057,0.0434,0.0425,0.0249,0.0109,-0.0267,-0.0189,-0.0167,-0.0424,-0.0357,-0.0263,-0.0169,-0.0133,-0.0155,-0.0112,-0.0061
2000-08-20,13.4299,-88.2674,S,,0.1184,0.0888,0.0712,0.0451,0.014,0.0053,0.0144,0.0506,0.0206,0.0133,0.0121,0.0047,0.0133,-0.0145,-0.0143,-0.0041,0.0112,0.0098,-0.0039,-0.0042,-0.0184,-0.0126,-0.0089,-0.0101,-0.0084,-0.0031,-0.0051,-0.0038,-0.0042
2000-08-20,13.4299,-88.2674,SE,,0.0862,0.0699,0.0513,0.0516,0.0697,0.0746,0.0756,0.0443,0.0537,0.0356,0.0252,0.0161,0.0005,-0.0023,0.0063,-0.0157,0.0037,-0.0054,-0.0138,-0.0075,-0.0063,-0.0109,-0.0085,-0.006,-0.0047,-0.0142,-0.0149,-0.008,-0.0049
2000-08-20,13.4299,-88.2674,SO,,0.119,0.1257,0.1228,0.098,0.059,0.0181,0.0144,0.0049,0.0046,0.0009,-0.006,-0.0156,-0.0231,-0.0154,-0.0167,-0.0055,-0.0047,0.0023,0.0033,0.0081,0.0138,0.0015,0.0087,0.0018,0.0037,0.0044,0.0027,0.009,0.0114
2000-10-07,13.4299,-88.2674,E,0.0784,0.0543,0.0472,0.0043,0.0049,0.0161,0.0334,0.055,0.0544,0.0482,0.0677,0.0615,0.0003,-0.0018,-0.0044,-0.0002,0.0021,0.0076,-0.0039,-0.0101,-0.0155,-0.0179,-0.0306,-0.0251,-0.0131,-0.0094,-0.0102,-0.0044,-0.0038,-0.0046
2000-10-07,13.4299,-88.2674,N,0.0509,0.0447,0.0227,0.0323,0.0368,-0.0153,-0.0281,-0.0124,-0.0019,0.004,0.0288,0.0302,-0.0057,-0.0097,-0.0065,-0.0044,-0.009,-0.0103,-0.01,-0.0102,-0.0077,-0.0073,-0.0055,-0.0065,-0.0072,-0.0168,-0.0187,-0.021,-0.0279,0.0131
2000-10-07,13.4299,-88.2674,NE,,0.0013,-0.0022,-0.0044,-0.006,-0.0026,0.0032,-0.0063,-0.0488,-0.0191,0.0057,0.0098,0.0241,0.0273,0.0136,0.0183,0.0168,0.0211,0.0038,-0.0266,-0.0304,-0.034,-0.0278,-0.0106,-0.0096,0.0,-0.001,0.0031,0.0015,-0.0065
2000-10-07,13.4299,-88.2674,NO,,0.0564,0.0517,0.0519,0.0543,0.0364,0.0234,0.0131,0.0049,-0.0044,0.0021,-0.0147,-0.0081,-0.0196,-0.0236,-0.0236,-0.0053,0.0057,0.0074,0.0041,0.0058,0.0115,0.0118,0.0156,0.0137,0.0136,0.002,-0.0014,-0.002,-0.0153
2000-10-07,13.4299,-88.2674,O,,0.084,0.0807,0.0773,0.0549,0.0515,0.0482,0.037,0.0039,0.0043,0.0048,0.0054,-0.0016,-0.0089,-0.0147,0.0306,0.0329,0.0295,0.0315,-0.0051,-0.0131,-0.0092,-0.04,-0.044,-0.0424,-0.029,-0.0186,-0.0198,-0.019,-0.0139
2000-10-07,13.4299,-88.2674,S,,0.128,0.1056,0.1026,0.0667,0.0085,0.0193,0.0359,0.0588,0.02,-0.0022,-0.0103,-0.0165,-0.0096,-0.0239,-0.0315,-0.0311,-0.001,0.0058,0.0027,0.0072,0.0104,0.0034,0.0023,0.0034,0.0066,0.0097,0.0168,0.0095,-0.0072
2000-10-07,13.4299,-88.2674,SE,,0.055,0.033,0.0454,0.049,0.0609,0.0817,0.0677,0.0492,0.0703,0.0478,0.0329,-0.003,-0.0362,-0.0065,0.0022,-0.0096,0.0132,0.0221,0.0033,-0.0088,-0.004,-0.0037,-0.0059,-0.0014,0.0064,-0.0153,-0.0175,-0.0227,-0.0216
2000-10-07,13.4299,-88.2674,SO,,0.1262,0.1172,0.1175,0.0901,0.0579,0.0141,0.0093,-0.0018,-0.0108,-0.0021,-0.0083,-0.0154,-0.015,-0.011,-0.0126,0.0002,-0.0043,0.0117,0.0182,0.0259,0.0211,0.0028,0.0125,0.0067,-0.0015,-0.0024,-0.0035,0.0104,0.0083
2000-12-26,13.4299,-88.2674,E,0.1034,0.0793,0.0565,0.0084,0.0382,0.0545,0.0749,0.0844,0.0671,0.0583,0.0651,0.0536,-0.0016,-0.0057,-0.0025,0.0021,-0.0056,-0.01,-0.0157,-0.0349,-0.0311,-0.0222,-0.0276,-0.0288,-0.0224,-0.0199,-0.0102,-0.0006,0.0078,0.0123
