date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-26,13.7358,-89.292,E,0.0362,0.0213,0.0085,0.0021,-0.0025,-0.0019,0.0043,0.01,0.0194,0.0079,-0.0039,-0.0085,-0.0119,-0.0075,-0.0022,0.0073,0.0155,0.0031,-0.0011,-0.0096,-0.0086,-0.0078,-0.0049,-0.0028,-0.0043,-0.0027,-0.0023,-0.0006,-0.0052,-0.0102
2000-07-26,13.7358,-89.292,N,0.0647,0.0437,0.0314,0.0231,0.013,0.0086,0.012,0.0146,0.018,0.0066,0.0046,0.0017,-0.0044,-0.0008,-0.001,-0.0121,-0.0029,-0.0019,0.0044,0.0191,0.0156,-0.0025,-0.0208,-0.0151,-0.0179,-0.0134,-0.0162,-0.0279,-0.0276,-0.0159
2000-07-26,13.7358,-89.292,NE,,0.032,0.0116,-0.0034,-0.0028,0.0061,0.0019,-0.0007,0.0027,0.0052,-0.0008,-0.0002,0.0031,0.0007,-0.0014,-0.0016,-0.0059,-0.01,-0.009,-0.0083,-0.012,-0.0114,-0.0096,-0.0073,-0.0031,0.0034,-0.0083,-0.0047,-0.0029,-0.0058
2000-07-26,13.7358,-89.292,NO,,0.0314,0.0269,0.0215,0.0115,0.006,0.0021,0.0019,0.0002,-0.002,-0.004,-0.0032,-0.0022,0.0054,0.0125,0.0103,0.0077,0.0056,0.0007,0.001,-0.0017,-0.0031,-0.0019,0.0006,-0.001,-0.0004,0.0026,-0.0015,-0.0065,-0.0051
2000-07-26,13.7358,-89.292,O,,0.042,0.0362,0.0457,0.0368,0.0254,0.0234,0.0228,0.016,0.0123,0.0159,0.0118,0.0084,0.0007,-0.0004,-0.0004,-0.0003,-0.0012,-0.0026,-0.0018,-0.0038,-0.0051,-0.0062,-0.0046,-0.0035,-0.0033,-0.0023,-0.0023,-0.0004,-0.0012
2000-07-26,13.7358,-89.292,S,,0.0437,0.0407,0.049,0.0473,0.0386,0.0221,0.0033,0.0064,0.0041,0.003,-0.0021,-0.0019,0.0011,0.0021,-0.0029,-0.0004,0.0019,0.0019,-0.0003,-0.0007,-0.0017,-0.0019,0.0006,0.0025,-1e-04,0.005,0.0051,0.0064,0.0055
2000-07-26,13.7358,-89.292,SE,,0.0399,0.027,0.0192,0.0326,0.0307,0.0282,0.0216,0.0148,0.0109,0.0104,0.0015,-0.0002,-0.0042,-0.0062,-0.0041,-0.0044,-0.0034,-0.004,-0.0056,-0.006,-0.007,-0.0065,-0.0056,-0.0021,-0.0014,0.0009,0.0038,0.0031,0.0058
2000-07-26,13.7358,-89.292,SO,,0.0447,0.0496,0.0566,0.0594,0.0504,0.0384,0.0212,0.0063,0.0029,-0.003,-0.0044,-0.002,0.0011,0.009,0.0028,0.0029,0.0024,0.0018,0.0021,0.0004,-0.0035,-0.0045,-0.0049,-0.0048,-0.0034,-0.0056,-0.0032,-0.0043,-0.0053
2000-11-15,13.7382,-89.2928,E,0.0236,0.0197,0.0125,-0.0006,0.0051,0.0199,0.0361,0.015,0.0254,0.0136,0.0059,0.0079,0.0018,-0.0006,0.0052,-0.0014,-0.0088,-0.0014,0.0013,-0.0082,-0.0029,0.0022,0.0036,-0.0056,-0.0067,0.001,1e-04,-0.0036,-0.0072,-0.0088
2000-11-15,13.7382,-89.2928,N,0.1221,0.0911,0.0738,0.0617,0.0459,0.0334,0.0228,0.0175,0.0157,0.0078,0.0087,0.0022,-0.0076,-0.0065,-0.0125,-0.0173,-0.0236,-0.0322,-0.0281,-0.0207,-0.0177,-0.009,-0.011,-0.0096,0.0032,0.0216,-0.0073,-0.0027,-0.017,-0.023
