date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-10-02,-2.0058,-78.3388,E,,0.8168,0.5982,0.4368,,,0.4166,,,,,,,,,,,,,,,,,,,,,,,
2001-10-02,-2.0058,-78.3388,N,,0.3283,0.202,0.1393,0.1637,0.1143,0.0441,0.0415,-0.1093,0.0889,0.0562,,,,,,,,,,,,,,,,,,,-0.008
2001-10-02,-2.0058,-78.3388,NE,,0.7372,0.6053,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-02,-2.0058,-78.3388,NO,,,,,,,,,,,,0.2997,0.2724,,,,,,,,,,,,,,,,,
2001-10-02,-2.0058,-78.3388,O,,0.7322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-02,-2.0058,-78.3388,S,0.8111,0.8817,0.8396,0.8283,,,,,,,,0.0451,0.0027,-0.0141,-0.0326,-0.0477,-0.0381,-0.0249,-0.0154,0.002,0.0107,-0.0145,-0.0116,-0.0161,-0.0051,-0.0151,-0.0277,-0.0161,-0.0072,-0.0072
2001-10-02,-2.0058,-78.3388,SE,,0.2711,0.3043,0.2386,0.246,,,,,,0.0331,0.0305,0.0309,0.0229,0.029,-0.0024,0.0081,-0.0115,-0.0156,-0.0382,-0.0374,-0.0341,-0.0338,-0.0336,-0.023,0.0228,0.0215,0.0478,1e-04,0.015
2001-10-02,-2.0058,-78.3388,SO,,,0.6879,,,,,,0.0794,0.0328,0.0008,-0.0041,0.0069,-0.0034,-0.0035,-0.0069,-0.0064,-0.0047,-0.0046,-0.0058,-0.0031,0.0055,,-0.0081,0.0025,,-0.0023,0.0062,0.0184,0.0311
2001-11-03,-2.0041,-78.3388,E,,0.4131,0.3715,0.2957,,,,,,,,,,,,,,,,,,,0.0067,0.0059,1e-04,-0.0068,-0.007,-0.0178,-0.0134,0.002
2001-11-03,-2.0041,-78.3388,N,,0.9399,0.8112,0.6738,0.5268,,,,,,,,,,,,,,,,,,,,,-0.0007,-0.0167,-0.0024,0.0128,0.0192
