date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-05-01,-8.1956,119.0702,E,,0.0259,-0.0342,-0.0368,-0.0347,-0.0307,-0.012,-0.0008,0.0088,0.0036,0.0073,0.0007,0.0082,0.0076,-0.0014,-0.0101,-0.006,-0.0037,0.0036,0.0044,-0.0,-0.0011,-0.0117,-0.0,-0.0003,0.0128,0.0086,0.0087,0.0048,0.0017
2000-05-01,-8.1956,119.0702,N,,-0.0193,-0.0296,-0.0403,-0.0505,-0.0507,-0.0186,-0.0059,0.0,0.0011,0.0017,-0.0007,-0.007,-0.0135,0.0022,0.0094,-0.0057,0.0042,0.0044,0.0005,-0.0024,0.0043,0.0049,0.0054,0.0096,0.004,0.0007,-0.0075,-0.0093,-0.0074
2000-05-01,-8.1956,119.0702,NE,0.0726,0.0268,0.0112,0.0139,0.0136,0.007,0.0057,0.0035,0.0063,0.0199,0.0297,0.0324,0.0112,-0.0058,-0.0164,-0.0162,-0.0182,-0.0228,-0.0098,-0.0136,-0.0049,0.0005,0.0109,0.0218,0.0118,0.0056,0.0123,-0.0126,-0.0132,-0.0194
2000-05-01,-8.1956,119.0702,NO,0.0359,0.0558,0.0251,0.0366,-0.0054,-0.006,0.002,0.0027,0.0171,0.0291,0.0252,0.0123,0.0101,0.0046,0.021,0.0138,0.0057,-0.0189,-0.0102,-0.0099,-0.0107,-0.0037,-0.0049,-0.0007,1e-04,-0.0131,0.0021,-0.0022,0.0126,0.0137
2000-05-01,-8.1956,119.0702,O,,0.0826,0.0791,0.0771,0.0761,0.0539,0.0579,0.0276,0.0022,-0.0105,-0.0198,-0.0173,-0.0144,0.0121,0.0121,0.0136,0.0091,0.0047,-0.0269,-0.0163,-0.0113,-0.0048,-0.0017,0.0014,-0.0035,-0.0019,-0.0078,0.0086,-0.0008,-0.006
2000-05-01,-8.1956,119.0702,S,,0.2343,0.1331,0.0626,0.0422,0.0111,0.0274,0.0159,0.0145,0.0152,0.0073,0.0011,0.0017,-0.0108,-0.0169,-0.014,-0.0137,-0.0063,-0.0032,0.0005,-0.0026,-0.0053,-0.0002,0.0036,0.0039,0.0031,0.0042,0.0059,0.0053,0.005
2000-05-01,-8.1956,119.0702,SE,0.1149,0.1003,0.0287,0.0052,-0.0008,-0.0235,-0.0267,-0.0195,-0.0132,-0.0022,0.0133,0.0204,0.0124,0.0048,0.0032,0.0071,0.0035,0.0106,0.0125,0.0114,0.0147,0.0043,0.0046,-0.0087,-0.0316,-0.0545,-0.1175,,-0.1464,-0.1121
2000-05-01,-8.1956,119.0702,SO,0.134,0.0923,0.0447,0.0225,0.039,0.0216,0.0424,0.0383,0.0276,0.0336,0.0074,0.0132,0.0037,-0.0027,-0.0096,-0.0245,-0.0292,-0.0099,-0.0231,-0.0144,-0.0051,-0.0065,-0.0014,0.0019,0.0207,0.0131,-0.0154,-0.016,-0.0039,-0.0128
2000-07-20,-8.1956,119.0702,E,,0.0583,0.0191,0.0059,0.0108,0.0016,0.0149,0.016,0.0008,-0.0032,-0.0028,0.0035,0.0104,0.0148,0.0143,0.0118,-0.0026,0.0052,-0.0005,-0.009,0.0089,0.0097,-0.0193,-0.0033,-0.0233,0.0162,-0.0225,-0.0128,-0.0115,-0.0074
2000-07-20,-8.1956,119.0702,N,,0.0551,0.0502,0.0385,0.0297,0.0101,0.0223,0.0208,0.0129,-0.0058,-0.0098,-0.0094,-0.0123,-0.0184,-0.0028,0.0138,0.0026,0.0169,0.0118,0.01,0.0049,0.0121,0.0035,0.0005,0.0008,0.0132,0.0062,-0.0162,-0.0268,-0.017
2000-07-20,-8.1956,119.0702,NE,0.1151,0.0676,0.0702,0.0704,0.0656,0.0448,0.0273,0.007,-0.0088,-0.0043,0.008,0.0209,0.0261,0.0314,0.0307,0.0225,0.025,0.0167,0.0082,0.0057,0.0084,0.015,0.0236,0.0228,0.0047,-0.0117,0.0045,-0.0409,-0.0426,-0.1038
2000-07-20,-8.1956,119.0702,NO,0.101,0.0854,0.0806,0.0896,0.0672,0.0495,0.0358,0.0326,0.0432,0.0483,0.0288,0.0169,0.0123,-0.0038,0.0237,0.0172,0.023,-0.0037,-0.0088,-0.0154,-0.0115,-0.0089,-0.0036,0.01,0.0089,-0.0357,0.0125,-0.0029,0.0278,0.0296
2000-07-20,-8.1956,119.0702,O,,0.0839,0.0678,0.056,0.0629,0.0439,0.0294,0.0143,-0.0176,-0.0358,-0.0315,-0.0273,-0.0238,0.0112,0.0209,0.0195,0.008,0.0115,-0.0099,-0.0128,-0.0064,0.0006,0.0009,0.0051,-0.0111,-0.0121,-0.0148,-0.0008,0.0006,-0.0061
2000-07-20,-8.1956,119.0702,S,,0.2507,0.184,0.1103,0.0667,0.0303,0.0524,0.0403,0.0222,0.0298,0.0125,0.0031,-0.0113,-0.0266,-0.028,-0.02,-0.0081,0.001,0.0043,0.0056,0.0015,-0.0068,0.0013,0.002,0.003,-0.0028,0.0023,0.0071,0.0068,0.0096
2000-07-20,-8.1956,119.0702,SE,0.1574,0.1299,0.0931,0.0543,0.0568,0.0308,0.0204,0.0156,0.0234,0.0202,0.023,0.023,0.0249,0.0233,0.0251,0.0228,0.0145,0.0249,0.0107,0.0049,0.0109,0.009,0.0188,-0.0016,-0.0065,-0.0023,-0.0361,-0.0351,-0.0316,-0.0366
2000-07-20,-8.1956,119.0702,SO,0.1912,0.1244,0.0759,0.0484,0.0639,0.0376,0.0465,0.0499,0.0241,0.0324,0.0232,0.0011,0.0028,-0.0096,-0.0222,-0.0298,-0.0301,-0.0141,-0.0143,-0.015,-0.0173,-0.0193,-0.0129,-0.0027,0.0034,-0.0098,-0.0136,-0.0021,0.0072,0.0118
2000-09-06,-8.1956,119.0702,E,,0.0528,0.0212,-0.0091,0.0023,-0.022,-0.0172,-0.0067,-0.0264,-0.044,-0.0302,-0.0126,0.0158,0.0124,0.025,0.0246,0.0003,0.0047,-0.0019,-0.0014,-0.0006,-0.0076,-0.0292,-0.0192,-0.0407,0.0014,-0.0262,-0.0316,-0.0251,-0.004
2000-09-06,-8.1956,119.0702,N,,0.0455,0.0358,0.0212,0.0159,0.0217,0.031,0.0202,0.0093,-0.0086,-0.0171,-0.012,-0.0123,-0.0312,-0.0374,-0.0144,-0.0028,0.0048,0.0155,0.0175,-0.0015,0.033,0.0293,0.0344,0.031,0.0181,0.0021,-0.0083,-0.0357,-0.0445
2000-09-06,-8.1956,119.0702,NE,0.0865,0.0441,0.0483,0.0501,0.0444,0.0328,0.0146,0.0024,-0.0098,-0.0162,-0.0079,0.0005,0.0086,0.0101,0.0282,0.0303,0.0468,0.0467,0.0336,0.0202,0.0334,0.0211,0.0224,0.0195,0.0228,0.0048,-0.0064,-0.0465,-0.0701,-0.0847
2000-09-06,-8.1956,119.0702,NO,0.0532,0.0352,0.0257,0.0242,0.0118,0.0094,0.0171,0.0328,0.0403,0.0473,0.0354,0.0212,0.0179,0.0119,0.016,0.0022,0.0121,0.0047,-0.0222,-0.0211,-0.0192,0.0049,0.0014,0.0177,0.0078,-0.0356,0.0065,-0.0039,0.0396,0.0234
2000-09-06,-8.1956,119.0702,O,,0.0566,0.034,0.024,0.0257,-0.002,-0.0025,-0.0159,-0.0243,-0.0259,-0.0134,-0.0184,-0.0253,-0.0012,0.0079,0.015,0.0105,0.0049,-0.0005,0.0046,0.0108,0.0131,0.0086,0.0086,-0.0039,0.001,-0.008,-0.0099,-0.0161,-0.0302
2000-09-06,-8.1956,119.0702,S,,0.2138,0.1633,0.0833,0.0445,-0.0031,0.0031,0.0024,-0.0045,-0.0011,0.0027,-0.0034,-0.0065,-0.0101,-0.0126,-0.0087,-0.0057,-0.0027,-0.0024,-0.0,-0.0013,-0.0048,-0.0014,-0.0021,-0.0019,-0.0025,-0.0018,1e-04,0.0002,0.0015
2000-09-06,-8.1956,119.0702,SE,0.1166,0.1137,0.0695,0.0392,0.0215,-0.0042,-0.0209,-0.0314,-0.023,-0.0285,-0.0284,-0.0149,-0.0151,1e-04,0.0207,0.0221,0.0115,0.0273,0.0319,0.0293,0.0301,0.0157,0.01,-0.0087,-0.0056,-0.0055,-0.0143,-0.0179,-0.0199,-0.0191
2000-09-06,-8.1956,119.0702,SO,0.0997,0.0708,0.0419,0.0153,0.0156,-0.0009,0.021,0.0171,0.0052,0.0361,0.0323,0.0253,0.0208,0.0007,-0.0089,-0.0194,-0.0159,-0.0016,-0.0086,-0.0132,-0.0071,-0.0178,-0.0119,0.0028,0.0092,0.0191,-0.0211,0.0034,0.0085,0.0047
2001-04-18,-8.1959,119.0704,E,,0.0777,0.0591,0.0385,0.0418,0.0286,0.0207,0.0174,0.0184,0.0091,-0.0034,-0.0037,0.024,0.0241,0.0256,0.0186,0.0133,0.007,0.0115,0.0095,0.0188,0.0161,0.0123,0.0127,0.0056,0.0173,0.0024,0.0059,0.0036,0.0209
2001-04-18,-8.1959,119.0704,N,,0.0489,0.0332,0.014,0.0069,0.0061,0.0079,0.0095,0.0015,-0.0045,-0.0032,-0.0052,-0.0087,-0.0127,-0.0129,-0.0095,0.0043,0.0048,0.0032,0.0027,0.0097,0.0196,0.0138,0.0129,0.0218,0.0114,0.0004,-0.0089,-0.0188,-0.0253
2001-04-18,-8.1959,119.0704,NE,0.088,0.0774,0.0754,0.0658,0.0556,0.0443,0.0373,0.022,0.0102,0.0093,0.0123,0.0193,0.0227,0.0152,0.0129,0.0031,0.0058,-0.0041,-0.0012,-0.0003,-0.0043,0.0235,0.0253,0.0231,0.0103,-0.0039,-0.0039,-0.0339,-0.0309,-0.0855
2001-04-18,-8.1959,119.0704,NO,0.0642,0.072,0.0594,0.0399,0.0237,0.025,0.0187,0.053,0.038,0.0302,0.0225,0.0188,0.0273,0.0147,0.0212,0.0037,0.0021,-0.0197,-0.0212,-0.0148,-0.0047,0.0138,0.0184,-0.0081,-0.0018,-0.0106,0.0112,0.0023,0.0066,0.0178
2001-04-18,-8.1959,119.0704,O,,0.0287,0.0225,0.0231,0.0075,0.0142,-0.0106,-0.0167,-0.0075,-0.0131,-0.0121,-0.0225,0.02,0.0183,0.0204,0.0217,0.0204,0.0068,0.0017,-0.0125,-0.0034,-0.0063,0.0013,-0.0055,-0.0014,-0.0051,-0.0022,-0.0029,-0.0044,-0.0108
2001-04-18,-8.1959,119.0704,S,,0.1758,0.1468,0.1016,0.076,0.0559,0.0351,0.051,0.0389,0.0288,0.0216,0.0187,-0.0096,-0.0238,-0.0273,-0.0225,-0.0267,-0.017,-0.0123,-0.0036,-0.0061,-0.0101,-0.0045,-1e-04,0.0035,0.0028,0.0029,0.0063,0.0126,0.0139
2001-04-18,-8.1959,119.0704,SE,0.1187,0.1147,0.0976,0.1015,0.0762,0.0618,0.0435,0.0181,0.0143,0.007,0.0006,0.0019,0.0129,0.0214,0.0169,0.0194,0.021,0.0259,-0.0027,0.0047,0.0074,0.0012,0.0156,0.0078,-0.0077,-0.0048,-0.0109,-0.0277,-0.0296,-0.0408
2001-04-18,-8.1959,119.0704,SO,0.1067,0.1067,0.082,0.0725,0.0743,0.0303,0.0506,0.0436,0.0198,0.0241,0.021,0.0136,1e-04,-0.01,-0.0252,-0.0302,-0.0215,-0.0018,-0.0011,-0.009,-0.0164,-0.0137,-0.0064,-0.0028,0.0059,0.0069,-0.0141,-0.0056,-0.0045,-0.0024
2001-09-09,-8.1972,119.0716,E,,0.0555,0.0163,0.0077,-0.0006,0.0106,0.0042,0.0141,0.0168,-0.0047,-0.0168,-0.0203,-0.0274,-0.013,-0.0034,0.0048,0.0032,0.0052,0.0173,0.0227,0.0263,0.0327,0.0293,0.0354,0.0347,0.026,0.0293,0.028,0.0173,0.0002
