date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-23,14.755,-91.5512,E,0.2338,0.2247,0.1653,0.203,0.1927,0.1428,0.1255,0.0687,0.0776,0.0642,0.0599,0.0457,0.0371,0.0215,0.0072,-1e-04,-0.0088,-0.0193,-0.0163,-0.0145,-0.0131,-0.0115,-0.0095,-0.0082,-0.0068,-0.0045,-0.0027,-0.0003,0.0013,0.003
2000-01-23,14.755,-91.5512,N,0.102,0.0647,0.0306,0.0011,-0.002,-0.0095,-0.0154,-0.0215,-0.0146,-0.0075,-0.0013,0.0117,0.022,0.0226,0.0134,0.0083,0.0022,-0.002,-0.0046,-0.0083,-0.0078,-0.0055,-0.0068,-0.0019,-0.0092,-0.0032,0.0035,0.0028,0.0042,0.0063
2000-01-23,14.755,-91.5512,NE,,0.1085,0.0926,0.0542,0.0404,0.05,0.0278,0.0253,0.0171,0.0208,0.0263,0.0197,,,,,,-0.0042,-0.0185,-0.029,-0.0234,-0.0268,-0.0252,-0.0272,-0.0276,-0.0172,-0.0107,-0.0104,-0.0064,-0.0063
2000-01-23,14.755,-91.5512,NO,,0.0927,0.0555,0.0292,0.0189,0.0212,-0.0043,-0.0183,-0.0239,-0.0093,0.0009,0.0113,0.01,0.0115,-0.0016,-0.0017,-0.0066,-0.0066,-0.0066,-0.0065,0.0018,-0.0004,-0.0019,0.0014,0.0031,0.0026,-0.0002,0.0017,-0.0,-0.0008
2000-01-23,14.755,-91.5512,O,,0.1187,0.0618,0.0578,0.0404,0.0403,0.0568,0.0422,0.0478,0.0328,0.0174,0.013,0.0134,0.0089,0.0093,-0.0012,-0.0035,-0.0058,-0.0012,-0.0176,-0.0134,-0.0122,-0.0072,-0.0096,-0.014,-0.0184,-0.0037,0.0126,0.0002,-0.001
2000-01-23,14.755,-91.5512,S,,0.1906,0.152,0.117,0.0712,0.0603,0.0517,0.0426,0.0305,0.0026,-0.0087,-0.0164,-0.0158,-0.0002,0.0046,0.0116,0.0173,0.0062,-0.0016,0.0108,1e-04,0.0078,-0.0066,-0.0108,0.0049,0.0229,-0.0091,-0.028,-0.0043,-0.0108
2000-01-23,14.755,-91.5512,SE,,0.2299,0.214,0.1959,0.1762,0.1409,0.0976,0.079,0.0682,0.0317,0.0174,0.008,0.0034,0.0053,0.0027,-0.0218,-0.0332,-0.0333,-0.0338,-0.0323,-0.0072,0.0026,0.0014,0.0104,0.0083,0.0058,0.0104,0.0171,0.0122,0.0207
2000-01-23,14.755,-91.5512,SO,0.1405,0.1084,0.0639,0.0376,0.0327,0.0149,0.0117,-0.0037,-0.0078,0.0087,-0.0008,-0.0107,-0.0082,-0.0158,-0.0329,-0.0063,-0.0433,-0.0143,0.0002,0.0178,0.0143,0.0067,0.0156,-0.0025,0.013,-0.0128,0.0384,-0.0106,0.0292,0.0361
2000-02-15,14.7564,-91.5514,E,,,,,,,,,,,,,0.015,0.0151,0.0191,0.0125,0.0064,0.0053,0.0028,0.0027,0.0071,0.0013,0.0021,-0.0003,-0.0014,0.0038,0.0046,0.0064,0.0003,-0.0004
2000-02-15,14.7564,-91.5514,N,0.1304,0.0366,0.008,-0.0065,-0.0014,-0.0105,0.0202,0.008,-0.0122,-0.0209,-0.0085,-0.0061,0.0081,0.021,0.0169,0.0079,0.0003,-0.0062,-0.0069,-0.0125,-0.016,-0.0157,-0.0101,-0.007,-0.004,-0.0015,0.0004,0.001,0.005,0.0119
