date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-10-23,-0.214,-90.7687,E,,0.0245,0.0386,0.0316,0.0122,0.0085,0.0134,0.0071,0.0145,0.0078,-0.0212,0.0097,-0.0256,-0.0097,0.0068,0.0205,0.0339,0.0439,0.0339,0.0098,-0.0078,-0.023,0.018,0.0191,-0.0626,-0.1311,,,,
2000-10-23,-0.214,-90.7687,N,,0.0022,0.0033,-0.0005,-0.0122,-0.0231,-0.0335,-0.0475,-0.0507,-0.0328,-0.0235,-0.0271,-0.0034,0.0223,0.0144,0.0385,0.0174,0.0143,0.0028,-0.0061,-0.0013,-0.0096,-0.0106,-0.0219,-0.0113,-0.0023,0.0039,0.0208,0.0278,0.0334
2000-10-23,-0.214,-90.7687,NE,-0.0758,,-0.0541,-0.0532,-0.0579,-0.0548,-0.0484,-0.0378,-0.0255,-0.007,0.0079,0.0153,0.0168,0.0192,0.0108,-0.0019,-0.0002,0.0317,0.025,0.0334,0.0372,0.0191,-0.0078,-0.0638,-0.0456,-0.0324,-0.0232,,,
2000-10-23,-0.214,-90.7687,NO,0.0857,0.0655,0.0407,0.0375,0.025,-0.0039,0.0179,0.0213,0.0125,0.0258,0.0121,0.0172,-0.007,-0.0146,-0.0082,0.0081,0.019,0.0212,0.0167,0.0015,-0.0116,0.0132,-0.0038,-0.026,-0.0026,0.0448,0.0356,0.034,0.0346,0.0345
2000-10-23,-0.214,-90.7687,O,,0.1834,0.0992,0.0324,-0.0047,-0.015,-0.0183,-0.013,-0.0102,-0.0037,-0.0036,0.0142,0.0236,0.0128,0.0116,-0.0198,-0.0297,-0.038,-0.0388,0.0227,0.0374,0.0216,-0.0013,-0.0111,-0.0089,-0.0099,,,,-0.0474
2000-10-23,-0.214,-90.7687,S,,0.17,0.1434,0.114,0.0925,0.075,0.0587,0.0284,0.0074,-0.0083,0.0007,-0.0066,-0.0077,0.0014,0.0061,-0.0041,0.0021,-0.0056,-0.0076,-0.0101,-0.0047,-0.0068,0.0002,0.0026,0.0038,0.0091,0.0007,0.0018,0.0024,0.0189
2000-10-23,-0.214,-90.7687,SE,0.0794,0.0989,0.0779,0.0797,0.0448,0.0002,-0.0411,-0.0767,-0.0433,-0.0067,-0.0488,0.0025,-0.0194,-0.0024,0.0052,-0.0018,-0.0426,-0.042,-0.0351,-0.0365,-0.0386,-0.0253,-0.0108,0.0129,0.0296,0.0039,-0.0107,-0.0014,-0.0102,0.0077
2000-10-23,-0.214,-90.7687,SO,0.2183,0.19,0.1281,0.0703,0.0501,0.0303,0.0141,0.007,0.0058,0.0132,0.0125,0.0172,0.0069,0.006,-0.0025,-0.0016,-0.0051,-0.0208,-0.0089,-0.0275,-0.011,-0.0178,-0.0154,-0.0151,-0.0139,-0.0132,-0.013,-0.0144,-0.0154,-0.0126
2001-10-26,-0.2167,-90.7652,E,,-0.0612,-0.1128,-0.0961,-0.0799,-0.0706,-0.0476,-0.0316,-0.0243,-0.0013,0.004,0.0085,0.0189,0.0223,0.0241,0.0334,0.0446,0.0329,0.0211,0.0183,0.0093,0.0076,0.0105,0.0108,-0.0016,-0.0213,-0.0281,-0.0289,-0.0297,-0.0298
2001-10-26,-0.2167,-90.7652,N,,-0.012,-0.0144,-0.0028,-0.0038,0.0272,0.0136,0.0137,0.0217,0.0124,0.0183,0.018,0.0188,0.029,0.0339,0.0393,0.0155,0.0172,0.0126,0.0111,0.0077,-0.0021,-0.0023,-0.0188,-0.0227,-0.0334,-0.0337,-0.0127,-0.0094,-0.0053
2001-10-26,-0.2167,-90.7652,NE,-0.0464,-0.0843,-0.0841,-0.0752,-0.0665,-0.0741,-0.0347,-0.0188,-0.0156,0.0126,0.0257,0.0185,0.0117,0.0097,0.0114,0.0137,0.0149,0.0083,0.0052,-0.001,-0.009,-0.0133,-0.0173,-0.0158,-0.0075,1e-04,0.0033,0.005,0.0019,0.0055
2001-10-26,-0.2167,-90.7652,NO,0.0357,-0.0014,0.0002,-0.0063,-0.0198,-0.019,-0.0455,0.0173,0.0275,0.0349,0.0294,0.0344,0.0304,0.0139,0.0197,0.0155,0.0081,0.017,0.0212,0.0196,0.0233,0.0228,0.0061,-1e-04,-0.0087,-0.0041,-0.0135,-0.0256,-0.0413,-0.0433
2001-10-26,-0.2167,-90.7652,O,,0.1505,0.1246,0.11,0.1087,0.0877,0.0551,0.0388,0.0406,0.0697,0.0359,0.0265,0.0333,0.0371,0.0279,0.0203,0.0215,0.0178,0.0105,-0.0101,-0.042,-0.0502,-0.0333,-0.0291,-0.0282,-0.0152,-0.0089,-0.0046,0.007,0.0132
2001-10-26,-0.2167,-90.7652,S,,0.1148,0.1077,0.0787,0.0754,0.0724,0.0643,0.0632,0.0521,0.0455,0.0168,0.0003,-0.0078,-0.0019,-0.0015,0.0054,0.0064,0.0032,-0.0023,0.0015,-0.0059,-0.0133,-0.0097,-0.0018,0.0038,-0.0005,-0.0003,-0.0159,-0.0096,0.0132
2001-10-26,-0.2167,-90.7652,SE,0.0322,0.0288,0.017,-0.0271,-0.019,-0.0141,0.0013,-0.0122,-0.0198,-0.0322,0.0011,-0.0217,-0.0177,-0.0156,-0.0099,-0.0048,-0.0067,0.0037,0.0036,0.0147,0.015,0.0167,0.0085,-0.0008,-0.0094,-0.0104,-0.0069,0.0134,0.0285,0.0406
2001-10-26,-0.2167,-90.7652,SO,0.145,0.1519,0.1387,0.13,0.113,0.1127,0.1217,0.1252,0.1072,0.1117,0.0941,0.05,0.077,-0.0123,-0.006,-0.0133,-0.0006,-0.0342,-0.0323,-0.029,-0.0331,-0.0444,-0.047,-0.0402,-0.0288,-0.0167,-0.0085,-0.0115,0.0048,-0.0028
2002-03-19,-0.2202,-90.7638,E,,0.0797,0.0732,0.0903,0.0682,0.0656,0.0708,0.0542,0.0746,0.0843,0.0434,0.0092,0.0033,-0.0151,-0.0331,-0.0167,-0.044,-0.0467,-0.0448,-0.0412,-0.0346,-0.0286,-0.0089,0.0135,0.0053,0.004,0.0066,0.0199,0.008,0.0023
2002-03-19,-0.2202,-90.7638,N,,0.0246,-0.0149,0.0016,-0.0502,-0.044,-0.0152,-0.0244,-0.0264,-0.0118,-0.0087,0.005,0.015,0.016,0.0163,0.0071,0.0025,-0.0014,-0.0002,-0.0025,-0.023,-0.0276,-0.0289,-0.0148,-0.0187,-0.0079,0.0073,0.0222,0.0257,0.0342
2002-03-19,-0.2202,-90.7638,NE,-0.0018,-0.0088,-0.0195,-0.0112,0.0016,-0.0644,-0.0499,-0.0354,-0.0235,-0.0016,0.0098,0.0155,0.0248,0.0322,0.0194,0.0169,0.0077,-0.0325,-0.01,-0.0176,0.0183,0.0639,-0.0529,,,,,,,
