date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-12-16,48.0908,153.1983,E,,,,,,,,,,,,,,,,,,,,,,,,-0.0027,-0.0023,0.0008,-0.0009,0.0016,0.0002,-0.0008
2000-12-16,48.0908,153.1983,N,,,,,,,,,,,,,,,,,0.0027,0.0021,0.0014,0.0007,-0.0004,-0.0014,-0.0022,,,-0.0031,-0.002,-0.0045,-0.0018,0.0002
2000-12-16,48.0908,153.1983,NE,,,,,,,,,,,,,,,,,,-0.0022,-0.0036,-0.0049,-0.0023,0.0007,-0.0006,0.0017,0.003,0.0021,-0.0003,-0.0014,-0.0015,-0.0025
2002-05-12,48.0908,153.1983,E,,0.2194,0.223,0.2138,0.1415,0.1934,0.1706,0.1545,0.073,0.0362,0.0074,-0.0023,-0.0113,-0.0083,-0.013,-0.0142,-0.0185,-0.0191,-0.0198,-0.0205,-0.017,-0.0113,-0.0017,0.0018,0.0015,0.0009,0.0086,0.0126,0.0081,0.0096
2002-05-12,48.0908,153.1983,N,,,,0.1517,0.1162,0.1135,0.0937,0.0632,0.0309,0.0202,0.027,0.0115,0.0131,0.0014,0.0002,-0.012,-0.0178,-0.0244,-0.0277,-0.0343,-0.041,-0.0467,-0.0166,-0.0423,0.0053,0.0325,0.0746,0.0814,0.0914,0.0867
2002-05-12,48.0908,153.1983,NE,,0.2179,0.181,0.11,0.109,0.1204,0.0772,0.0584,0.025,0.0023,-0.0088,-0.0072,-0.0104,-0.016,-0.0225,-0.0206,-0.0262,-0.0267,-0.0226,-0.0215,-0.0282,0.0027,-0.0097,-0.0086,-0.0152,0.0142,0.0074,0.0277,0.0089,0.0098
2002-05-12,48.0908,153.1983,S,,,,0.1511,0.0545,0.0467,0.031,0.0269,0.0147,0.0064,-0.0042,,,,,-0.0007,-0.013,-0.0097,-0.0137,-0.0098,-0.0229,-0.0106,-0.0152,0.0089,-0.0041,-0.0043,-0.0063,-0.0048,0.003,-0.0239
2002-05-12,48.0908,153.1983,SE,,0.222,0.2146,0.1732,0.1846,0.1107,0.1181,0.0726,0.0409,0.0204,0.0076,-0.005,-0.014,-0.0186,-0.019,-0.0175,-0.0159,-0.0159,-0.0163,-0.0127,-0.0089,-0.0092,-0.0054,0.0043,0.0101,0.0096,0.0092,0.0088,0.0045,1e-04
2005-03-17,48.0908,153.1983,E,,,,,,,0.0449,0.029,0.0088,0.0004,-0.0079,-0.0078,-0.0079,0.0089,0.0131,0.0152,0.0172,0.0254,,,,,,,-0.0071,-0.007,-0.003,-0.003,-0.0029,0.0054
2005-03-17,48.0908,153.1983,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0006,0.0028,0.0024
