date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-08-04,-8.112,112.9239,E,,0.1675,0.1108,-0.01,0.0373,0.109,0.0896,0.0165,-0.078,-0.035,0.0179,0.0122,0.0376,0.0357,0.034,0.0145,0.0148,0.0382,0.0462,0.0256,0.0237,0.0086,0.0045,-0.0187,-0.0182,-0.0178,0.0016,0.001,0.0005,0.0245
2001-08-04,-8.112,112.9239,N,0.7343,,,0.5633,0.3346,0.2604,0.2249,0.0349,-0.1095,-0.0333,-0.0481,0.0472,0.0295,0.0293,0.0203,0.0112,0.0019,0.0048,0.0044,0.0005,-0.0089,-0.0093,-0.0103,0.0056,0.0119,0.0097,0.0084,0.0006,-0.0016,-0.0033
2001-08-04,-8.112,112.9239,NE,,0.4414,0.4055,0.0804,-0.0673,-0.033,-0.0219,0.0072,0.0064,0.0014,0.0124,0.0343,0.0297,0.0201,0.0127,0.0116,0.0081,0.0079,0.0066,0.0014,0.0084,-0.0156,-0.0026,-0.0057,-0.005,-0.0152,-0.004,0.0076,0.0217,0.0197
2001-08-04,-8.112,112.9239,NO,,,,,0.7477,0.6472,0.4527,0.3003,0.1644,0.1212,0.0828,0.0183,-0.0004,0.0211,-0.0174,-0.0603,1e-04,-0.056,-0.0032,-0.0156,0.0238,0.0393,0.032,0.0322,0.0502,0.046,0.0211,0.0521,0.0432,0.0596
2001-08-04,-8.112,112.9239,O,,0.777,0.752,0.4607,0.4237,0.3132,0.2408,0.1234,0.0745,-0.0038,-0.0404,-0.0876,-0.0962,-0.0967,-0.096,-0.0917,-0.0799,-0.0835,-0.0704,-0.0703,-0.0683,-0.0383,-0.0513,-0.0498,-0.0554,-0.0497,-0.0232,-0.0338,-0.0315,-0.0302
2001-08-04,-8.112,112.9239,S,,0.5078,0.4039,0.2369,0.1331,0.0838,0.0333,0.0172,0.0467,0.0508,0.0291,0.023,0.0156,-0.0011,-0.0017,-0.0005,0.0053,0.0063,0.0031,-0.01,-0.0148,-0.019,-0.0168,-0.0161,-0.0176,-0.0142,-0.0078,-0.005,-0.0036,-0.0004
2001-08-04,-8.112,112.9239,SE,0.744,0.2177,0.1159,0.0834,0.0879,0.18,0.1461,0.1286,0.085,0.0003,-0.0199,-0.0347,-0.0347,-0.0454,-0.0475,-0.0481,-0.0501,-0.0522,-0.0523,-0.0439,-0.0474,-0.0259,-0.0128,-0.003,-0.014,-0.0083,-0.0066,0.0109,0.0166,0.0331
2001-08-04,-8.112,112.9239,SO,0.9619,0.7865,0.7243,0.5029,0.3549,0.1812,0.0754,0.0276,0.0138,0.022,0.0015,-0.0102,-0.0201,-0.0198,-0.0192,-0.016,-0.0185,-0.0181,-0.0174,-0.0172,-0.0166,-0.0161,-0.0157,-0.0155,-0.0149,-0.0143,-0.0138,-0.0134,-0.013,-0.0126
2001-08-20,-8.1047,112.9249,E,,-0.0882,-0.0791,-0.0644,-0.0604,-0.0564,-0.0713,-0.0469,-0.0346,-0.0264,-0.0176,-0.024,-0.0085,-0.006,0.0094,0.0235,0.0349,0.033,0.0305,0.0422,0.0552,0.0474,0.031,0.021,-0.0002,-0.0424,-0.0473,-0.0585,-0.057,-0.0634
2001-08-20,-8.1047,112.9249,N,0.0469,0.0212,0.0085,-0.0102,0.0124,0.0148,0.0089,,,,,,,,,,,,,,,,,,,,,,,
2001-08-20,-8.1047,112.9249,NE,,0.0082,0.0167,0.0271,-0.0068,0.0097,0.029,-0.0271,-0.0019,0.0241,0.0194,0.0115,0.0104,-0.0061,-0.0006,-0.0021,,,,,,,,,,,,,,
2001-08-20,-8.1047,112.9249,NO,,0.0496,0.0105,0.0062,0.0318,0.0254,0.0222,0.0058,-0.009,-0.017,-0.0228,-0.0184,-0.025,-0.021,0.004,0.0026,0.0363,0.0213,0.0078,0.0005,,,,-0.0485,,,,,,
2001-08-20,-8.1047,112.9249,O,,0.0885,0.05,0.0194,0.0253,0.017,0.0125,0.0031,0.0053,-0.0099,-0.0163,-0.0294,,-0.032,0.0016,0.0,-0.0019,-0.001,-0.0102,,,,,,,,,,,
2001-08-20,-8.1047,112.9249,S,0.1331,0.1285,0.1175,0.0915,0.0827,0.0832,0.0814,0.0779,0.072,0.0668,0.0501,0.0305,0.0237,0.023,0.0165,0.0273,0.0236,0.0181,0.0133,-0.0015,-0.0124,-0.0228,-0.0136,-0.0164,-0.0193,-0.0279,-0.0289,-0.0301,-0.0329,-0.0335
2001-08-20,-8.1047,112.9249,SE,,0.0452,0.0334,0.0216,0.0215,0.0251,0.0279,0.0286,0.0292,0.0298,0.0131,0.001,0.0015,0.0062,0.0061,0.0161,0.0217,0.0156,0.0057,-0.0006,-0.0045,-0.0005,-0.0042,-0.0012,-0.0012,0.0123,-0.001,-0.0103,-0.023,-0.0269
2001-08-20,-8.1047,112.9249,SO,,0.1556,0.1369,0.124,0.0986,0.0978,0.0553,0.0544,0.0437,0.0374,0.0374,0.0338,0.016,0.01,-0.0009,-0.006,-0.0173,-0.0268,-0.0314,-0.0368,-0.0337,-0.032,-0.0292,-0.0274,-0.0227,-0.0202,-0.016,-0.0132,-0.0106,-0.0119
2001-09-05,-8.112,112.9239,E,,0.2291,0.2259,0.0866,0.0392,0.0418,0.0516,0.0058,-0.0728,-0.0279,0.0626,0.028,0.0289,0.0564,0.0567,0.0497,0.0362,0.0385,0.0377,0.012,0.0175,0.0164,0.0099,0.0025,-0.0062,-0.0038,0.0083,0.0057,0.0049,0.0117
2001-09-05,-8.112,112.9239,N,,,,0.5571,0.3028,0.3029,0.1224,0.0179,-0.1411,-0.0455,-0.0357,0.0147,0.0232,0.0373,0.0258,0.0149,0.0076,0.003,-0.0015,0.0076,0.0075,-0.0098,0.0008,0.0158,0.0175,0.0154,0.0169,-0.017,-0.0222,-0.0221
2001-09-05,-8.112,112.9239,NE,,0.5866,0.4726,0.2355,0.1099,0.0229,-0.016,-0.0109,-0.0046,-0.0126,0.0042,0.0224,0.0192,0.0191,0.0063,0.0075,0.0158,0.0112,0.0219,0.0071,0.011,-0.0087,-0.0036,-0.0056,-0.0062,-0.011,0.0016,0.0103,0.0149,0.0233
2001-09-05,-8.112,112.9239,NO,,,,,0.7878,0.7898,0.5386,0.2963,0.1312,0.0558,0.0479,0.023,0.0101,0.0166,0.0066,-0.0226,0.0176,-0.0238,0.0193,0.0061,0.0323,0.0291,0.0358,0.0279,0.0189,0.0174,0.0139,0.0318,0.0118,0.034
2001-09-05,-8.112,112.9239,O,,,0.6886,0.6417,0.2988,0.1874,0.0433,-0.0223,-0.0591,-0.072,0.0095,-0.0106,0.0287,0.0006,0.0257,0.0384,0.033,0.007,0.0379,-0.0467,-0.0077,0.0316,-0.0036,-0.0948,-0.0869,-0.0735,-0.065,-0.0474,-0.0292,-0.0195
2001-09-05,-8.112,112.9239,S,,0.4359,0.3053,,,,,,,,,,,,0.0109,0.0242,0.0239,0.0295,0.0262,0.0123,-0.0048,-0.0111,-0.0084,-0.0089,-0.0118,-0.0097,0.0037,0.0016,-0.0007,0.0018
2001-09-05,-8.112,112.9239,SE,0.945,0.2556,0.1485,0.0893,0.1556,0.1643,0.1292,0.1314,0.1103,0.0163,-0.0155,-0.0328,0.0032,-0.0099,-0.0124,-0.0082,0.0045,0.0038,-0.0055,-0.0138,-0.0158,-0.0182,-0.0222,-0.0094,-0.0154,-0.0349,-0.0227,-0.0227,-0.0083,0.0102
2001-09-05,-8.112,112.9239,SO,,0.8639,0.8164,0.4575,0.3375,0.2363,0.2127,,,,,,,,0.0525,-0.0107,-0.0105,-0.0115,-0.0115,-0.0117,-0.012,-0.012,-0.0123,-0.0125,-0.0128,-0.0023,-0.0132,-0.003,-0.0137,-0.0141
2002-05-19,-8.1117,112.9244,E,,0.1857,0.0851,0.0615,0.0479,0.0232,-0.0157,-0.0772,-0.0722,0.0124,0.0128,-0.0057,-0.0133,-0.0209,-0.0301,-0.0241,-0.0035,0.0164,0.0262,0.0301,0.0269,0.0237,0.0023,-0.0028,-0.0038,0.0087,0.0066,0.0047,-0.0043,0.0055
2002-05-19,-8.1117,112.9244,N,0.3622,0.3003,0.4285,0.2538,0.239,0.0992,-0.0785,-0.0389,0.006,0.0265,0.0099,0.0116,0.0104,0.0037,-0.0051,-0.0062,-0.0083,-0.0116,-0.0169,-0.0155,-0.014,-0.0062,0.0186,0.0233,0.0162,0.0017,0.0004,-0.0016,-0.0105,-0.0115
2002-05-19,-8.1117,112.9244,NE,,0.1062,0.0341,0.0223,-0.0015,-0.0168,-0.021,-0.0156,0.0048,0.0173,0.0243,0.0298,0.019,0.0215,0.0143,0.0068,0.0021,-0.0026,-0.0022,-0.0129,-0.0175,-0.0139,-0.0211,-0.0025,0.0037,0.011,0.0247,0.0328,0.0277,0.0347
2002-05-19,-8.1117,112.9244,NO,,,,0.6673,0.7245,0.5673,0.3187,0.2583,0.1159,0.0326,0.0845,-0.0333,-0.0456,-0.0424,-0.0259,-0.0473,-0.0564,-0.0399,-0.0169,-0.047,-0.0347,-0.0519,-0.0027,-0.04,-0.047,-0.0259,-0.0104,0.0028,-0.0072,0.0012
2002-05-19,-8.1117,112.9244,O,,,,0.8415,0.667,0.4093,0.2332,0.1971,0.1171,0.0829,-0.0023,-0.023,0.0107,-0.0008,-0.0002,-0.0009,-0.0166,-0.0178,-0.0116,-0.0253,-0.0234,-0.0182,-0.0338,-0.0246,-0.0372,-0.0359,-0.0366,-0.0309,-0.0204,-0.0161
2002-05-19,-8.1117,112.9244,S,,0.8024,0.675,0.3794,0.2309,0.0658,0.0426,0.0216,0.014,0.0059,0.0008,-0.0207,-0.0054,-0.0005,-0.0011,-0.0236,,,,,,,,,,,,-0.0032,-0.0267,-0.0128
