date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-04-03,-9.5561,149.1276,E,,0.0265,,,,,,,,,,,,,,,,,,,,0.018,0.0011,-0.0049,-0.0044,0.0054,0.0011,-0.0057,-0.0079,-0.0058
2000-04-03,-9.5561,149.1276,N,,0.0257,-0.0012,-0.0017,-0.0018,-0.0014,-1e-04,0.0002,1e-04,-0.0004,0.0003,0.0012,-0.0119,0.0006,0.0021,-0.0041,-0.0038,0.0028,0.0138,0.014,0.0013,0.0009,0.0007,0.0018,0.0024,0.0022,0.0013,-1e-04,-0.0,-0.0002
2000-04-03,-9.5561,149.1276,NE,0.0297,0.0185,0.021,,,,,,,,,,,,,,,,,,,,,,,-1e-04,-0.0013,-0.0022,-0.0044,0.013
2000-04-03,-9.5561,149.1276,NO,0.0367,0.0107,-0.0029,-0.0096,-0.003,-0.0096,-0.0155,-0.0274,-0.0143,-0.0141,-0.0143,-0.0139,-0.0086,-0.0025,-0.0017,-0.0012,0.0107,0.0108,0.0106,-0.0002,0.0105,0.0105,0.0017,0.0014,-0.0022,-0.0007,-0.0016,0.0013,0.0022,-0.001
2000-04-03,-9.5561,149.1276,O,,0.0299,0.0164,0.0164,0.0168,0.0166,0.016,0.0161,0.0169,0.0036,0.0035,0.0036,0.0022,0.0025,-0.0028,0.0019,0.0022,0.0019,0.002,0.002,0.0016,-0.0114,-0.0116,-0.0117,-0.0116,0.0004,-1e-04,-0.0002,-0.0004,-0.0008
2000-04-03,-9.5561,149.1276,S,,-0.0006,-0.0022,-0.0134,-0.0235,-0.0267,-0.0282,-0.0162,-0.0027,-0.0009,-0.002,-0.0023,-0.0016,-0.008,-0.0139,-0.0,0.0009,0.0023,0.0027,0.0027,0.0035,0.0028,0.004,0.0048,0.0049,0.0024,-0.0075,-0.0066,0.0026,-0.0056
2000-04-03,-9.5561,149.1276,SE,0.0289,0.0151,0.0162,0.016,-0.0067,-0.0105,-0.0082,-0.0049,0.0049,-0.0074,-0.0028,0.0068,0.0144,0.012,0.007,0.0109,0.0106,0.0055,0.003,0.0041,0.005,0.0046,-0.0082,-0.0105,-0.014,-0.0111,-0.0056,0.0014,0.0015,0.0026
2000-04-03,-9.5561,149.1276,SO,0.0233,0.0236,0.01,0.0101,0.0106,-0.0011,-0.0124,-0.0014,-0.0015,-0.0144,-0.0034,-0.004,-0.0147,-0.0037,-0.0034,0.003,0.0056,0.0096,0.01,0.0102,0.01,-0.0016,-0.0014,0.0099,0.01,0.0106,-0.0013,-0.0023,-0.0019,-0.0019
2000-08-24,-9.5487,149.1305,E,,0.0537,0.0475,0.0402,0.0362,0.0261,0.0154,0.0074,0.0027,0.0025,-0.0047,-0.0028,1e-04,-1e-04,-0.0013,-0.006,-0.0051,-0.0007,0.002,0.0104,0.0143,0.0145,0.0123,0.012,0.0109,0.0034,0.0006,-0.0055,-0.0177,-0.0243
2000-08-24,-9.5487,149.1305,N,,0.0061,-0.0108,-0.0184,-0.0168,-0.0201,-0.0197,-0.0117,-0.0086,-0.0098,-0.0083,-0.0063,-0.0025,-0.0031,-0.0038,-0.0036,-0.0054,-0.005,-0.0012,-0.0007,0.0037,-0.0034,-0.004,-0.0057,-0.0014,0.0046,0.0087,0.0116,0.0107,0.0137
