date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-05-21,-9.5528,149.1311,E,,-0.0022,-0.0031,-0.0041,-0.0093,-0.0034,-0.0025,0.0095,-0.002,-0.0021,-0.0023,-0.0019,-0.0015,-0.0022,-0.003,0.0022,0.001,0.0002,0.0104,-0.0021,-0.0026,-0.0024,0.0097,-0.0024,-0.0028,-0.0027,-0.0026,-0.0029,-0.0024,-0.0032
2000-05-21,-9.5528,149.1311,N,,0.0164,0.0026,-0.01,-0.0108,-0.0105,-0.0106,0.0027,0.0027,0.0032,0.0025,-0.0097,-0.009,0.0026,0.0038,0.003,0.0025,0.0029,0.0028,0.0033,0.0027,0.0043,0.0035,0.0025,-0.01,-0.0099,-0.0094,0.0027,0.0034,0.0045
2000-05-21,-9.5528,149.1311,NE,0.0069,-0.0059,-0.0051,-0.011,-0.0049,-0.004,-0.0036,-0.0039,-0.0014,0.0046,-0.0023,-0.0016,-0.0009,-0.0008,-0.0009,0.0006,-0.0007,0.0014,0.0,0.0013,0.0025,0.0028,0.0023,0.0016,0.0016,0.0024,-0.0019,0.0032,-0.0045,0.0044
2000-05-21,-9.5528,149.1311,NO,0.0311,0.0182,0.0173,0.011,0.0048,0.0038,0.0047,0.0042,0.0031,-0.0084,0.0039,-0.0082,0.0042,0.0047,0.004,0.0049,0.0064,0.0051,-0.0072,-0.0088,-0.0083,0.0043,0.0038,-0.0091,-0.0082,0.0039,0.0036,0.0038,0.0038,0.0039
2000-05-21,-9.5528,149.1311,O,,0.0265,0.0199,0.0125,0.0004,-0.0002,0.0068,0.0138,0.0065,0.0071,0.0031,-0.0007,0.0017,0.0083,0.0021,0.0019,0.0021,0.0028,0.004,0.0014,0.0008,0.0004,-0.0047,-0.0042,0.0014,-0.0029,-0.0091,-1e-04,-0.0021,0.0069
2000-05-21,-9.5528,149.1311,S,,0.006,0.0059,0.0068,0.0066,0.0067,-1e-04,0.007,0.0006,-0.0057,-0.0059,-0.0058,0.0018,0.0062,-0.0015,-0.0066,-0.0056,-0.006,-0.0067,-0.0055,0.0029,0.0061,-0.0044,-0.0057,-0.0057,-0.0062,-0.0062,-0.0063,0.0052,-0.005
2000-05-21,-9.5528,149.1311,SE,0.009,0.0087,0.0089,-0.0142,-0.0019,-0.0012,-0.0015,-0.0087,-0.0017,0.012,0.0011,0.0066,1e-04,0.0003,-0.0005,-0.0004,-0.0002,-0.0008,-0.0029,-0.0028,-0.0029,0.0089,0.0086,0.0064,-0.0034,-0.0037,-0.0038,0.0069,-0.0025,-0.0045
2000-05-21,-9.5528,149.1311,SO,0.0134,0.0139,0.0011,0.0008,0.0074,0.0137,0.0148,0.002,0.0023,0.003,0.0036,0.004,0.0036,0.0035,0.003,0.0024,0.0039,0.0041,0.0033,0.0034,0.0032,0.0049,-0.007,-0.0056,-0.0053,-0.0055,-0.0044,0.0011,-0.0031,-0.0038
2000-08-08,-9.5487,149.1305,E,,0.0079,-0.0035,0.0043,0.0033,0.0002,-0.0038,-0.004,-0.0043,-0.0047,-0.0046,-0.0048,-0.0048,-0.0046,-0.001,0.0022,0.0086,0.002,0.0016,0.0019,0.0022,0.0033,0.0021,0.0018,-0.0045,-0.0051,-0.0044,0.0017,-0.0036,0.0021
2000-08-08,-9.5487,149.1305,N,,0.0385,0.0192,0.0061,0.0027,0.0021,0.0013,0.0041,0.0032,0.0007,-0.0031,-0.0041,-0.004,-0.0034,0.0028,0.0033,0.0039,0.0039,0.0036,0.0036,-0.0027,-0.0031,-0.0036,-0.0,1e-04,-0.0033,-0.0035,-0.003,-0.0031,-0.003
