date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-27,5.4511,95.6599,E,,-0.1308,-0.1315,-0.1294,-0.1271,-0.1224,-0.1168,,,,,,,,,,,,,,,,,,,,0.0012,0.0026,-0.0002,-0.0049
2000-07-27,5.4511,95.6599,S,,0.0328,0.025,0.0245,0.0292,0.0255,0.0213,0.0088,-0.0027,-0.0039,-0.0033,,,,,,,,,,,,,,,,,,,
2000-07-27,5.4511,95.6599,SE,,0.0135,0.0082,0.0043,-0.0006,0.0051,0.008,1e-04,0.0024,-0.0015,-0.0073,-0.0005,,,,,,,,,,,,,,,,,,
2001-08-15,5.4527,95.6583,E,,,,,,,,,,,,,,,,,,,,,-0.0023,-0.0024,0.0033,0.003,-0.0008,-0.0017,0.0014,-0.0005,-0.0008,-0.0012
2001-08-15,5.4527,95.6583,N,0.001,0.0,0.0,0.0,0.0051,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2001-08-15,5.4527,95.6583,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0063
2001-08-15,5.4527,95.6583,NO,,0.0007,-0.0021,-0.0022,0.0038,0.0054,0.0009,-0.0008,1e-04,,,,,,,,,,,,,,,,,,,,,
2001-08-15,5.4527,95.6583,O,0.0072,0.0011,0.0018,0.0019,0.0076,0.0085,0.0056,,,,,,,,,,,,,,,,,,,,,,,
2001-08-15,5.4527,95.6583,S,,0.0069,0.0009,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-15,5.4527,95.6583,SO,,0.0079,0.0008,0.0017,0.0028,0.0031,0.0086,,,,,,,,,,,,,,,,,,,,,,,
2002-05-14,5.4527,95.6575,E,,,,,,,,,,,,,,,,,,,,,-0.0038,-0.0019,-0.0003,0.0014,0.0027,0.0003,0.0026,0.0018,-0.0017,-0.0022
2002-05-14,5.4527,95.6575,N,,0.0162,0.0144,0.0149,0.0077,0.001,-0.0013,-0.0002,-0.0012,0.001,,,,,,,,,,,,,,,,,,,,
2002-05-14,5.4527,95.6575,NE,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0,,,,,,-0.0
2002-05-14,5.4527,95.6575,NO,,0.0159,0.0188,0.0127,0.0128,0.0062,0.0025,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2002-05-14,5.4527,95.6575,O,0.0262,0.0194,0.0065,0.0063,0.006,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2002-05-14,5.4527,95.6575,S,,0.0262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-14,5.4527,95.6575,SO,,0.0256,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-17,5.4527,95.6575,E,,,,,,,,,,,,,,,,,,,,,-0.0051,-0.0033,-0.0029,0.0002,0.0004,0.0054,0.0034,-0.0032,-0.0029,-0.0005
2003-05-17,5.4527,95.6575,N,,0.0048,1e-04,0.0006,0.002,-0.0036,-0.0043,-0.0004,1e-04,0.0014,,,,,,,,,,,,,,,,,,,,
2003-05-17,5.4527,95.6575,NE,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0,,,,,,-0.0
2003-05-17,5.4527,95.6575,NO,,-0.0022,-0.0044,-0.0105,-0.008,-0.0048,-0.0058,-0.0017,0.0051,-0.0008,-0.0056,,,,,,,,,,,,,,,,,,,
2003-05-17,5.4527,95.6575,O,0.0163,0.0071,0.0069,0.0067,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2003-05-17,5.4527,95.6575,S,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-17,5.4527,95.6575,SO,,0.0088,0.0081,,,,,,,,,,,,,,,,,,,,,,,,,,,
