date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-05-04,56.6479,161.3568,E,0.0418,0.0305,0.0101,-0.0132,-0.0154,-0.0065,0.0034,0.0081,0.0061,0.0044,-0.0002,-0.0042,-0.0012,-0.002,-0.0036,-0.0027,-0.0019,-0.003,-0.0023,-0.0016,-0.0026,-0.0027,-0.0021,-0.0005,0.0024,0.005,0.0016,0.0038,0.0025,0.0031
2001-05-04,56.6479,161.3568,N,0.0203,0.0124,0.0124,0.0106,0.0122,0.002,-0.0005,-0.0118,-0.0117,-0.0109,-0.0041,-0.0026,-0.0028,-0.0104,-0.0149,-0.018,-0.0185,-0.0205,-0.0087,-0.0037,-0.0002,0.0072,0.011,0.0091,0.0108,0.0072,0.0071,0.0088,0.0071,0.0036
2001-05-04,56.6479,161.3568,NE,0.0315,0.0217,0.0158,0.0037,0.0027,-0.004,-0.0074,-0.0064,-0.0042,-0.0059,-0.0043,-0.0039,-0.0044,-0.0026,-0.0021,0.002,0.009,0.0066,-0.0065,-0.005,-0.0037,0.0011,0.004,-0.0,-0.0021,-0.0028,-0.0028,-0.0032,-0.004,-0.0053
2001-05-04,56.6479,161.3568,NO,,0.004,-0.0086,-0.0107,-0.0127,-0.0149,-0.0148,-0.0096,-0.008,-0.0115,-0.012,-0.0106,-0.016,-0.0184,-0.0213,-0.0157,-0.0043,0.0058,0.0111,0.0107,0.0104,0.013,0.012,0.0104,0.0109,0.0032,-0.0022,-0.003,-0.0083,-0.018
2001-05-04,56.6479,161.3568,O,,0.0197,0.0064,-0.0017,-0.004,-0.0041,0.0048,-0.0006,0.008,-0.0011,-0.0084,-0.0101,-0.0035,-0.0011,-0.0008,0.002,-0.0076,-0.0189,-0.0146,-0.0152,-0.0081,-0.0018,0.0007,0.0005,0.0063,0.0078,0.0099,0.0048,-0.0091,-0.02
2001-05-04,56.6479,161.3568,S,0.0383,0.0365,0.0305,0.0263,0.0151,0.012,0.001,-0.0079,-0.0105,-0.0109,-0.0108,-0.0122,-0.013,-0.0133,-0.0099,-0.0046,-0.0021,0.0002,0.0019,0.0072,0.0101,0.0081,0.0123,0.0135,0.009,0.0017,-0.0041,-0.0077,-0.0119,-0.014
2001-05-04,56.6479,161.3568,SE,,0.0409,0.0143,0.0046,0.0046,0.0135,0.0175,0.0121,0.0058,0.0084,0.021,0.0211,0.0084,-0.0021,-0.007,0.0004,0.0068,0.0115,0.0191,0.0192,0.0142,0.0072,-0.0026,-0.0045,-0.0082,-0.01,-0.013,-0.0148,-0.0159,-0.0167
2001-05-04,56.6479,161.3568,SO,0.0221,0.0103,0.0083,-0.0057,-0.0057,-0.0056,-0.0056,-0.0096,-0.0137,-0.0137,-0.0096,0.0024,-0.0056,-0.0056,-0.0015,0.0025,0.0025,0.0065,0.0124,0.0144,0.0105,0.0065,0.0065,0.0026,0.0026,0.0026,-0.0014,-0.0075,-0.0135,-0.0176
2001-11-12,56.6477,161.3593,E,0.0366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-12,56.6477,161.3593,N,,0.0265,0.0165,0.0175,0.0178,0.0181,0.0406,0.0424,0.0222,0.0122,0.0045,-0.0055,-0.0119,-0.0086,0.0043,0.0053,-0.0015,0.0033,0.0066,0.0048,0.0035,0.0035,0.0077,0.005,-0.0042,-0.0036,-0.0074,-0.0089,-0.0127,-0.012
2001-11-12,56.6477,161.3593,NE,0.0366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-12,56.6477,161.3593,NO,0.0121,0.0266,0.0203,0.0125,0.0176,0.0231,0.0274,0.0227,0.0146,0.0072,-0.0099,-0.0172,-0.0158,-0.01,0.0002,0.0039,0.0098,0.0092,0.0084,0.0067,0.0082,0.0035,1e-04,-0.0011,-0.0027,-0.0065,-0.0052,-0.0038,-0.0018,-0.0005
2001-11-12,56.6477,161.3593,O,,0.044,0.0501,0.0513,0.0381,0.0293,0.0222,0.0179,0.0158,0.0136,0.0159,0.0079,0.0055,0.0004,-0.0012,-0.0017,-0.0079,-0.0114,-0.0088,-0.0076,-0.008,-0.0084,-0.0089,-0.0069,-0.0057,-0.0022,0.0068,0.0075,0.0099,0.0125
2001-11-12,56.6477,161.3593,S,,0.0187,0.0187,0.0128,0.0109,0.0092,0.0231,0.0062,0.0142,0.0157,0.006,-0.0063,-0.0073,-0.0034,-0.0079,0.0015,-0.0077,-0.0071,0.0035,0.0063,0.0054,0.0005,-0.0041,-0.0041,-0.003,-0.0003,0.0027,0.0083,0.0031,0.0011
2001-11-12,56.6477,161.3593,SE,0.0231,0.0231,0.007,-0.0013,-0.0034,,,,-0.0032,0.0003,0.0113,0.0095,0.0028,-0.0038,0.0079,0.0081,0.0058,0.0016,-0.0004,-0.0012,-0.004,-0.0038,-0.0036,-0.0041,-0.0044,-0.0044,-0.0045,-0.0044,-0.0045,-0.0044
2001-11-12,56.6477,161.3593,SO,0.0291,0.0367,0.0326,0.0367,0.0363,0.028,0.0198,0.015,0.007,0.0023,0.0021,0.0037,0.0036,0.0031,-0.0051,-0.0104,-0.013,-0.0134,-0.0137,-0.0114,-0.0114,-0.0089,-0.0083,-0.0048,-0.0024,0.0003,0.0037,0.0055,0.0075,0.0081
2003-02-26,56.6479,161.3571,E,0.0308,0.0144,-0.0031,-0.0183,-0.0225,-0.0157,-0.0028,0.0034,0.0076,-1e-04,0.0055,-0.0076,-0.0037,0.0034,0.0045,0.001,0.0028,0.0052,0.008,0.0079,0.0058,0.0002,-0.0041,-0.004,-0.0027,-0.0012,-0.0005,-0.0005,1e-04,-0.0012
2003-02-26,56.6479,161.3571,N,0.0046,0.0028,0.0016,0.0068,0.0063,-0.0011,-0.017,-0.0364,-0.0393,-0.0291,-0.0344,-0.0148,-0.0238,-0.0336,-0.0262,-0.0286,-0.0498,-0.0355,-0.0139,-0.0033,0.0159,0.0221,0.0263,0.0272,0.0269,0.0238,0.0205,0.0165,0.0204,0.0211
2003-02-26,56.6479,161.3571,NE,,-0.0107,-0.0119,-0.0114,-0.0087,-0.0037,-1e-04,-0.0003,0.001,-0.0046,-0.0031,-0.007,-0.0077,-0.0054,0.0025,0.017,0.0147,0.0145,0.0126,0.0152,0.0221,0.0145,0.0051,0.0034,-0.0,-0.0036,-0.0088,-0.0125,-0.0156,-0.0213
2003-02-26,56.6479,161.3571,NO,,0.0254,0.0199,0.0198,0.0233,0.0164,0.0093,0.002,-0.0002,0.0036,0.0032,0.0021,-1e-04,-0.0101,-0.0295,-0.0413,-0.0255,-0.0023,-0.0004,0.0016,0.0089,0.0185,0.0286,0.0292,0.0229,0.0199,0.0145,0.005,-0.0011,-0.0121
2003-02-26,56.6479,161.3571,O,0.0057,0.0002,-0.0161,-0.0228,-0.0252,-0.0272,-0.0246,-0.0119,-0.0059,-0.0,-0.0047,-0.0067,-0.0048,-0.0027,-0.0013,0.0083,0.0123,0.0113,0.0017,-0.0046,-0.0074,-0.0077,-0.0031,-0.0022,-0.0045,-0.0054,0.0024,0.0043,0.0049,0.0016
2003-02-26,56.6479,161.3571,S,0.0544,0.0367,0.0075,0.0034,0.0032,-0.0108,-0.0178,-0.0169,-0.0253,0.0005,-0.0006,-0.0121,-0.0132,-0.0068,0.0068,0.0183,0.0212,0.0089,0.0077,0.0072,0.0047,0.0173,0.018,0.0139,0.0048,-0.005,-0.0059,-0.0004,0.0003,0.0008
2003-02-26,56.6479,161.3571,SE,,0.0376,0.002,-0.0126,-0.0075,0.001,0.0103,0.0073,0.0034,0.0,0.0163,0.0093,-0.0021,-0.003,0.0009,0.0127,0.0175,0.0241,0.0389,0.0392,0.0269,0.0089,-0.0003,-0.0008,-0.0104,-0.0183,-0.0267,-0.0268,-0.0293,-0.0223
2003-02-26,56.6479,161.3571,SO,,0.0446,0.035,0.0431,0.0316,0.0312,0.0412,0.0165,-0.0034,0.0259,-0.0042,0.0172,-0.0139,-0.0103,-0.0073,-0.0022,1e-04,0.0084,0.0083,0.0073,0.0006,0.0016,-0.0009,0.0002,-0.0006,0.0012,0.0047,0.006,0.0061,0.0115
2003-05-26,56.6482,161.3568,E,0.0624,0.0164,,-0.0055,,0.0,-0.0054,0.0,-0.0032,0.0,0.0,-0.0075,0.0018,0.0007,-0.0017,-0.0032,,,,,,,,,,,,,,
2003-05-26,56.6488,161.3619,E,,,0.0007,,0.0,,,,,,,,,,,,,,-0.002,0.0,,,,,,,,,,
2003-05-26,56.6494,161.3669,E,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-26,56.6482,161.3568,N,0.0678,,,0.0434,,,,-0.0203,-0.0082,,,0.015,,,-0.0033,,,,,,,,,0.0081,0.0013,-0.002,,,,
2003-05-26,56.6488,161.3619,N,,,0.0155,,,-0.0107,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-26,56.6494,161.3669,N,,-0.0148,,,-0.0082,,-0.0181,,,-0.0004,0.0027,,0.0116,0.0081,,0.0011,-0.0079,-0.0059,0.0032,0.0042,0.0047,0.0006,-0.0024,,,,0.0043,0.0096,0.01,-0.0025
2003-05-26,56.6482,161.3568,NE,,0.0529,,,,,,,,-0.0017,0.0032,0.0019,,-0.0053,,-0.0076,-0.0062,-0.0009,0.0013,-0.0052,-0.0035,,0.0002,-0.0,,,,,,
2003-05-26,56.6488,161.3619,NE,,,0.0272,0.0273,0.0041,-0.0012,,,,,,,-0.0036,,-0.0099,,,,,,,,,,,,,,,
2003-05-26,56.6494,161.3669,NE,0.018,,,,,,-0.0061,-0.0012,-0.0021,,,,,,,,,,,,,0.005,,,-0.0031,-0.0027,-0.0024,-0.0028,-0.0027,-0.0019
2003-05-26,56.6482,161.3568,NO,,0.0307,0.0086,,0.0347,,0.0014,,-0.0222,-0.0074,-0.0074,,,,,,,,,,,,,,,,,,,
2003-05-26,56.6488,161.3619,NO,,,,,,,,-0.015,,,,,-0.0004,-0.0054,,,,,,,,,,,,,,,,
