date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-24,54.7593,-163.9728,E,,0.0111,0.0093,0.0082,0.0072,0.005,0.0013,0.0031,0.0019,0.0011,-0.0006,0.0017,0.0015,0.0018,-0.0016,-0.0026,-0.0009,-0.0007,-0.0015,1e-04,-0.0002,-0.0015,0.0007,-0.0017,-0.0031,-0.0042,0.0024,0.0026,0.0015,0.0019
2000-01-24,54.7593,-163.9728,N,0.0062,0.0042,0.0021,-1e-04,-0.0021,,,0.0018,0.0038,-0.0023,0.0016,-0.0023,-0.0024,-0.0022,0.0012,-0.0026,-0.0027,-0.0023,0.0006,0.0006,0.0009,0.0004,0.0005,0.0007,0.001,0.0009,0.0008,0.0051,0.0051,0.0007
2000-01-24,54.7593,-163.9728,NE,,,0.0058,0.0088,0.0081,0.0061,0.0044,0.0036,0.0024,0.0018,0.0023,0.0012,0.0027,0.0015,0.0013,1e-04,-0.0004,-0.0007,-0.0012,-0.0017,-0.0016,-0.0002,-0.0018,-0.0021,-0.0032,-0.0004,-0.0003,-0.0008,0.0015,0.001
2000-01-24,54.7593,-163.9728,NO,0.0068,,0.0027,0.0028,,-0.0014,-0.0013,,,,,,,-0.0014,-0.0015,-0.0015,-0.0015,-0.0016,-0.0015,-0.0015,-0.0015,-0.0014,0.0025,0.0028,0.0027,-0.0018,-0.0018,-0.0019,-0.0021,
2000-01-24,54.7593,-163.9728,S,,0.0083,0.0082,0.0082,0.0039,0.0038,,,0.0034,0.0033,-0.0011,-0.0011,0.0053,0.0073,0.0032,-0.0011,-0.0011,-0.0013,-0.0014,-0.0014,-0.0013,-0.0014,-0.0015,-0.0016,-0.0016,-0.0016,-0.0017,-0.0018,0.0061,0.006
2000-01-24,54.7593,-163.9728,SE,,0.0113,0.0105,0.0098,0.005,0.0003,-0.0002,0.0013,-0.0017,-0.002,,-0.0032,0.0006,-1e-04,-0.0007,-0.0014,0.0018,,,,0.0073,0.0073,,,,,,-0.0011,-0.0014,-1e-04
2000-01-24,54.7593,-163.9728,SO,,1e-04,1e-04,-1e-04,0.0023,1e-04,1e-04,1e-04,1e-04,,1e-04,-1e-04,1e-04,-1e-04,-1e-04,-1e-04,,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2000-01-31,54.753,-163.9646,E,,0.0448,0.0441,0.0475,0.0388,0.0303,0.0217,0.0154,0.0126,0.0132,0.0112,0.0009,-0.0043,-0.008,-0.0081,-0.0073,-0.0068,-0.006,,,,,,,,,0.0002,0.0005,0.0008,0.0008
2000-01-31,54.753,-163.9646,N,0.0332,0.0329,0.0318,0.0297,0.0301,0.0327,0.0299,0.0067,0.0073,0.0033,-0.0008,-0.0007,-0.0021,0.0045,0.0037,0.0031,0.0015,-0.0021,-0.0013,-0.0037,-0.0005,-0.0011,-0.0059,-0.0002,-0.0036,-0.0042,-0.0018,-0.0021,-0.0029,-0.0039
2000-01-31,54.753,-163.9646,NE,0.0439,0.0398,0.0432,0.0401,0.0392,0.035,0.01,0.0055,0.0016,0.0012,0.0013,0.0048,0.005,0.0049,0.0032,0.0051,0.0021,0.002,0.001,0.0019,0.004,0.0039,0.0058,0.0036,-0.0006,-0.0042,-0.0044,-0.0046,-0.0048,-0.005
2000-01-31,54.753,-163.9646,NO,-0.0023,-0.0021,0.0031,-0.0009,-0.0008,0.0064,-0.0006,0.0078,0.0042,0.0018,-0.0009,-0.0072,-0.011,-0.0089,-0.0068,-0.0028,0.0012,-0.0026,-0.0025,-0.0024,-0.0023,-0.0023,-0.0022,-0.0021,-0.0019,0.0019,0.0021,0.0022,0.0022,0.0023
2000-01-31,54.753,-163.9646,O,0.0078,0.0075,0.0073,0.0071,0.007,0.0054,0.0052,0.0028,0.0028,0.0053,-0.0083,-0.0085,-0.0008,-0.0007,-0.0012,-0.0047,-0.0053,-0.0016,-0.0017,-0.0019,-0.0024,-0.0026,0.0011,0.001,0.001,0.001,-0.0009,-0.0027,-0.0033,-0.0035
2000-01-31,54.753,-163.9646,S,0.0373,0.0348,0.0344,0.0326,0.0329,0.0316,0.0307,0.0289,0.0275,0.0273,0.0226,0.0277,0.026,0.0157,0.0061,-0.0007,0.0038,0.0019,1e-04,0.0005,-0.0029,-0.0042,-0.0103,-0.0137,-0.0107,-0.0119,-0.0108,-0.0105,-0.0093,-0.0088
2000-01-31,54.753,-163.9646,SE,0.0631,0.052,0.049,0.0435,0.0379,0.037,0.0349,0.0306,0.0277,0.0246,0.0194,0.0168,0.0162,0.0194,0.0198,0.0104,-0.0145,-0.0172,-0.0184,-0.0193,-0.0192,-0.0167,-0.0143,-0.0122,-0.0098,-0.0074,-0.0049,-0.0026,-0.0006,0.0014
2000-01-31,54.753,-163.9646,SO,,0.0168,0.0127,0.0086,0.01,0.0142,0.0122,0.0142,0.0101,0.0051,0.0073,0.0093,0.0173,0.0151,0.0151,0.0153,0.0137,-0.0021,-0.0061,0.0048,0.0118,-0.006,-0.0101,-0.01,-0.01,-0.0099,-0.0099,-0.0098,-0.0139,-0.0099
2002-02-05,54.7525,-163.966,E,,,,,,,,,,,0.0062,0.0016,-0.0025,-0.0051,,0.0038,-0.0026,-0.0015,-0.0002,0.0009,0.0015,,,,,,,,,
2002-02-05,54.7525,-163.966,N,0.0143,,,,0.012,0.0133,0.0135,0.0114,0.011,0.0101,0.009,0.0114,0.0104,0.0067,0.0046,0.0044,0.0031,0.0028,0.0049,0.0044,0.0032,-0.0003,0.0,-0.0041,-0.0051,-0.0043,-0.0076,-0.008,-0.0092,-0.0071
2002-02-05,54.7525,-163.966,NE,,,,,,,,,,,0.0099,0.0021,0.0013,0.0009,0.0002,1e-04,-0.0004,-0.001,-0.0009,0.0026,0.0051,0.0057,-0.0041,-0.0043,-0.0018,-0.0019,-0.0032,-0.0002,-0.0004,-0.0004
2002-02-05,54.7525,-163.966,NO,,,0.0015,0.0005,-0.0006,-0.0015,-0.0021,0.0005,0.0,-0.0012,-0.0015,-0.0019,-0.0022,0.0005,0.0,-0.0006,-0.0006,0.001,0.0008,0.0019,-0.0004,-0.0007,0.0016,0.0017,0.001,0.0002,0.002,-0.0011,-0.0017,-0.0022
2002-02-05,54.7525,-163.966,O,,,0.0125,0.0122,,0.0095,0.0076,0.006,0.005,0.0038,0.0017,-0.0009,0.0024,0.0015,0.0017,0.002,0.0016,0.0013,-0.0003,-0.0014,0.0007,-1e-04,0.0006,0.0017,0.0007,0.0004,0.0003,0.002,0.0016,0.0007
2002-02-05,54.7525,-163.966,S,,,,,,,,,,,,-0.0008,0.0029,0.0048,0.0035,0.0036,0.0029,-1e-04,-0.0002,-0.0003,-0.0007,-0.0011,-0.0011,-0.0011,-0.0012,-0.0016,-0.0021,-0.0024,-0.0026,-0.0035
2002-02-05,54.7525,-163.966,SE,0.025,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
2002-02-05,54.7525,-163.966,SO,,,,,,,,,0.0043,0.0047,0.0059,0.0053,0.0051,0.0054,0.0045,0.0035,0.0021,0.0015,0.0011,0.0006,0.0006,0.0004,-0.002,-0.0003,0.0006,-0.0003,0.0019,0.0003,-0.0031,-0.0042
2002-03-02,54.7571,-163.9701,E,,0.0169,0.0127,0.0085,0.0127,0.0042,0.0042,,,,,,,,,,,,,,,,,,,,,,,
2002-03-02,54.7571,-163.9701,N,,,,,,,,,,,,,,,,,,,,,,,-0.002,0.0002,0.0051,-0.0002,-0.0051,,,0.0017
2002-03-02,54.7571,-163.9701,NE,,0.0292,0.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-02,54.7571,-163.9701,S,0.0333,0.0272,0.0126,0.0043,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
