date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-10-23,-0.8263,-91.1678,E,,-0.006,0.0052,0.0207,0.0363,0.0642,0.0754,0.0857,0.0572,0.0707,0.0689,0.0845,0.0212,0.0104,0.0053,-0.0089,0.0063,0.004,0.0037,0.0149,-0.0476,-0.0215,-0.0245,-0.0532,-0.0384,-0.0467,-0.0488,-0.0446,-0.0355,-0.031
2000-10-23,-0.8263,-91.1678,N,,0.1444,0.1228,0.0852,0.0619,0.0314,0.0405,0.0357,0.0397,0.0189,-0.0058,-0.0032,-0.0052,-0.0143,-0.0187,-0.0055,-0.0047,0.0076,0.0171,0.0221,0.0053,-0.001,0.0007,-0.0009,-0.0185,-0.003,0.0028,0.0105,-0.0073,-0.005
2000-10-23,-0.8263,-91.1678,NE,0.1503,0.1491,0.1146,0.1148,0.109,0.0583,0.0597,0.0637,0.056,0.0355,0.0283,0.0272,0.0237,-0.0012,-0.0088,-0.0031,0.0017,-0.0245,-0.0334,-0.0256,-0.022,-0.0212,-0.0121,-0.0123,-0.0077,0.0011,-0.0066,-0.006,-0.0077,-0.006
2000-10-23,-0.8263,-91.1678,NO,,0.1549,0.131,0.1107,0.0961,0.0852,0.0646,0.0552,0.1035,0.1207,0.0837,0.0654,0.0288,0.01,-0.0213,-0.0107,-0.0273,-0.0248,-0.0208,-0.0335,-0.021,-0.0308,-0.0427,-0.0468,-0.0239,-0.0266,-0.0205,0.0006,0.0122,0.017
2000-10-23,-0.8263,-91.1678,O,,0.1342,0.1145,0.0994,0.0975,0.0946,0.089,0.1022,0.1059,0.1168,0.1378,0.1424,0.1366,0.1308,0.1397,0.1328,0.1164,0.0791,0.0576,0.0235,-0.0015,-0.0258,-0.0426,-0.055,-0.0542,-0.0594,-0.0809,-0.081,-0.0579,-0.0677
2000-10-23,-0.8263,-91.1678,S,,0.1805,0.1737,0.1292,0.081,0.0257,-0.0087,-0.0291,-0.0199,0.0103,0.0197,0.0644,0.0573,0.0019,-0.0183,-0.0084,0.0011,0.0053,-0.003,0.0138,0.0015,-0.0164,-0.0103,-0.0267,-0.016,-0.016,-0.0075,0.0003,-0.0059,-0.0042
2000-10-23,-0.8263,-91.1678,SE,0.106,,0.1128,0.1276,0.1389,0.1605,0.1199,0.0738,0.0029,-0.0193,-0.0309,-0.0245,-0.0127,-0.0072,0.0115,0.0209,0.0163,-0.0144,0.0002,-0.0036,-0.0188,-0.009,-0.0123,-0.0125,-0.02,-0.0344,-0.0302,-0.0153,-0.0091,-0.0067
2000-10-23,-0.8263,-91.1678,SO,0.1269,0.1227,0.1152,0.1012,0.052,0.0852,0.098,0.05,0.0216,-0.0163,0.009,-0.0125,0.0,-1e-04,-0.0097,-0.0196,-0.0195,-0.0148,-0.0278,0.0006,-0.0045,0.0216,0.0216,0.0249,0.0308,0.0086,-0.0105,-0.0338,-0.0403,-0.0458
2001-10-26,-0.826,-91.1678,E,,-0.0227,-0.0216,0.0183,0.0477,0.0407,0.0806,0.0698,0.0862,0.1148,0.0796,0.0471,0.0226,0.0259,0.0215,0.0226,-0.0047,-0.0087,-0.0013,0.0101,-0.0542,-0.0238,-0.0522,-0.0533,-0.0364,-0.0501,-0.0526,-0.0292,-0.0395,-0.0394
2001-10-26,-0.826,-91.1678,N,,0.1248,0.0873,0.071,0.0581,0.0587,0.0805,0.0861,0.0566,0.0315,-0.0092,-0.0028,-0.0045,-0.0043,-0.009,-0.0071,-0.0058,0.0006,0.0027,0.0174,0.0026,-0.0052,0.0031,0.0015,-0.0166,0.001,-0.0004,0.0117,-0.0013,-0.0065
