date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-12-04,3.1659,98.392,E,-0.1036,-0.0898,-0.0835,-0.0794,-0.0616,-0.047,-0.0311,-0.0131,,,,0.0397,0.031,0.0174,0.018,0.0353,0.0146,0.0069,-0.0118,-0.0317,-0.0294,-0.0251,,,,,,,,
2000-12-04,3.1659,98.392,N,,0.0476,0.0455,0.0331,0.0135,0.0022,0.0088,0.0194,-0.0061,0.0021,0.0089,0.006,0.0153,0.0242,0.0277,0.0217,0.0142,0.0151,0.0175,0.0183,0.017,0.0006,-0.0009,-0.0044,0.0062,0.0031,-0.0037,-0.0053,-0.0037,-0.0032
2000-12-04,3.1659,98.392,NE,,0.0301,0.0225,0.0121,0.0189,0.0183,0.0215,0.028,0.0299,0.033,0.0302,0.0269,0.002,0.0152,0.0069,0.0089,-0.0175,-0.015,0.0018,-0.0114,-0.0234,-0.0367,-0.0451,,,,,,,
2000-12-04,3.1659,98.392,NO,,0.0021,0.0011,-0.0067,-0.0192,-0.0258,-0.0457,-0.0405,-0.0325,-0.0158,-0.0066,0.0158,0.0099,0.0127,0.0171,0.0121,0.0131,0.0151,0.0087,0.0045,-0.0034,-0.0011,-0.0014,-0.0033,-0.0098,-0.0163,-0.0164,-0.0144,-0.011,-0.0121
2000-12-04,3.1659,98.392,O,,0.0347,0.0361,0.0321,0.005,-0.0243,-0.0124,-0.0028,0.0013,0.0091,0.0176,0.0078,0.0069,0.0098,0.0103,0.0076,0.0045,-0.0017,0.0023,0.0044,-0.0022,-0.007,-0.0057,-0.012,-0.0168,-0.0107,-0.0067,-0.0058,0.0022,0.0121
2000-12-04,3.1659,98.392,S,0.0873,0.0519,0.0425,0.0502,0.059,0.0436,0.0427,0.0396,0.0203,0.0122,0.0096,0.0132,0.0275,0.0268,0.0105,-0.0162,-0.0239,-0.0191,-0.0041,-0.0015,0.0008,-0.0078,-0.0084,-0.009,-0.0064,-0.005,-0.0006,-0.002,-0.0002,0.0029
2000-12-04,3.1659,98.392,SE,,0.0777,0.0651,0.071,0.0814,0.0806,0.08,,0.045,0.0378,0.029,0.0339,0.0313,0.0377,0.0242,0.0007,-0.0023,-0.0014,-0.0081,-0.0148,-0.0156,-0.0109,-0.0113,-0.0011,-0.003,-0.0037,-0.0022,0.0027,-0.0079,-0.0076
2000-12-04,3.1659,98.392,SO,,0.0386,0.003,-0.0142,-0.0125,0.0082,0.0109,0.0085,-0.0034,0.0073,-0.002,-0.0032,0.0008,0.0049,0.0131,0.0137,0.0136,0.0121,0.0103,0.0079,0.0113,0.0046,-0.0063,0.0034,-0.0076,-0.0086,-0.004,-0.0073,-0.0051,-0.004
2001-01-05,3.1659,98.3937,E,-0.0133,-0.0193,-0.0103,-0.0062,-0.0031,0.0021,-0.0048,0.0171,-0.0152,-0.0089,0.0223,0.0076,-0.0139,-0.0319,,,,,,,,,,,,,,,,
2001-01-05,3.1659,98.3937,N,,0.0487,0.007,0.0097,0.0145,0.0157,0.0191,0.0262,0.0155,0.0139,0.008,0.009,0.0026,0.0022,0.0122,0.0132,0.0138,0.0105,0.0099,0.0079,0.0086,0.0055,0.0034,0.003,-0.0038,-0.0053,-0.0035,0.0043,0.0014,-0.001
2001-01-05,3.1659,98.3937,NE,,0.0563,0.0478,0.0414,0.0422,0.0402,0.0497,0.0358,0.0004,-0.0067,-0.0187,-0.0217,-0.0335,-0.0351,-0.0136,-0.0309,,,,,,,,,,,,,,
2001-01-05,3.1659,98.3937,NO,,-0.0085,-0.0456,-0.0353,-0.0241,-0.0109,-0.0123,-0.0187,-0.0251,-0.0195,-0.0177,-0.0091,0.001,0.0049,0.0023,0.0112,0.0202,0.0176,0.0169,0.0071,0.001,-0.0048,-0.0015,-0.0044,-0.0055,-0.0046,-0.0106,-0.0109,-0.0067,-0.0059
2001-01-05,3.1659,98.3937,O,,0.0153,0.0112,0.015,-0.0008,-0.0092,-0.0047,0.0039,0.0097,0.0183,0.0316,0.0541,0.0572,0.047,0.0291,0.0157,0.0083,0.0034,-0.0023,-0.0082,-0.014,-0.0187,-0.0179,-0.0207,-0.0206,-0.0204,-0.0227,-0.0259,-0.0197,-0.011
2001-01-05,3.1659,98.3937,S,0.1305,0.1159,0.094,0.0726,0.0856,0.0661,0.0392,0.0248,-0.0063,0.0138,0.0157,0.0042,0.0108,0.0174,0.0189,0.0055,0.0083,0.0173,0.026,0.0165,-0.0088,-0.0081,-0.014,-0.0134,-0.0094,-0.0036,-0.0061,-0.0175,-0.0198,-0.0364
2001-01-05,3.1659,98.3937,SE,,0.0556,0.0517,0.0399,0.0344,0.0349,0.033,0.0201,0.0146,0.023,0.036,0.0404,,0.0333,,0.0003,-0.0064,-0.0004,0.0065,-0.005,-0.0102,0.0037,0.0048,0.002,-0.0081,-0.0079,-0.0037,0.0004,-0.0044,-0.0113
2001-01-05,3.1659,98.3937,SO,,0.0634,0.0609,0.0598,0.0523,0.0342,0.0186,0.012,0.0041,-0.0048,-0.0045,-0.0191,-0.0063,0.0097,0.0072,0.0161,0.022,0.0227,0.0151,0.0153,0.0188,0.0097,0.002,-0.0088,-0.0213,-0.0346,-0.0443,-0.0442,-0.0419,-0.0418
2001-01-21,3.1656,98.3923,E,0.0134,,-0.0439,-0.0455,-0.0553,-0.0353,-0.026,-0.0274,-0.0026,,,,0.0391,0.0483,0.0592,0.0421,0.019,-0.0048,-0.0088,0.0019,-0.004,-0.0137,-0.0011,0.0082,0.0029,-0.0043,-0.0064,-0.011,-0.0174,-0.0166
2001-01-21,3.1656,98.3923,N,,0.0302,,,-0.0004,-0.0082,0.0126,-0.0309,-0.0147,-0.0031,0.002,0.0043,0.0046,-0.0058,-0.0055,-0.0023,-0.0018,0.0034,0.007,0.0063,0.0013,0.0033,0.0004,-0.001,-0.0007,0.0047,0.004,-0.0004,-0.0019,0.0032
2001-01-21,3.1656,98.3923,NE,,,,,-0.0462,-0.0372,-0.0157,-0.0031,0.0025,-0.0025,-0.0056,-0.0057,-0.004,0.0072,0.0191,0.0269,0.0265,0.0204,0.0082,0.0015,0.0009,-0.0059,-0.0059,-0.0061,-0.0039,-0.0055,-0.0059,-0.0083,-0.0177,-0.0182
2001-01-21,3.1656,98.3923,NO,,0.0246,0.0233,0.0019,0.0036,,,0.0045,-0.0041,0.0022,0.0146,-0.0093,-0.0119,-0.0084,-0.0095,0.0033,0.0041,-0.002,-0.01,-0.0098,-0.0049,-0.009,-0.004,-0.0027,-0.0007,-0.0063,-0.0039,-0.0079,-0.0103,-0.0125
2001-01-21,3.1656,98.3923,O,,0.0632,0.0696,,,-0.0024,-0.0121,-0.0149,0.0009,-0.0007,-0.005,-0.0059,-0.002,-0.0025,0.0026,0.0084,0.0122,0.0129,0.0044,0.0031,-0.0062,-0.0114,-0.0126,-0.0167,-0.0134,-0.0102,-0.0029,-0.0005,0.0055,0.0037
2001-01-21,3.1656,98.3923,S,,,0.001,-0.0183,,,0.0309,0.0309,0.0277,0.0201,0.0248,0.0262,0.0285,0.0356,0.0544,0.0452,0.028,-0.0384,-0.0092,0.0085,0.0149,-0.0036,-0.0036,-0.0066,-0.0055,-0.0051,-0.0045,-0.0032,-0.0071,-0.0134
2001-01-21,3.1656,98.3923,SE,,,0.1066,,,,,,,,,,,,,,,0.0472,0.0132,-0.0005,-0.0016,-0.0009,-0.0014,-0.0011,-0.0005,-1e-04,-0.0005,-0.0004,0.0004,-0.0
2001-01-21,3.1656,98.3923,SO,,,-0.0122,-0.0355,-0.0472,-0.0233,-0.0127,0.0041,-0.0038,0.0135,0.0158,0.012,0.0118,0.0065,0.0112,0.0086,0.0029,0.011,0.0065,0.0078,0.0029,0.0011,-0.0038,0.0029,-0.0047,-0.0015,0.0013,-0.0041,-0.0057,-0.0014
2001-11-21,3.1659,98.3923,E,-0.0585,-0.0497,-0.0418,-0.011,0.0108,-0.0147,-0.0176,-0.0033,,,,0.0511,0.0552,0.0627,0.0429,0.0117,-0.0233,-0.023,-0.0043,0.0071,0.0055,0.0098,0.0133,-0.0107,-0.0382,-0.0233,-0.024,-0.0305,-0.0346,-0.0147
2001-11-21,3.1659,98.3923,N,,0.0262,0.02,0.0114,0.0083,0.0036,0.0188,-0.0281,0.0031,0.0003,-0.0156,-0.008,0.0093,-0.018,-0.0031,0.0015,0.0048,0.0004,-0.0003,-0.0043,-0.006,-0.0104,-0.0118,-0.0106,-0.006,-0.0045,-0.0085,-0.0133,-0.0154,-0.0153
