date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-25,-8.4959,124.1296,N,,,,,,,,,,,,0.0425,0.0318,0.0196,0.0073,-0.0049,-0.0027,-0.0022,-0.0112,-0.0043,-0.0077,-0.01,-0.0139,-0.0081,-0.0031,-0.0037,0.0074,0.0143,0.0051,-0.002
2000-03-25,-8.4959,124.1296,NE,,,,,0.1114,,,,,,,,,,,,,,,-0.0024,0.0005,-0.0031,-0.0021,0.0048,0.002,-0.0067,-0.0177,0.0262,-0.0092,0.0021
2000-03-25,-8.4959,124.1296,NO,,,,,,,,,,,0.0405,0.0117,-0.0085,-0.0208,-0.0258,-0.0246,-0.0141,-0.0023,0.0087,0.0162,0.0135,0.0209,0.0101,0.005,0.0097,-0.0067,0.004,-0.0005,-0.0056,-0.0122
2000-03-25,-8.4959,124.1296,O,,,,,,,,0.0789,0.0552,0.0312,0.0375,0.0416,-0.0239,-0.0488,-0.0419,-0.0481,-0.0344,0.0139,,,,,,,,,,,,
2000-03-25,-8.4959,124.1296,S,0.0373,,,-0.0237,-0.0421,-0.044,-0.0234,-0.0173,-0.0243,-0.0246,-0.0165,0.0035,0.0093,-0.0026,-0.0174,-0.0083,0.0087,0.0061,0.0085,0.0167,0.021,0.0266,0.0206,0.0175,0.0036,1e-04,-0.015,-0.0061,-0.0225,-0.0201
2000-03-25,-8.4959,124.1296,SO,,,,,-0.0005,-0.0188,-0.0187,-0.0194,-0.0143,-0.0023,-0.0056,-0.0046,0.0058,0.0117,0.0164,0.0149,0.0204,0.0134,0.0095,0.0009,0.0087,0.0097,0.0119,0.0218,0.0013,0.0032,-0.0026,-0.0094,-0.0142,-0.003
2000-07-31,-8.4983,124.1288,E,0.0929,0.0836,0.0742,0.065,0.0678,0.0583,0.033,0.0487,0.0139,-0.0079,-0.0187,-0.0053,-0.0077,-0.0096,-0.0035,-0.0007,-0.0079,0.0025,0.0106,0.0112,-0.0029,-0.0028,-0.0072,-0.008,-0.0108,-0.0093,-0.0076,-0.0064,0.0062,0.0123
2000-07-31,-8.4983,124.1288,N,,0.1233,,,,,0.0404,,0.0222,0.0213,0.0164,0.0017,-0.0045,0.0052,0.0151,0.0112,0.0041,-1e-04,-0.0039,-0.0035,-0.0011,-0.0033,-0.0071,-0.0105,-0.0164,-0.0054,-0.0023,0.0009,0.0012,0.0133
2000-07-31,-8.4983,124.1288,NE,,,,,,,,,,,,,0.0427,0.0474,0.0249,-0.0009,0.0107,0.0113,0.0071,-0.0067,-0.0086,-0.0098,-0.0197,-0.0205,-0.0077,0.0054,0.0002,0.0004,0.006,0.0028
2000-07-31,-8.4983,124.1288,NO,,0.1329,0.1236,,0.055,0.0454,-0.0129,-0.0139,-0.0239,0.0045,-0.005,-0.0082,0.0076,0.0175,0.0173,0.0082,0.0013,-0.003,-0.0098,-0.0113,0.0042,0.018,0.0334,0.0171,0.0091,-0.0065,-1e-04,-0.0159,-0.0177,-0.0299
2000-07-31,-8.4983,124.1288,O,,0.0005,0.0096,-0.0139,-0.026,-0.0008,0.0577,0.127,0.1191,0.0742,0.0206,-0.0346,-0.0221,-0.0105,-0.0021,-0.0087,-0.003,-0.0115,-0.0214,-0.0176,-0.019,-0.0239,-0.0587,-0.0511,-0.0215,0.0011,0.0171,0.0271,0.0285,0.0398
2000-07-31,-8.4983,124.1288,S,0.0221,0.0492,0.0609,0.0839,0.0602,0.0448,0.0466,0.0436,0.0386,0.0235,-0.0022,-0.0178,-0.0112,-0.0209,-0.0137,-0.0125,-0.0174,-0.0218,-0.0128,-0.0015,0.0003,0.0061,0.0133,0.0078,0.0108,0.0041,0.0056,-0.0027,0.0058,0.006
2000-07-31,-8.4983,124.1288,SE,,0.082,0.0727,0.0726,0.0724,0.0622,0.0638,0.055,0.0185,-1e-04,0.0063,0.0012,0.0,0.0026,-0.0009,0.0029,-0.0069,-0.0049,0.0018,-0.0035,-0.0093,-0.0118,-0.01,-0.0188,-0.015,0.0066,-0.0111,0.0078,0.0042,-0.0006
2000-07-31,-8.4983,124.1288,SO,,-0.0135,0.025,0.0236,0.039,0.0411,0.0711,0.0219,0.0131,-0.001,-0.0104,-0.0085,0.0002,0.0129,0.025,0.0039,0.0037,-0.0057,-0.0106,-0.0153,-0.0236,-0.0192,-0.0127,-0.0109,-0.0208,-0.0148,-0.004,0.018,0.021,0.0315
2000-08-16,-8.4981,124.129,E,,,0.0266,,,0.0199,0.0199,0.0136,0.0015,-0.0044,-0.0018,-0.0064,0.003,0.0012,-0.0047,-0.0037,-0.0034,-0.0057,0.0,0.0026,0.005,0.0005,0.0005,0.0004,-0.003,-1e-04,-0.0002,0.0014,-0.0073,-0.007
2000-08-16,-8.4981,124.129,N,,,,,,,,0.0357,0.0219,0.016,0.016,0.006,0.0064,0.0069,0.0119,0.0079,0.0063,0.0053,-0.006,-0.01,-0.0097,-0.0158,-0.0168,-0.0112,-0.0043,0.0039,0.0059,1e-04,0.0069,0.0145
2000-08-16,-8.4981,124.129,NE,,,,,,,,,,,0.0574,0.0428,0.025,0.012,0.0325,0.0,0.0035,-0.003,-0.0064,-0.0067,-0.0044,-0.0134,-0.01,-0.0023,-0.0013,-0.0003,0.0007,0.0021,-0.0005,-0.0026
2000-08-16,-8.4981,124.129,NO,,0.0592,0.0534,,0.0271,0.0213,0.0089,0.0017,-0.0036,-0.0047,-0.002,0.0028,0.0068,0.0081,0.0064,0.0053,-0.0019,-0.006,-0.0071,-0.0085,0.0047,0.0092,0.0112,0.0046,0.0028,-0.0049,-0.0055,-0.0053,0.0008,-0.0125
2000-08-16,-8.4981,124.129,O,,0.0224,0.017,0.0108,0.002,0.002,-0.0033,0.0214,0.015,0.0549,0.0114,-0.0075,-1e-04,-0.0021,-0.0066,-0.0093,-0.0172,-0.0226,-0.0153,-0.0184,-0.0131,-0.0099,-0.0117,-0.0087,-0.009,-0.002,0.0033,0.006,0.0106,0.0147
2000-08-16,-8.4981,124.129,S,0.0106,0.0106,0.0164,0.028,0.0266,0.0144,0.0096,0.018,0.0255,0.0227,0.0105,-0.0013,-0.0036,-0.0062,-0.0109,-0.01,-0.0138,-0.0175,-0.0116,-0.0101,0.0026,0.0051,0.0077,0.0135,0.0108,0.0117,0.0049,-0.0003,-0.0047,-0.0015
