date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-14,16.0402,-61.6656,E,0.0158,0.004,0.0116,0.0104,0.003,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-14,16.0402,-61.6656,NO,-0.06,,,,,,,,,,,,,,,,0.0057,-0.0029,,,,,,,,,,,,
2000-09-14,16.0402,-61.6656,O,,0.0194,0.012,0.0114,0.0169,0.0097,0.0029,-0.0009,-0.0025,-0.003,-0.0015,-0.0052,-0.0039,-0.0039,0.0005,-0.0064,0.0071,1e-04,-0.0002,0.002,0.001,0.0004,0.0027,0.0045,-0.0023,-0.0022,0.0005,0.009,0.001,0.0012
2000-09-14,16.0402,-61.6656,S,0.0132,0.0099,0.0109,0.0104,0.0053,0.002,0.0007,0.0003,-0.0017,-0.002,0.0043,0.003,0.003,0.0032,0.0064,0.0091,0.0031,0.0017,-0.0016,-0.0031,-0.0068,-0.0079,-0.0085,-0.007,-0.0072,-0.0075,-0.0003,0.0049,0.0051,0.008
2000-09-14,16.0402,-61.6656,SE,,0.0113,0.0108,0.0032,0.0018,0.0088,0.0083,0.0068,0.0043,-0.0074,-0.0086,,,,,,,,,,,,,,,,,,,0.0118
2000-09-14,16.0402,-61.6656,SO,,-0.002,-0.0065,-0.0027,0.0007,-0.0017,-0.0003,-0.0037,0.0033,0.0019,0.0002,0.0015,-0.004,,,,,,,-0.0062,-0.0051,-0.005,-0.0089,-0.0021,-0.0008,0.0012,-0.0034,0.0003,-0.0059,-0.0048
2003-12-12,16.0421,-61.6678,E,,,0.0227,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-12,16.0421,-61.6678,N,0.0228,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-12,16.0421,-61.6678,NO,,0.0112,0.0084,0.0055,-0.0002,-0.0002,-0.0002,-1e-04,-0.0,-0.0002,-0.0002,-1e-04,-1e-04,-0.0,-1e-04,-1e-04,-0.0,0.0,,,,,,,,,,,,
2003-12-12,16.0421,-61.6678,O,,0.0154,0.0153,0.0096,0.0095,0.0038,0.0039,0.0039,0.0039,0.0011,-0.0017,-0.0016,-0.0015,,,,,,,,,-0.0009,,,,,,,,
2003-12-12,16.0421,-61.6678,S,-0.0193,-0.0192,-0.0249,-0.0249,-0.0248,-0.0246,-0.0188,-0.0188,-0.0132,-0.0128,-0.007,-0.0011,0.0047,0.0103,0.0104,0.0162,0.016,0.0161,0.0135,0.0105,0.005,-0.0009,-0.0014,-0.0012,-0.007,-0.0129,-0.0126,-0.0131,-0.0131,-0.0133
2003-12-12,16.0421,-61.6678,SE,,-0.0232,-0.0231,-0.0287,-0.0286,,,,-0.0223,-0.0194,-0.0164,-0.0079,-0.0051,0.0006,0.0007,0.0007,0.0007,-0.0045,0.001,0.0012,0.007,0.0126,0.0066,0.0064,0.0009,0.0037,0.0011,0.0037,-0.0051,-0.0082
2003-12-12,16.0421,-61.6678,SO,,-0.0029,-0.0066,-0.0069,-0.0049,-0.0053,-0.0057,-0.0051,-0.0011,-0.0012,-0.001,-0.0055,0.0036,0.0032,0.015,0.011,0.0143,0.0196,0.0232,0.0177,-0.0006,,,-0.0162,-0.0114,-0.0132,-0.0066,-0.0049,0.0062,0.0062
2004-08-08,16.0453,-61.6673,E,0.0138,0.009,0.0081,1e-04,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-08,16.0453,-61.6673,N,,0.0056,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-08,16.0453,-61.6673,NE,,0.0046,0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-08,16.0453,-61.6673,NO,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-08,16.0453,-61.6673,S,0.0132,0.0118,0.0121,,,0.0052,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-08,16.0453,-61.6673,SE,,0.0126,0.0062,0.0027,0.0029,0.0023,0.0028,,,,,,,,,,,,,,,,,,,,,,,
2004-11-28,16.044,-61.6631,E,,0.0165,0.0118,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
2004-11-28,16.044,-61.6631,N,,,,,,,,,,,,,,,,,,,-0.0307,-0.0264,-0.0029,0.0063,0.0074,0.0244,0.0096,-0.0051,-0.0083,-0.007,-0.0128,-0.0121
2004-11-28,16.044,-61.6631,NE,,,,,,,,,,,,,,,,,,,,,0.0242,-0.0007,0.0026,-0.0014,0.008,-0.0018,-0.0035,0.0016,0.0049,0.0014
2004-11-28,16.044,-61.6631,NO,,,,,,,,,,,,,-0.0002,-0.0046,-0.0098,-0.0118,-0.018,-0.0038,0.0162,-0.0102,-0.0003,-0.0126,-0.0129,-0.0307,-0.0309,-0.0227,-0.0197,-0.0079,0.0037,0.0103
2004-11-28,16.044,-61.6631,O,,,,,,,,,,,-0.0137,-0.0056,-0.0022,0.0003,0.0012,0.0044,0.0042,0.0075,0.0049,0.0079,0.0117,0.0137,0.0054,0.0041,-0.0034,-0.0034,-0.0105,-0.0099,-0.0095,-0.0052
2004-11-28,16.044,-61.6631,S,0.2009,,,0.0356,,,,,,,,-0.0038,-0.0109,-0.0118,-0.014,-0.0168,-0.0127,-0.001,0.0041,0.0096,0.0085,0.0195,0.0168,0.0142,0.004,-0.0014,-0.0076,-0.0086,-0.0088,-0.0064
2004-11-28,16.044,-61.6631,SE,,0.0241,0.0209,0.0225,,,,,,,0.0009,-1e-04,-0.001,-0.0017,-0.0024,-0.0034,-0.0005,-0.001,0.0014,-0.0019,-0.0028,-0.0034,-0.0043,-0.0054,-0.0063,-0.0073,-0.0064,-0.0036,0.004,0.0094
2004-11-28,16.044,-61.6631,SO,,,,,,,,,,,0.0311,0.0333,0.0141,0.0092,0.0096,0.0047,0.0,0.0047,-0.0021,-0.0087,-0.0021,-0.0093,0.0051,-0.014,-0.0006,-0.001,-0.0018,-0.0016,-0.0023,-0.0026
2005-05-07,16.0478,-61.6661,E,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-07,16.0478,-61.6661,S,,,-0.0109,-0.0117,-0.012,-0.0109,-0.0075,-0.0105,-0.0064,0.0012,-0.0044,-0.0045,0.0005,1e-04,0.0053,0.005,0.0022,0.0024,0.006,0.0102,0.0065,0.0013,-0.0016,-0.002,0.0014,0.0035,0.002,-0.0016,-0.0075,-0.0039
2005-05-07,16.0478,-61.6661,SE,,,-0.0095,-0.0083,-0.0074,-0.0038,0.0022,0.0015,0.0005,-0.0018,,,,,,,,,,,,,,,,,,,,
