date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-01-04,13.3259,-61.1797,N,0.018,0.013,0.0081,0.0057,-0.0022,-0.0053,-1e-04,-0.0031,-0.0041,-0.0022,0.0006,-0.0058,-0.0067,-0.0076,-0.008,-0.0034,-0.0029,-0.0028,-0.0034,-0.0013,-0.0005,0.0055,0.005,0.0059,0.0026,0.0006,0.0004,-0.0027,-0.0007,0.0021
2001-01-04,13.3259,-61.1797,NE,,,,,,,,,,,,,,,,0.0,1e-04,,,,,,,,,,,,,
2001-01-04,13.3259,-61.1797,NO,,0.003,-0.0031,-0.0033,-0.0099,-0.0038,-0.0005,0.0032,0.0044,0.0047,-0.0072,-0.0016,-0.0014,-0.0067,-0.0117,-0.0104,-0.005,-0.0033,1e-04,0.0008,0.0027,0.0022,0.0006,-0.0012,-0.0003,-0.0054,-0.0041,,,
2001-01-04,13.3259,-61.1797,O,,0.014,0.014,0.0079,0.008,0.0082,0.0074,0.0096,0.0063,0.0059,-0.0003,-0.0013,-0.0017,-0.0034,-0.0071,-0.0089,-0.0092,-0.0108,-0.0111,-0.0138,-0.0145,-0.0057,-0.003,-0.0029,0.003,0.0055,0.0194,0.0066,0.0066,0.0133
2001-01-04,13.3259,-61.1797,S,,0.0468,,,,,,,,,,,0.0209,-0.0066,-0.0124,-0.0135,-0.0002,0.0013,0.0059,0.0016,0.0003,0.0023,0.0016,-0.0007,-0.0009,-0.0017,-0.0029,-0.002,-0.0016,-0.0002
2001-01-04,13.3259,-61.1797,SE,,,,,,,,,,,,,,,,,,0.0016,,,,,,-1e-04,-0.0,-0.0,-1e-04,-1e-04,-0.0002,0.0
2001-01-04,13.3259,-61.1797,SO,0.0149,0.0138,0.0135,,0.0068,0.0068,0.0004,-0.0063,-0.0128,-0.0131,-0.013,-0.0055,-0.0013,0.003,-0.0006,-0.0023,-0.0041,-0.0002,1e-04,0.0061,-0.0003,0.0095,0.0032,0.0007,0.0044,0.0033,0.0002,-0.0014,-0.0017,-0.0021
2001-11-04,13.3259,-61.1783,N,,0.0764,0.0838,0.0807,0.0777,0.0777,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-04,13.3259,-61.1783,NO,-0.0118,-0.0028,0.006,0.0044,0.0023,0.0036,0.0012,0.0027,0.0027,0.0033,,,,0.0008,0.0007,,,,,,,,,,,,,,,
2001-11-04,13.3259,-61.1783,O,,-0.0038,0.0151,0.017,0.0249,0.0262,0.0292,0.0284,0.0011,-0.0018,0.0082,0.0111,0.0084,0.0058,0.0059,-0.0009,-0.0045,-0.003,,,,,,,,,,,,
2001-11-04,13.3259,-61.1783,S,,-0.1105,-0.1101,-0.092,-0.0817,-0.0743,-0.0511,,,,,,,,,,,-0.0438,-0.0457,-0.0318,-0.0199,0.0133,0.0224,0.0287,0.0143,0.0102,-0.0066,0.0046,0.0016,-0.0082
2001-11-04,13.3259,-61.1783,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018,-0.0055,-0.0064
2001-11-04,13.3259,-61.1783,SO,-0.0306,-0.0418,-0.0383,-0.0399,-0.0378,-0.0244,-0.0188,-0.0195,-0.0129,-0.0018,0.0008,0.0081,0.0138,0.0219,0.025,0.0241,0.0218,0.0094,-0.0011,-0.0329,-0.0332,-0.0305,-0.0243,-0.0211,-0.0194,1e-04,0.0061,0.003,-0.0086,-0.02
2002-01-07,13.3259,-61.1783,N,,0.0028,0.0033,0.0066,0.0041,0.0049,-0.0071,-0.0067,-0.0002,0.0008,0.0006,0.001,0.0063,0.0069,0.0061,0.0058,-0.0015,-0.0015,-0.0017,-0.0018,-0.0017,0.0006,-0.0045,-0.0048,0.0019,0.0015,-0.0035,-0.003,-0.0005,-0.0006
2002-01-07,13.3259,-61.1783,NE,,,,,,,,,,,-0.0045,-0.0018,-0.002,-0.0009,0.0031,0.0021,0.0066,,,,,,,,,,,,,
2002-01-07,13.3259,-61.1783,NO,-0.0005,-0.0002,0.0,1e-04,-0.0046,-0.0047,-0.0036,0.0029,0.0034,0.0037,-0.0012,-0.001,-0.0072,-0.0032,-0.0039,-0.0045,-0.005,0.0022,0.003,0.0066,0.013,0.0005,-0.0036,-0.0044,-0.0048,-0.006,-0.0064,,,-0.0047
2002-01-07,13.3259,-61.1783,O,,-0.0118,-0.0036,-0.0065,-0.0019,-0.0048,1e-04,0.0037,0.008,0.0075,0.0006,-0.0033,-0.0038,-0.001,0.0017,0.0014,0.0008,0.0008,0.0042,0.0048,-0.0058,-0.0061,-0.0061,-0.0108,-0.0052,0.0016,0.0017,-0.0049,-0.0053,-0.0024
2002-01-07,13.3259,-61.1783,S,,-0.0264,-0.032,-0.0313,-0.031,-0.0243,-0.0238,,,,,,,,,,,0.0049,0.0055,0.006,0.003,-0.0039,-0.004,-0.0033,-0.0036,-0.0002,-0.0004,0.0003,0.0076,0.0075
2002-01-07,13.3259,-61.1783,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0034,-0.0027,-1e-04
2002-01-07,13.3259,-61.1783,SO,-0.0216,-0.0279,-0.0248,-0.0216,-0.0216,-0.0171,-0.011,-0.0017,0.0015,-0.0058,-0.0061,-0.005,0.0007,0.0038,-0.0041,0.0052,0.0022,0.002,0.0015,-0.0047,-0.007,-0.0114,-0.0069,-0.0052,-0.0011,-0.0014,-0.0014,0.0052,0.0085,0.0073
2003-05-02,13.3256,-61.1799,E,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-02,13.3256,-61.1799,N,-0.0124,-0.0099,-0.0084,-0.0067,-0.0044,-0.0041,-0.0057,-0.0055,-0.0058,-0.0054,-0.0012,-0.0034,-0.0048,0.0002,0.0058,0.0042,0.003,0.0004,0.0028,-0.0061,0.0004,0.0033,0.0077,,,,,,,
2003-05-02,13.3256,-61.1799,NE,,-0.0106,,,,,,,,,,,,,,,0.0044,0.011,0.0021,-0.0087,,,,,,,,,,
2003-05-02,13.3256,-61.1799,NO,,0.0,0.0,0.0,0.0009,0.0045,0.0056,0.0053,,,,,,,,,,,,,,,,,,,,,,
2003-05-02,13.3256,-61.1799,O,,0.0264,0.0273,0.0246,0.0261,,,,,,,,0.0028,0.0055,0.0132,0.0067,0.0051,0.0028,-0.0008,-0.0016,-0.0042,-0.0086,-0.0069,-0.0029,-0.0013,-0.0004,0.0008,-0.001,-0.0079,-0.0087
2003-05-02,13.3256,-61.1799,S,,,,,,,,,,,,,,,,,,,0.0214,0.0045,0.0085,0.0013,-0.0,-0.0049,-0.0057,-0.0107,-0.0069,0.0008,-0.0029,-0.0035
2003-05-02,13.3256,-61.1799,SE,,,,,,,,,,,,,,,,,-0.0056,-0.0002,0.0034,-0.01,,-0.0433,-0.0478,-0.0387,-0.0312,-0.0226,-0.0015,0.0059,0.0193,0.0121
2003-05-02,13.3256,-61.1799,SO,-0.013,,,,,,,,,,,,,,,,,-0.017,-0.0158,-0.0145,-0.0135,-0.0078,0.0059,0.0083,-0.0,0.007,0.0024,-0.0029,-0.0032,-0.0034
2003-12-12,13.3256,-61.1799,NO,,0.0044,0.0131,0.0232,0.032,0.0255,0.0093,,,,,,,,,,,,,,,,,,,,,,,
2003-12-12,13.3256,-61.1799,O,,-0.0065,-0.0018,-0.0061,0.0078,0.0003,0.0002,0.0004,0.0003,0.0009,0.0076,0.0077,0.0062,0.0067,0.0051,-0.001,-0.0036,-0.008,0.0047,0.0047,-0.0008,1e-04,-0.0025,-0.0008,,,,,,
