date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2002-01-30,16.7178,-62.1835,E,-0.0717,-0.0634,-0.062,-0.0583,-0.0532,-0.0498,-0.0465,-0.0446,-0.0164,-0.0077,-0.0025,-0.0061,-0.0056,0.0006,0.0049,0.01,0.0152,0.02,0.0226,0.0228,0.0226,0.0184,0.0202,0.0162,-0.0004,-0.0041,-0.015,-0.0181,-0.0302,-0.0287
2002-01-30,16.7178,-62.1835,N,0.1016,-0.0052,0.0079,-0.0129,0.0034,-0.0091,-0.0077,0.0049,0.0008,0.0267,0.0284,0.0305,0.0292,0.0108,0.0099,-0.0017,-0.0047,0.0165,0.0169,0.0064,-0.0113,-0.0147,-0.016,-0.0173,-0.0157,-0.0098,-0.0065,-0.0019,-1e-04,0.0016
2002-01-30,16.7178,-62.1835,NE,,0.0208,0.0315,0.0224,0.0189,0.014,0.0044,0.0024,0.0095,0.0083,0.0041,0.001,0.0054,0.0035,0.0003,-0.0,-0.0055,-0.0093,-0.0031,-0.0041,-0.0042,-0.0063,0.0005,-0.0007,0.0071,0.0037,0.0025,0.003,1e-04,-0.0027
2002-01-30,16.7178,-62.1835,NO,,0.0928,-0.0101,-0.0225,-0.0256,-0.0284,-0.0284,-0.0283,-0.0283,-0.0284,-0.0048,-0.0144,-0.0144,-0.0228,-0.0287,-0.0263,-0.0274,-0.0187,-0.0256,-0.0265,-0.0248,-0.0284,-0.0286,-0.009,-0.0281,-0.0281,-0.028,-0.028,-0.0199,-0.019
2002-01-30,16.7178,-62.1835,O,,0.1151,0.1011,0.0945,0.0587,0.0518,0.0519,0.0091,-0.0128,-0.0219,-0.0165,0.0004,0.0018,-0.0057,0.0058,-0.0156,-0.0306,-0.0231,0.1133,0.0088,0.0124,0.0122,0.0182,0.0357,0.0398,0.0125,-0.0012,-0.0161,-0.0174,-0.016
2002-01-30,16.7178,-62.1835,S,,0.1043,0.0275,0.0438,0.0469,0.0187,0.0146,0.0131,0.0069,0.0067,0.0029,0.0007,0.0013,0.0037,0.004,0.0023,-0.0006,-0.0061,-0.0114,-0.0132,0.0003,0.002,0.0017,0.0047,-0.0006,0.0012,-0.0,-0.0057,-0.0035,0.005
2002-01-30,16.7178,-62.1835,SE,,0.0026,-0.0019,-0.0037,-0.0038,-0.0015,-0.0049,-0.0065,-0.0038,0.009,0.0072,0.0077,0.0062,-0.0045,-0.0023,-0.0005,1e-04,0.0008,0.0021,0.0007,-0.003,-0.004,-0.0052,-0.0074,-0.0075,-0.0064,-0.0044,0.0055,0.0183,0.0165
2002-01-30,16.7178,-62.1835,SO,,0.0526,0.0069,-0.0214,-0.0191,-0.015,-0.0252,-0.0267,-0.0377,-0.0182,-0.0271,-0.0073,-0.0161,-0.0207,-0.0242,0.0053,0.0355,0.0135,0.0328,0.0475,0.0446,0.0284,0.0268,-0.0087,0.0103,0.0248,-0.0116,-0.0122,-0.044,-0.0517
2005-09-03,16.7175,-62.1838,E,0.111,,,,,,,0.0011,-0.0143,-0.0091,-0.0092,-0.0111,-0.0143,-0.0088,-0.0031,-0.0036,-0.0031,0.0064,-0.0015,0.0007,0.0036,-0.0027,0.0019,0.0041,0.0006,-0.0079,0.0059,,,
2005-09-03,16.7175,-62.1838,N,0.2151,0.2029,,,-0.0404,-0.0664,-0.0776,-0.0787,-0.0666,-0.0388,-0.0306,-0.0304,-0.028,0.0098,0.0038,0.0046,-0.0077,-0.0009,0.0251,0.0291,0.0281,0.02,0.0124,1e-04,-0.01,-0.0132,0.0007,0.0106,0.0281,0.0967
2005-09-03,16.7175,-62.1838,NE,,0.2135,,0.0814,0.0657,0.0372,0.0159,-0.0124,-0.019,-0.0149,-0.0226,-0.0246,-0.0355,-0.0427,-0.0108,-0.0022,0.0049,-0.0015,-0.0038,0.0035,0.0154,0.0156,0.0126,0.0118,0.0081,0.0008,-0.0038,-0.0025,-0.0211,0.0203
2005-09-03,16.7175,-62.1838,NO,,0.1065,0.0616,0.039,,,,,,,,,,,,,,,,,,,,,,,,-0.0099,0.0049,0.005
2005-09-03,16.7175,-62.1838,O,,0.2481,0.2293,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-03,16.7175,-62.1838,S,,0.0874,0.0707,0.0671,0.0662,,,0.0004,-0.0004,,,,,,,-0.0028,-0.0069,-0.0093,-0.0084,-0.0031,0.0086,0.0114,0.0099,-0.0014,0.0071,0.0105,-0.0012,-0.0125,-0.0006,-0.0072
2005-09-03,16.7175,-62.1838,SE,,0.0938,,,,,,-0.0017,0.0015,-0.0052,-0.0023,-0.001,0.0047,0.0028,0.0024,0.0007,-0.0038,-0.0006,-0.0029,0.0018,-0.0018,-0.0055,-0.0036,-0.0174,-0.0109,-0.0073,-0.0044,-0.0045,-0.0051,0.0068
2005-09-03,16.7175,-62.1838,SO,,0.1549,0.1433,0.1236,0.0997,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-08,16.7229,-62.1827,E,,-0.0249,-0.0209,-0.0134,-0.0059,-0.0094,-0.0193,,,,,0.0021,0.0039,0.0091,0.0053,-1e-04,-0.0002,-0.0028,-0.0049,-0.0041,-0.0043,0.0055,0.0052,0.0,-0.0054,-0.0051,-0.0004,-0.0035,0.0037,0.0168
2005-12-08,16.7229,-62.1827,N,,0.0117,0.0057,0.0064,0.0054,0.0118,0.0104,0.0105,0.0096,0.0027,0.002,-0.0025,-0.0032,-0.0082,-0.0072,-0.0064,-0.0053,-0.0068,-0.0108,-0.0075,-0.003,0.0042,0.006,0.0043,0.0008,0.0035,-0.002,-0.0048,0.0022,0.0053
2005-12-08,16.7229,-62.1827,NE,-0.0172,-0.0174,-0.0158,-0.0133,-0.0066,-0.0007,0.0018,0.0008,-0.0076,,,,0.0135,0.0051,0.0049,0.0018,-0.0037,-0.0098,-0.0022,-0.0039,-0.0047,0.0009,0.0041,0.0102,0.0089,0.007,-0.0051,-0.0099,-0.0073,-0.0015
2005-12-08,16.7229,-62.1827,NO,0.0027,0.0064,0.001,0.0018,0.0042,0.012,0.0091,0.0037,-0.0033,-0.0063,-0.0048,-0.0043,-0.0009,0.0003,-0.0053,-0.0056,-0.0028,0.0022,0.0081,0.0093,0.0032,-0.0033,-0.0031,0.0045,-0.0053,-0.0048,-0.0026,-0.0027,-0.0007,0.0015
2005-12-08,16.7229,-62.1827,O,,0.0124,0.0381,0.0356,0.015,0.0276,0.0149,,0.0027,-0.0017,,,,,,,,,,,,,,,,,,,,
