date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-04-11,-2.3814,147.3538,E,0.0204,0.0251,0.0278,0.0213,0.0056,0.0027,0.0011,0.0007,0.0037,-0.0103,-0.0021,-0.0008,0.002,0.0161,0.0148,0.0131,0.0003,0.0002,0.0005,0.0003,-0.0058,0.0017,0.004,0.0031,-0.011,-0.0099,-0.0108,-0.0092,0.0022,0.0045
2001-04-11,-2.3814,147.3538,N,,0.0307,0.0015,-0.0105,0.0011,-0.0128,-0.014,-0.0153,0.0041,-0.001,0.0017,-0.0041,-0.0073,-0.0162,-0.0056,1e-04,0.0014,-0.0031,-0.0058,-0.0034,-0.0043,0.0033,-0.0024,-0.0035,-0.0005,-0.0012,0.0068,0.0035,-0.0019,-0.0019
2001-04-11,-2.3814,147.3538,NE,,0.0191,-0.0097,0.0006,-0.0033,-0.0092,0.0013,-0.0051,0.0103,0.0026,0.0046,0.0102,-0.0003,0.0004,-0.0008,-0.002,-0.002,-0.0028,0.0,-0.0163,-0.0044,-0.005,-0.0053,-0.0046,0.006,0.0107,0.0066,0.0084,-0.0028,0.0003
2001-04-11,-2.3814,147.3538,NO,,0.0256,0.0117,-0.0024,-0.0056,-0.0076,-0.0058,-0.0061,0.0068,0.0072,-0.0049,-0.0065,-0.0083,-0.0057,-0.001,0.0093,0.01,0.0097,0.0065,0.0087,0.0048,0.0021,-0.0044,-0.0036,-0.0055,-0.0049,-0.0055,-0.0066,-0.0038,-0.0022
2001-04-11,-2.3814,147.3538,O,,0.0344,0.0187,0.0015,-0.0021,-0.0078,-0.0086,-0.0064,-0.0095,-0.0076,-0.0114,-0.0068,-0.0115,-0.0089,-0.0095,-0.0025,0.0,0.0011,0.0036,0.0089,0.0083,0.0085,0.0013,0.0046,0.0018,-0.0011,-0.0063,-0.0045,-0.0069,-0.0071
2001-04-11,-2.3814,147.3538,S,0.0339,0.0287,0.015,0.0217,0.0113,-0.0011,-0.0016,-0.0004,-0.0024,-0.0024,0.0044,0.0013,-0.0007,0.0094,0.0066,0.0074,0.0101,0.0028,-0.0036,-0.0006,-0.0018,-0.0058,0.0079,-0.0016,0.0027,-0.0003,-0.0017,-0.0038,-0.0083,-0.0079
2001-04-11,-2.3814,147.3538,SE,,0.0198,0.0149,0.0151,0.0007,-0.0155,-0.0145,-0.0084,-0.0179,-0.0124,-0.0137,-0.0093,-0.0046,-0.0133,0.0005,0.0041,0.004,0.0035,0.0003,0.0011,0.0038,0.0016,0.0027,-0.0005,0.0002,-0.0124,-0.0109,-0.0002,-0.0006,-0.0003
2001-04-11,-2.3814,147.3538,SO,,0.0324,0.0156,0.005,-0.002,-0.0056,-0.0033,-0.0036,-0.003,-0.0017,-0.0008,-0.0038,-0.0052,0.0088,0.0111,0.008,0.0075,0.0005,-0.0051,-0.0134,-0.0125,-0.0114,-0.0082,-0.0102,0.0017,0.0018,0.0036,0.003,-0.0063,-0.007
2003-01-11,-2.3795,147.356,E,0.016,0.0153,0.0009,-0.0137,-0.0137,-0.0121,-0.0129,-0.0122,-0.0115,-0.0111,-0.0107,-0.0089,-0.0081,0.008,0.0085,0.0213,0.0091,-0.0058,-0.0061,-0.0082,-0.0088,-0.0176,-0.0165,-0.008,-0.0166,-0.0167,0.0317,0.081,0.0129,0.0578
2003-01-11,-2.3795,147.356,N,,0.0576,0.0516,0.0288,0.0289,0.0301,0.0065,0.014,-0.0047,0.0056,0.0033,-0.0079,-0.0072,-0.0096,-0.0077,-0.0034,-0.0002,0.0022,-0.002,0.0009,-0.0008,-0.0054,-0.0033,-0.0002,0.0047,0.0035,-0.0006,-0.0099,-0.0057,-0.0058
2003-01-11,-2.3795,147.356,NE,,0.029,0.0173,0.0208,0.0097,0.0074,0.0094,-0.002,0.0059,0.0036,-0.0062,0.0011,-0.0042,-0.002,-0.0064,0.0031,0.0017,0.008,0.0071,0.0091,-0.0048,-0.0116,-0.0099,-0.008,-0.0065,-0.0021,0.0017,-0.0069,-0.0054,0.0017
2003-01-11,-2.3795,147.356,NO,,0.0336,0.0292,0.0064,-0.0021,0.0054,0.0068,-0.0144,-0.0146,-0.0153,-0.011,-0.0048,-0.0019,-0.0031,0.0089,0.0091,0.0086,0.0102,0.0006,0.0017,0.003,-0.0052,0.0087,0.009,-0.0041,-0.0046,-0.005,-0.0052,-0.0051,-0.0026
