date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-26,38.7899,15.2164,E,0.1633,0.1539,0.1401,0.1221,0.1074,0.0813,0.0423,0.0101,-0.0029,-0.0018,0.0032,-0.0002,-0.0316,-0.011,-0.0129,0.001,0.0031,-0.0026,0.0051,-0.0006,0.0058,0.0171,0.0222,0.026,0.0063,0.0099,0.015,-0.006,-0.0036,-0.0226
2000-07-26,38.7899,15.2164,N,-0.0879,-0.0972,-0.0967,-0.091,-0.0895,-0.0857,-0.0812,-0.0441,0.0055,0.0064,-0.0055,-0.0085,-0.0009,0.0159,0.0311,0.0246,0.0327,0.0141,0.0307,0.0331,-0.0132,0.0127,0.0452,0.0442,0.0646,0.0144,-0.0466,-0.0599,-0.0739,-0.1155
2000-07-26,38.7899,15.2164,NE,,0.0885,0.0736,0.0729,0.0558,0.0638,0.064,0.0461,0.0371,0.0359,-0.003,0.0837,0.0837,0.0368,0.043,-0.0115,-0.0078,-0.0038,-0.0111,-0.0036,-0.0114,-0.0157,-0.0186,-0.0022,-0.0169,-0.0167,-0.014,-0.0082,-0.015,-0.0205
2000-07-26,38.7899,15.2164,NO,,0.1322,0.1318,0.121,0.1291,0.1263,0.1396,0.1318,0.1215,0.1349,0.082,0.0833,0.0751,0.0594,0.054,0.022,-0.0069,-0.0355,-0.0623,-0.0847,-0.0734,-0.0818,-0.0864,-0.0925,-0.0943,-0.0765,-0.066,-0.0639,-0.0594,-0.048
2000-07-26,38.7899,15.2164,O,,0.2273,0.2074,0.1962,0.2315,0.2078,0.1787,0.1577,0.1468,0.1208,0.0986,0.0535,0.0032,-0.018,-0.0067,-0.0259,-0.0386,-0.0477,-0.0757,-0.0748,-0.0705,-0.0603,-0.0378,-0.0152,0.0007,0.0014,0.0051,0.0185,0.0413,0.0476
2000-07-26,38.7899,15.2164,S,0.1851,0.1766,0.177,0.1101,0.0468,-0.0063,0.0227,0.0316,0.0268,0.0301,0.0362,0.025,0.0196,0.0185,0.0235,0.025,0.0227,0.021,0.0207,0.0258,0.0311,0.0174,-0.019,-0.0243,-0.0196,-0.0054,-0.0116,-0.0044,-0.0154,-0.0447
2000-07-26,38.7899,15.2164,SE,,0.1611,0.1496,0.1148,0.0885,0.0599,0.0394,0.0424,0.0453,0.018,-0.0023,-0.0402,-0.0277,-0.052,-0.0253,0.017,0.0283,-0.0082,-0.0132,0.0122,0.0329,0.0298,-0.0311,-0.0372,-0.0328,-0.0233,-0.0036,-0.0201,-0.0105,-0.0057
2000-07-26,38.7899,15.2164,SO,,0.2159,0.1776,0.1378,0.0857,0.1171,0.105,0.0923,0.0925,0.0965,0.1095,0.104,0.0794,0.0868,0.0708,0.0709,0.0646,0.0431,-0.0069,-0.0482,-0.0869,-0.098,-0.0816,-0.0597,-0.0581,-0.0443,-0.0031,0.0217,0.0265,0.0596
2000-08-27,38.7888,15.2167,E,0.099,0.1049,0.1146,0.1271,0.1242,0.12,0.1049,0.0938,0.0803,0.0752,0.0508,0.0246,-0.0051,-0.0304,-0.0107,1e-04,-0.0393,-0.041,-0.0095,0.0029,-0.0024,-0.0032,-0.0028,0.0037,0.0081,0.0057,-0.0056,-0.0051,-0.0114,-0.0174
2000-08-27,38.7888,15.2167,N,-0.0749,-0.0653,-0.0612,-0.0575,-0.0369,-0.0287,0.0014,0.0039,0.0023,0.0241,0.0198,0.0136,0.0152,0.0169,0.0108,0.0463,0.0047,0.0094,0.0174,-0.0004,-0.0419,-0.0106,-0.0198,-0.012,-0.029,-0.0244,-0.0522,-0.0704,-0.0289,-0.0488
2000-08-27,38.7888,15.2167,NE,,0.0542,0.0662,0.0659,0.0552,0.0549,0.0553,0.0588,0.0729,0.0789,0.0813,0.0649,0.0652,0.067,0.062,0.0651,0.0576,0.0368,0.023,-0.0388,-0.0171,-0.0209,-0.0274,-0.0163,-0.0198,-0.0058,-0.0057,-0.0304,-0.0219,-0.0064
2000-08-27,38.7888,15.2167,NO,,0.1987,0.1583,0.1223,0.1355,0.1068,0.0922,0.0679,0.0402,0.0513,0.0582,0.0448,0.0241,-0.0125,-0.0177,-0.0317,-0.0325,-0.0474,-0.051,-0.0387,-0.0338,-0.0175,-0.0139,-0.0128,0.0039,0.0103,0.0171,0.0235,0.022,0.0185
2000-08-27,38.7888,15.2167,O,,0.2638,0.2188,0.1871,0.1621,0.1424,0.1368,0.1168,0.078,0.0517,0.0317,0.0216,0.0034,-0.0041,-0.0324,-0.0355,-0.0255,-0.0341,-0.0273,-0.0045,-0.0077,-0.0188,-0.011,-0.0083,0.0011,0.0085,0.0068,0.001,0.0008,0.0062
2000-08-27,38.7888,15.2167,S,,0.205,0.1557,0.1519,0.1224,0.0937,0.0727,0.0258,0.0378,0.0392,0.0184,-0.002,0.0071,0.0233,0.0097,0.002,0.0126,0.0158,0.0171,0.0178,0.0169,0.013,-0.0082,-0.0174,0.001,0.0141,-0.0128,-0.0004,-0.023,-0.022
2000-08-27,38.7888,15.2167,SE,,0.1155,0.109,0.1001,0.1264,0.1158,0.0754,0.0599,0.0557,0.0411,0.0258,0.012,-0.0047,-0.0117,-0.0305,-0.0243,-0.0161,-0.0133,0.0063,0.0145,-0.0196,-0.0251,-0.0324,-0.0103,-0.0008,-0.0083,-0.0178,-0.02,-0.0124,-0.0156
2000-08-27,38.7888,15.2167,SO,,0.2297,0.1952,0.1668,0.1459,0.1151,0.0896,0.0965,0.0767,0.0476,0.0628,0.0233,0.0354,0.0461,0.0016,-0.0092,-0.075,-0.0812,-0.0605,-0.056,-0.0562,-0.0479,-0.04,-0.0239,-0.0096,-0.0034,0.0084,0.0249,0.0383,0.0463
2000-10-05,38.7888,15.2174,E,0.0347,0.0191,0.0059,-0.0071,0.0095,0.02,0.0204,0.0254,0.0305,0.0183,0.0109,0.0054,-0.0022,-0.0012,0.0039,0.0056,0.0012,-0.0018,0.0016,-0.0024,-0.0037,-0.0026,-0.0021,0.0022,,,,,,
2000-10-05,38.7888,15.2174,N,0.1022,0.0966,0.0878,0.0789,0.0523,0.0321,0.0275,-0.0032,-0.0041,-0.0076,-0.0138,-0.0156,-0.0076,-0.0011,-0.019,-0.0153,-0.0102,0.0052,0.0194,0.0179,0.0223,0.0106,0.0038,0.0046,-0.0019,-0.0081,-0.0088,-0.0142,-0.0241,-0.0269
