date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-05-18,14.0004,120.9878,E,,0.2853,0.2747,0.2633,0.2258,0.1949,0.1294,0.143,0.1075,0.074,0.0317,0.0252,0.0395,0.0479,0.007,0.0084,0.0056,0.0125,-0.017,-0.0245,-0.0355,-0.0347,-0.0355,-0.0397,-0.044,-0.0369,-0.0409,-0.0374,-0.0232,-0.0274
2001-05-18,14.0004,120.9878,N,0.3149,0.2686,0.222,0.151,0.1399,0.1343,0.1411,0.1126,0.0691,0.0195,0.0152,0.0148,-0.0223,0.0056,0.0008,-0.012,-0.0197,-0.0284,-0.0231,-0.0232,-0.0259,-0.0239,-0.0206,-0.0204,-0.0113,-0.0095,0.0054,0.002,0.0035,0.0156
2001-05-18,14.0004,120.9878,NE,,0.2275,0.168,0.1244,0.0927,0.0509,0.0353,0.0018,0.0268,-0.0035,-0.0171,-0.0066,-0.0053,-0.0345,-0.0172,-0.0329,-0.0275,-0.025,-0.0205,-0.0023,-0.0133,0.029,0.016,0.006,-0.0083,-0.004,-0.0137,-0.0077,-0.0218,-0.0193
2001-05-18,14.0004,120.9878,NO,,0.2195,0.1557,0.1371,0.1418,0.1614,0.1602,0.1376,0.1034,0.0217,0.0046,-0.0133,-0.0288,-0.0348,-0.0477,-0.0497,-0.0522,-0.0507,-0.042,-0.029,-0.0262,-0.022,-0.0026,0.0258,0.0209,0.0046,0.0078,-0.0143,-0.0211,-0.0215
2001-05-18,14.0004,120.9878,O,0.1641,0.1401,0.1642,0.1629,0.1263,0.1171,0.1326,0.1134,0.0958,0.0834,0.064,0.0165,-0.0327,-0.0911,-0.0993,-0.1154,-0.1194,-0.1223,-0.1157,-0.0939,-0.0361,-0.0228,-0.0016,0.0234,-0.0054,0.0344,0.0502,0.0744,0.0883,0.0909
2001-05-18,14.0004,120.9878,S,0.1724,0.1483,0.1116,0.0551,0.049,0.0474,0.0013,-0.009,-0.0016,0.0138,0.0083,0.0236,0.0202,0.028,0.0184,0.0135,-0.0059,-0.0204,-0.0314,-0.0236,0.0105,-0.0172,-0.0152,-0.0241,-0.0177,-0.0048,-0.0195,-0.0633,-0.028,-0.0765
2001-05-18,14.0004,120.9878,SE,,0.3208,0.3401,0.3299,0.2914,0.2538,0.2158,0.1256,0.1175,0.0268,0.0221,0.0623,0.0269,0.0159,1e-04,-0.0038,-0.0057,0.0172,0.0241,0.0094,-0.0032,0.0147,0.0161,0.0158,-0.0329,-0.0238,-0.0134,-0.0439,-0.0397,-0.0406
2001-05-18,14.0004,120.9878,SO,,0.1041,0.0152,0.008,-0.0062,0.0101,0.0126,-0.02,0.0102,0.0474,0.0399,0.0329,0.0261,0.0094,-0.0098,-0.0153,0.0214,0.0394,0.0351,0.0182,-0.0044,-0.031,-0.0558,-0.069,-0.0221,0.007,-1e-04,-0.005,0.0089,0.0134
2001-11-26,14.0069,120.995,E,,0.0867,0.0248,0.0255,0.0086,0.0128,0.0089,0.0085,1e-04,-0.0084,-0.0084,-0.0084,1e-04,0.0,1e-04,1e-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0084,0.0,0.0084,0.0084
2001-11-26,14.0069,120.995,N,,0.0899,0.0175,0.0129,0.0087,0.0004,0.0046,0.0046,0.0046,0.0046,0.0046,0.0004,0.0046,0.0004,0.0004,-0.0038,-0.0038,-0.0038,-0.0038,-0.0038,-0.0067,-0.0038,-0.0034,-0.0034,-0.0034,-0.0023,0.0051,0.0056,0.0157,0.0217
