date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-15,15.1294,-92.1053,E,0.2344,0.2281,0.1893,0.1607,0.0802,0.0387,0.0114,0.0301,0.0352,0.0283,0.0121,-0.0088,-0.0183,-0.0191,-0.0334,-0.0078,-0.0297,-0.0384,-0.0182,-0.0233,-0.001,0.0035,0.0019,0.0086,-0.0033,0.0028,0.004,0.0102,0.0141,0.0225
2000-02-15,15.1294,-92.1053,N,,0.0964,0.0917,0.0711,0.0622,0.0563,0.0432,0.0428,-0.0085,-0.0148,-0.0055,0.0125,0.0011,-0.0167,0.0075,0.0074,-0.0029,0.0225,0.0356,0.0476,0.0503,0.0584,0.0608,0.0571,-0.0247,-0.0436,-0.0526,-0.0441,-0.0339,-0.0388
2000-02-15,15.1294,-92.1053,NE,,0.1092,0.0862,0.0601,0.0562,0.0474,0.101,0.1138,0.107,0.1052,0.1019,0.0653,0.0442,0.0284,0.0071,-0.0278,-0.0251,-0.0266,-0.0147,-0.0248,-0.0083,-0.0232,0.0119,0.0227,-0.006,-0.0009,-0.0116,-0.0232,-0.0162,-0.0159
2000-02-15,15.1294,-92.1053,NO,,-0.0226,-0.0173,0.0003,0.0017,-0.0201,0.0153,0.0063,0.0017,0.0342,0.0397,0.0157,-0.0018,-0.0167,-0.0216,-0.0373,-0.0262,-0.0055,0.0071,0.0004,0.0085,-0.0016,0.0015,-0.0224,-0.0118,-0.017,-0.0344,-0.0114,-0.0259,-0.006
2000-02-15,15.1294,-92.1053,O,,-0.1154,-0.1104,-0.0724,-0.0532,-0.0464,-0.0786,-0.0693,-0.0403,-0.0053,0.0294,0.0426,0.0384,0.0494,0.0421,0.0297,0.0286,-0.0073,-0.0116,-0.0155,-0.0184,-0.0136,-0.0189,-0.0287,-0.0228,-0.0178,-0.0028,-0.0034,0.0031,0.0015
2000-02-15,15.1294,-92.1053,S,0.1185,0.1287,0.1027,0.0474,0.0196,0.0159,0.0233,0.0414,0.0207,-0.0133,0.0025,0.0297,0.014,-0.0027,-0.0567,-0.0417,-0.038,-0.0335,-0.0039,0.0099,0.0252,0.0103,-0.0166,-0.0113,-0.0132,-0.0004,0.0089,-0.0015,0.0034,-0.013
2000-02-15,15.1294,-92.1053,SE,,0.0841,0.1035,0.0777,0.0537,0.0386,-0.0006,-0.0378,0.0547,0.0087,0.0391,0.0534,0.046,0.021,0.0476,0.0481,0.0301,0.016,-0.0083,-0.017,-0.0129,-0.0127,-0.0352,-0.0476,0.002,0.0024,0.0024,0.0052,0.0065,-0.0121
2000-02-15,15.1294,-92.1053,SO,,-0.022,-0.0249,-0.0696,-0.0612,-0.0331,-0.0432,-0.0602,-0.0432,-0.0218,-0.026,0.0042,0.0255,0.0143,0.0531,0.0457,0.0752,0.0662,0.0873,0.018,0.0255,0.0263,0.0332,-0.004,-0.0206,-0.0404,-0.0458,-0.0511,-0.0299,-0.0238
2000-04-03,15.1299,-92.105,E,0.1689,0.0733,0.028,0.0251,-0.0179,-0.0116,-0.0133,-0.0117,-0.0295,-0.037,-0.034,-0.0308,-0.0201,0.0038,-0.018,-0.0376,-0.0337,-0.0284,0.007,-0.0087,0.0031,1e-04,0.0018,0.0078,0.003,0.0207,0.0187,0.0135,0.0126,0.005
2000-04-03,15.1299,-92.105,N,,0.0662,0.0414,0.0547,0.081,0.1054,0.0762,0.114,0.0534,-0.0198,0.0378,-0.0065,-0.0275,-0.0206,-0.0177,-0.037,0.0128,0.0331,0.038,0.0366,0.0683,0.0476,-0.0038,-0.0728,-0.0541,-0.0559,-0.03,-0.0287,-0.0471,-0.0325
2000-04-03,15.1299,-92.105,NE,,0.0148,0.0608,0.079,0.1125,0.0859,0.1329,0.1011,0.0981,0.0711,0.0582,0.029,0.0053,-0.0115,-0.0218,-0.0167,-0.0057,0.0021,0.0148,0.0067,0.0025,0.0139,0.0017,0.006,-0.0079,-0.0277,-0.0292,-0.0304,-0.0414,-0.0238
