date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-09-28,15.5502,41.8297,E,-0.3925,-0.3553,-0.318,-0.2575,-0.2126,-0.18,-0.1305,-0.0917,-0.0528,-0.0342,-0.0342,-0.0156,0.0216,0.0277,0.0805,0.0893,0.1,0.1442,0.1128,0.0133,-0.0107,-0.0266,-0.0266,-0.0266,-0.0267,-0.0267,-0.0267,-0.0267,-0.0267,-0.0267
2001-09-28,15.5502,41.8297,N,-0.0004,0.0077,0.0314,0.0387,0.0166,-0.0019,0.0018,0.0024,0.0108,0.0111,-0.0343,-0.0206,-0.0122,0.0012,0.0081,0.0053,-0.0074,-0.0136,-0.0145,-0.0154,-0.0129,-0.0057,0.0014,0.0079,0.0114,0.0154,0.0124,0.0105,0.0112,0.0105
2001-09-28,15.5502,41.8297,NE,,-0.026,-0.0101,0.0072,0.0018,-0.0241,-0.0174,-0.0133,-0.0019,-0.0004,-0.007,-0.0055,-0.0088,-0.0146,-0.0204,-0.0004,0.0094,0.0153,0.029,0.0399,0.0333,0.0318,0.0272,0.0117,0.0159,0.0273,0.0148,0.0215,0.013,0.0277
2001-09-28,15.5502,41.8297,NO,,0.0799,0.0854,0.0887,0.0757,0.0449,0.0164,-0.0116,-0.0393,-0.0436,-0.0322,-0.0059,0.0026,0.0121,0.0254,0.0196,0.0256,0.0192,0.0148,-0.0008,-0.0132,-0.0172,-0.0167,-0.0055,-0.0029,0.0042,0.0023,-0.0034,-0.0122,-0.0056
2001-09-28,15.5502,41.8297,O,0.095,0.1,0.1022,0.0976,0.0834,0.0647,0.0344,0.0106,-0.0006,-0.0109,-0.0203,0.0019,0.0134,0.0147,0.0289,0.0142,0.0178,0.0048,-0.005,-0.0074,-0.0155,-0.0169,-0.0181,-0.0154,0.0048,-0.0035,0.0081,0.0038,0.0097,0.0142
2001-09-28,15.5502,41.8297,S,-0.0946,-0.0789,-0.0554,-0.0477,-0.0071,-0.0148,0.0095,0.0256,0.0256,0.033,0.041,0.0424,0.0577,0.0657,0.0579,0.0582,0.0724,0.0891,0.0674,0.0436,-0.0203,-0.0737,-0.1,-0.1,-0.1,-0.085,-0.1,-0.1087,-0.1174,-0.1174
2001-09-28,15.5502,41.8297,SE,,-0.3454,-0.2973,-0.2258,-0.204,-0.1388,-0.0999,-0.0735,-0.0735,-0.0502,-0.0129,0.0166,0.0539,0.0756,0.0942,0.1001,0.1003,0.0815,0.0149,-0.0069,-0.0112,-0.0156,-0.0156,-0.0156,-0.0156,-0.0156,-0.0156,-0.0156,-0.0156,-0.0156
2001-09-28,15.5502,41.8297,SO,,-0.0586,-0.0483,-0.0377,-0.0535,-0.0664,-0.0583,-0.0392,-0.0382,-0.0443,-0.0452,-0.0441,-0.0458,-0.0419,-0.0312,-0.0318,-0.0234,0.0009,0.0273,0.0462,0.0284,0.0067,-0.0279,-0.0296,0.0065,-0.0043,0.0261,0.0024,0.0049,0.001
2003-09-02,15.5502,41.8297,E,-0.332,-0.3101,-0.269,-0.2086,-0.1804,-0.1551,-0.1235,-0.0841,-0.0446,-0.0289,-0.0289,-0.0104,0.0184,0.028,0.0647,0.0624,0.0781,0.1097,0.1219,0.0919,-0.0692,-0.08,-0.08,,,,,-0.08,-0.08,-0.08
2003-09-02,15.5502,41.8297,N,0.0044,0.0241,0.0251,0.0163,0.0168,0.0042,0.0184,0.0388,0.0305,0.0118,-0.0155,-0.0008,-0.0039,0.0048,0.0088,0.0022,-0.0115,-0.0217,-0.0207,-0.0074,-0.0037,-0.0023,0.0057,0.0052,0.0036,0.0044,-0.0026,-0.0021,-0.0058,-0.0004
2003-09-02,15.5502,41.8297,NE,,-0.0076,0.0078,0.0144,0.0116,0.0039,0.002,0.0173,0.0097,0.0191,0.0067,-0.0,-0.0116,-0.0135,-0.0173,-0.0002,0.0193,0.0249,0.025,0.0172,0.0038,0.0,0.0086,0.0079,0.027,0.0289,0.0127,0.0098,-0.0038,-0.0249
2003-09-02,15.5502,41.8297,NO,,0.0696,0.0686,0.0522,0.0364,0.023,0.0141,0.0092,-0.014,-0.0285,-0.0295,-0.0129,0.015,0.0301,0.0402,0.039,0.0218,0.0109,-0.0073,-0.0082,-0.0089,-0.0075,-0.0045,0.0026,-0.0084,0.0066,0.0033,0.0049,0.005,0.0099
2003-09-02,15.5502,41.8297,O,0.0408,0.0497,0.0578,0.0662,0.0644,0.0398,,,,,,,,0.0382,0.019,0.0078,0.0045,0.0113,0.002,-0.0064,-0.004,-0.0102,-0.012,-0.0118,-0.0014,0.0033,0.0051,0.0049,0.007,0.0063
