date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-20,36.8996,139.7718,E,,-0.0111,-0.009,-0.0095,-0.0091,-0.0166,-0.0197,-0.0186,-0.0171,-0.0189,-0.0106,-0.0099,-0.0069,-0.0087,-0.0059,-0.0047,-0.0013,0.0018,0.0035,0.0097,0.0107,0.0048,0.008,0.0093,0.0085,0.0095,0.0083,0.0072,0.0038,0.0068
2000-03-20,36.8996,139.7718,N,0.0286,0.0097,0.006,0.002,0.0022,-0.0017,-0.0012,-0.0011,-0.0011,-0.0008,-0.0005,-0.0002,0.0003,0.0003,0.0005,0.0004,0.0002,-1e-04,-0.0003,-0.0007,-0.0013,-0.0011,-0.0013,-0.0012,1e-04,1e-04,0.0007,0.0006,-0.0019,-0.0021
2000-03-20,36.8996,139.7718,NE,,0.0078,0.0009,-0.0007,-0.0049,-0.0036,-0.0082,-0.0018,-0.0019,-0.002,-0.0013,-0.0005,-0.0023,-0.0023,-0.0019,-0.0051,-0.0081,-0.0019,-0.0043,-0.0033,-0.0032,-0.003,-0.0018,-0.0028,-0.003,0.0044,0.0096,0.0105,0.0125,0.0102
2000-03-20,36.8996,139.7718,NO,,0.0045,0.0021,-0.0006,-0.0035,-0.0041,-0.0026,-0.0023,0.0012,0.0013,0.0039,0.0051,0.0017,0.0011,-0.001,-0.0017,-0.0022,-0.0023,-0.0027,-0.0054,-0.0049,-0.0038,-0.004,-0.001,1e-04,-0.0013,-0.0013,-0.0018,-0.0018,-0.003
2000-03-20,36.8996,139.7718,O,,-0.0041,-0.0084,-0.0133,-0.0129,-0.0125,-0.0106,-0.0101,-0.0116,-0.0115,-0.0114,-0.011,-0.0086,-0.0074,-0.0034,-0.0003,-0.0015,0.0,-0.0039,-0.0051,-0.0012,0.0013,0.0023,0.0026,0.0053,0.0033,0.0042,0.0045,0.0071,0.0073
2000-03-20,36.8996,139.7718,S,-0.022,-0.0186,-0.0218,-0.0269,-0.0279,-0.0247,-0.0238,-0.0182,-0.0179,-0.0171,-0.0163,-0.0172,-0.0161,-0.0116,-0.003,0.0006,-0.0023,0.0002,0.0029,0.0003,0.0009,0.0025,0.0066,0.007,0.0089,0.0107,0.0125,0.0083,0.0067,0.0101
2000-03-20,36.8996,139.7718,SE,,-0.0024,0.0033,0.0051,0.005,0.009,0.0079,0.0097,0.0057,0.0107,0.0113,0.0065,0.0028,0.0032,0.0073,0.0068,0.0094,0.0084,0.0102,0.0084,-0.0016,-0.0057,-0.0081,-0.0082,-0.007,-0.0066,-0.0094,-0.0097,-0.0057,-0.0055
2000-03-20,36.8996,139.7718,SO,,0.006,0.0045,-0.0018,-0.0062,-0.0139,-0.0115,-0.0101,-0.0099,-0.0103,-0.0088,-0.0097,-0.0097,-0.0118,-0.0111,-0.0083,-0.0071,-0.0093,-0.0128,-0.0101,-0.0077,-0.0031,-0.0012,0.0067,0.0031,0.0024,0.0036,0.0071,0.0146,0.026
2000-03-29,36.8997,139.7798,E,,,,,,-0.0035,-0.0036,-0.0047,-0.0038,0.0056,0.009,0.0059,0.0129,0.0126,0.0084,0.0014,-0.0048,-0.0097,-0.0097,-0.0083,-0.007,-0.0022,-0.012,0.0131,0.0108,0.013,0.0041,0.0021,0.0041,0.0082
2000-03-29,36.8997,139.7798,N,,,0.0021,-0.0007,-0.0008,0.0087,0.0122,0.005,0.004,,,0.0013,0.0005,-0.0056,-0.0058,-0.0061,-0.0027,-0.0028,0.0011,-0.0094,0.0153,0.0145,0.038,,-0.011,-0.0137,0.0115,0.0088,0.0161,
2000-03-29,36.8997,139.7798,NE,,0.0608,0.0488,0.0409,,0.0495,0.0488,,0.0179,0.0221,0.0205,,0.014,,,0.0043,0.0103,0.0008,-0.0019,-0.0039,-0.0029,-0.0026,-0.0103,-0.0089,-0.008,-0.0069,-0.0039,-0.0015,0.0075,0.012
2000-03-29,36.8997,139.7798,NO,0.0391,,,0.0006,-0.0058,-0.0069,-0.0077,,-0.0061,,0.01,0.0061,-0.0065,0.0056,,,,,0.0042,0.0165,-0.0017,0.0178,-0.0027,-0.013,0.0216,0.0077,-0.0051,-0.0009,0.0004,-0.0
2000-03-29,36.8997,139.7798,O,,0.0571,,0.0295,,0.0136,0.0098,0.0118,0.0129,0.0047,0.0011,-0.0013,-0.0015,-0.0048,-0.0053,-0.0093,-0.0028,0.0034,-0.0034,-0.0047,-0.005,-0.0073,-0.0056,-0.0053,-0.006,-0.0029,0.0022,0.0122,0.0015,-0.0006
2000-03-29,36.8997,139.7798,S,,0.0529,,,0.0278,0.0147,-0.0009,-0.0012,-0.0005,-0.0007,-0.0005,-0.0019,-0.0025,-0.0033,-0.0044,-0.0012,0.0004,0.005,0.0052,0.0043,0.0039,0.0023,-0.0016,-0.0025,-0.0076,-0.0046,-0.0039,-0.001,0.0018,-0.0029
2000-03-29,36.8997,139.7798,SE,,,,0.0207,-1e-04,,,,0.0019,0.001,-0.0024,-0.0069,-0.0058,-0.0013,-0.0012,-0.0032,-0.0024,-0.0003,0.0037,0.0047,0.0087,0.0052,0.0072,-0.0007,0.0034,-0.0057,0.0002,-0.0025,-1e-04,0.0071
2000-03-29,36.8997,139.7798,SO,0.0557,,0.035,0.0335,,0.0241,0.0211,0.0184,0.0103,0.0026,0.0027,-0.0006,-0.0015,-0.0043,-0.0058,-0.005,-0.0029,-0.0037,-0.0018,0.0026,0.0004,-0.0009,-0.0026,-0.0011,-0.0008,0.0004,-0.0016,-0.0029,-0.0057,-0.0058
