date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-18,-4.2375,152.2091,E,,0.5666,0.184,-0.0316,0.039,0.0123,-0.0775,-0.098,-0.0502,-0.029,-0.0035,0.022,0.0389,0.0421,0.0366,0.0279,0.047,0.0558,0.079,0.0285,-0.0151,-0.0414,-0.0505,-0.0827,0.0897,-0.0484,-0.085,-0.0771,-0.0829,-0.1258
2000-09-18,-4.2375,152.2091,N,0.8082,0.5236,0.3462,0.2135,0.1658,0.1371,0.0212,-0.025,-0.0299,-0.0324,-0.0392,-0.0317,-0.022,-0.0074,0.0104,0.0189,0.0274,0.0525,0.049,0.0304,0.0457,0.0596,0.0373,0.0163,-0.0241,-0.0418,-0.0664,-0.0098,0.021,0.0103
2000-09-18,-4.2375,152.2091,NE,,0.3275,0.1852,0.0966,-0.0299,-0.1084,-0.1614,-0.1428,-0.0952,-0.0696,-0.0329,0.0034,0.0405,0.0777,0.1041,0.1187,0.1373,0.1542,0.1444,0.1298,0.1132,0.089,-0.0002,-0.0569,-0.1164,-0.1317,-0.1355,-0.1191,-0.0696,-0.0058
2000-09-18,-4.2375,152.2091,NO,,0.4489,0.2551,0.1503,0.1246,0.0994,0.0713,0.0434,0.0105,-0.0132,0.0198,-0.002,-0.0153,-0.0222,-0.0123,-0.0179,-0.0076,-0.0043,0.0011,0.0135,0.0131,0.0097,0.0091,0.0051,-0.0011,0.0079,0.0181,0.0129,0.0177,-0.0154
2000-09-18,-4.2375,152.2091,O,0.6873,0.5122,0.2908,0.1227,0.0918,0.0958,0.0775,0.0467,0.0379,0.0442,0.0308,0.0014,-0.0344,-0.0356,-0.0427,-0.0449,-0.0374,-0.0232,-0.0179,-0.0083,-0.0093,-0.0079,-0.0038,0.0121,0.0135,0.0127,0.0153,0.0178,0.0069,0.0047
2000-09-18,-4.2375,152.2091,S,,0.8102,0.5957,0.467,0.3291,0.1974,0.1081,0.0794,0.0044,0.0028,-0.0243,-0.0639,-0.0728,-0.0305,0.0072,0.0361,0.0416,0.0617,0.0771,0.0686,0.0097,-0.0532,-0.0327,-0.0815,-0.0824,-0.0743,-0.0733,-0.0733,-0.0733,-0.0733
2000-09-18,-4.2375,152.2091,SE,,0.515,0.2579,0.0405,-0.1241,-0.1782,-0.1768,-0.1685,-0.1417,-0.1506,-0.1073,-0.0617,0.0193,0.0979,0.1494,0.233,0.2156,0.2039,0.098,0.1212,0.0301,-0.0048,-0.0903,-0.0257,-0.0187,-0.0036,-0.0904,-0.1072,-0.1283,-0.1283
2000-09-18,-4.2375,152.2091,SO,,0.5104,0.3043,0.1417,0.0382,0.0308,0.0285,0.037,0.0775,0.068,0.0433,0.0036,-0.017,-0.0426,-0.0373,-0.0453,-0.014,-0.0095,-0.0129,-0.0093,-0.0056,0.0085,0.0081,0.0119,0.0142,0.0189,0.0236,0.0273,0.0392,-0.0151
2002-08-07,-4.2366,152.2088,E,,0.4661,0.4213,0.0296,-0.1253,-0.076,-0.0026,0.0356,0.0634,0.0629,0.043,0.0468,0.0211,-0.0073,-0.018,-0.0419,-0.0709,-0.0864,-0.0837,-0.079,-0.0795,0.0472,0.0765,0.1282,0.0438,0.0201,-0.0282,-0.0486,-0.046,-0.0616
2002-08-07,-4.2366,152.2088,N,0.6953,0.6774,0.2956,0.1045,0.049,0.0224,-0.0077,0.0236,0.0124,0.0036,-0.008,-0.0192,-0.0253,-0.0084,0.0019,0.0028,0.0124,0.035,0.0506,0.0674,0.0563,0.0289,0.0071,0.0018,-0.045,-0.0893,-0.0665,-0.0379,-0.0139,-0.0126
2002-08-07,-4.2366,152.2088,NE,,0.4663,0.2432,-0.049,-0.1712,-0.1701,-0.0975,-0.0806,-0.0404,-0.0061,0.0079,0.0072,0.0216,0.0517,0.0822,0.0974,0.1085,0.1034,0.1105,0.1016,0.0435,-0.0235,-0.0601,-0.0729,-0.0818,-0.0689,-0.054,-0.0203,0.0148,-0.0188
2002-08-07,-4.2366,152.2088,NO,,0.7548,0.5577,0.3009,0.1439,0.0553,0.0286,0.0157,0.0117,0.0261,0.0227,0.028,0.0325,0.0098,-0.0195,-0.035,-0.0402,-0.0367,-0.0343,-0.0217,-0.014,-0.0032,0.01,0.0017,0.0063,0.0036,0.0138,0.0035,-0.0019,0.0007
2002-08-07,-4.2366,152.2088,O,0.7166,0.6575,0.3101,0.1291,0.0581,0.0319,0.0281,-0.0111,0.0394,0.0494,0.0643,0.0796,0.0631,0.0204,-0.0287,-0.0598,-0.0446,-0.0392,-0.0279,-0.0203,-0.0128,-0.0088,0.0035,0.0007,-0.001,0.0065,0.012,0.0133,0.0037,-0.0065
