date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-01,28.2718,-16.6406,E,0.0574,0.058,0.074,0.0553,0.0431,0.0233,0.0214,0.0184,0.0171,0.0133,0.0174,0.0134,0.0063,0.0111,0.0025,-0.0077,-0.0102,-0.024,-0.0142,0.0029,0.0097,0.0166,0.0125,0.0089,0.0177,0.0182,0.0114,0.0025,-0.0078,-0.0276
2000-09-01,28.2718,-16.6406,N,0.1252,0.0941,0.0997,0.0792,0.0392,0.0207,0.0197,0.0213,0.0205,0.0185,0.0188,0.0154,-0.0062,-0.0005,0.0058,-0.0015,-0.0094,-0.011,-0.0162,-0.0121,-0.0097,-0.0103,-0.0141,-0.0105,0.001,-0.0124,-0.0114,-0.0028,-0.0025,-0.002
2000-09-01,28.2718,-16.6406,NE,,0.0636,0.0584,0.0614,0.0495,0.0203,-0.0031,-0.0177,0.0071,0.0111,0.0076,0.0316,0.0211,0.0166,0.006,0.0108,-0.0012,-0.0151,-0.0139,-0.0222,-0.0226,-0.0238,-0.0143,-0.0152,-0.0036,-0.0009,-0.001,0.0081,0.0004,0.0075
2000-09-01,28.2718,-16.6406,NO,,0.1041,0.0874,0.0656,0.0363,-0.0065,-0.0175,-0.0422,-0.0389,-0.0265,-0.0155,-0.0094,-0.0051,0.0069,0.0259,0.0163,0.0007,0.0102,-0.0022,0.01,0.0008,0.0131,-0.0074,0.0069,-0.0123,0.0036,-0.0071,-0.0026,-0.0131,-0.009
2000-09-01,28.2718,-16.6406,O,,0.2019,0.1664,0.1149,0.0848,0.0652,0.0369,0.0295,0.0064,0.0024,0.001,0.0056,0.0067,0.0139,0.0123,0.0015,-0.0195,-0.0403,-0.0241,-0.0196,-0.0053,1e-04,-0.0018,-0.0149,-0.0008,-0.0024,-0.0105,-0.0072,-0.0252,-0.0316
2000-09-01,28.2718,-16.6406,S,,0.1623,0.1129,0.0834,0.0394,0.0567,0.0255,-0.0151,0.0014,-0.0018,-0.0076,-0.0019,0.0158,0.0183,0.0113,-0.001,-0.0113,-0.0063,-0.0058,-0.0015,0.0012,0.0005,0.0007,-0.005,-0.0072,-0.0038,-0.0033,-0.0052,-0.0042,-0.0014
2000-09-01,28.2718,-16.6406,SE,,0.0777,0.0607,0.0304,0.0087,-0.0366,-0.0256,0.0285,0.0319,0.0272,0.0257,-0.0175,-0.0222,-0.0069,-0.0062,-0.0147,-0.007,-0.0129,-0.0045,0.0024,-0.0071,-0.0055,-0.0162,-0.005,0.0075,0.0028,0.0035,-0.0103,-0.0035,-0.0094
2000-09-01,28.2718,-16.6406,SO,,0.1147,0.0824,0.0475,0.032,0.0199,0.0004,0.0077,0.0161,0.0207,0.0303,0.023,0.0206,0.0147,0.0104,-0.0009,-0.0236,-0.0122,-0.0156,-0.0209,-0.0159,-0.0236,-0.0206,-0.0141,-0.0101,-0.0097,-0.0036,-0.0039,0.0069,0.0075
2000-10-03,28.2715,-16.6403,E,0.0607,0.0405,0.0426,0.0509,0.0549,0.0402,0.026,0.0229,0.0214,0.0277,0.0279,0.0262,0.0097,0.0058,0.0181,0.0072,-0.0125,-0.0191,-0.0328,-0.0301,-0.0155,-0.0039,0.0034,0.0066,-0.0074,0.0092,0.0051,0.0031,0.0043,-0.0015
2000-10-03,28.2715,-16.6403,N,0.1152,0.1214,0.0872,0.0652,0.0202,0.0075,0.0148,0.0204,0.0184,0.0135,0.0058,0.0154,-0.0029,0.0034,0.0079,-0.0101,-0.0048,-0.0164,-0.003,-0.0037,-0.0055,-0.0009,-0.0066,-0.007,-0.0047,-0.0049,-0.0127,-0.0067,-0.0166,-0.0125
2000-10-03,28.2715,-16.6403,NE,,0.0772,0.0637,0.0523,-0.0086,0.0181,-0.0253,-0.0195,0.0004,0.0111,0.0371,0.0301,0.0131,0.0076,0.0127,0.002,-0.0081,-0.0025,-0.0078,-0.0136,-0.0233,-0.021,-0.0147,-0.0045,-0.0028,-0.0037,-0.0013,0.0055,0.0056,0.008
2000-10-03,28.2715,-16.6403,NO,,0.0552,0.0365,-0.0204,-0.0489,-0.0517,-0.079,-0.0606,-0.0232,-0.0302,-0.0042,-0.0182,0.0096,0.005,0.0116,0.0117,0.006,0.0089,0.008,0.0187,0.0143,0.0188,0.0136,0.0134,0.0035,0.0092,-0.0027,-0.0132,-0.0211,-0.0295
2000-10-03,28.2715,-16.6403,O,,0.1254,0.0606,0.0238,0.0097,0.0119,-0.006,-0.0149,-0.0036,-0.0066,0.005,0.0127,0.0133,0.0114,-0.0081,-0.0225,-0.0268,-0.0248,-0.0103,-0.002,0.0043,-0.0021,0.0064,-0.001,0.0006,0.0029,0.0015,-0.0026,-0.009,-0.0129
2000-10-03,28.2715,-16.6403,S,,0.1246,0.1019,0.0616,0.0416,0.0113,0.0314,0.0006,0.0047,0.0155,0.0076,0.0085,0.0202,0.0296,0.0349,0.0288,0.0145,0.002,0.0005,-0.0076,-0.0106,0.0051,0.0002,-0.0043,-0.0053,-0.0162,-0.0093,-0.0075,-0.0005,0.0012
2000-10-03,28.2715,-16.6403,SE,,0.153,0.1469,0.1345,0.091,0.0816,0.0507,0.0298,0.0043,0.0431,0.0262,-0.0007,-0.0178,-0.0138,-0.0138,-0.0078,-0.0098,-0.0083,-0.0095,-0.007,0.0045,0.0044,0.0,0.0005,-0.005,0.0035,-0.0002,0.0007,0.0042,-0.0052
2000-10-03,28.2715,-16.6403,SO,,0.0855,0.0289,0.0231,0.0159,0.0066,0.0012,0.0103,0.0208,0.0179,0.0368,0.0361,0.0294,0.0353,0.0061,-0.0032,-0.02,-0.0213,0.0002,-0.0082,-0.0053,-0.027,-0.0252,-0.0169,-0.0144,-0.0104,0.0049,-0.0037,-0.0083,0.0098
2000-10-19,28.2715,-16.6403,E,0.1003,0.0792,0.0804,0.0753,0.0653,0.0417,0.0281,0.0219,0.0176,0.0134,0.0143,0.0184,0.0067,0.0079,0.0077,0.0047,-0.0123,-0.013,-0.0148,-0.0186,-0.0151,-0.0138,-0.0112,-1e-04,-0.0055,0.0057,0.0026,0.0104,0.0056,0.0091
2000-10-19,28.2715,-16.6403,N,0.1175,0.1197,0.0897,0.0528,0.016,0.0073,0.0169,0.0185,0.0196,0.0159,0.0107,0.0125,0.0008,0.0043,0.0098,-0.011,-0.0104,-0.0102,-0.0031,-0.002,-0.0051,0.0006,-0.0091,-0.0028,-0.0044,-0.0096,-0.0165,-0.0087,-0.0163,-0.0105
2000-10-19,28.2715,-16.6403,NE,,0.1025,0.0894,0.073,0.01,0.033,-0.0115,-0.0152,0.0005,0.0116,0.0288,0.0141,0.0085,0.0028,0.0088,-0.0018,-0.0018,0.0012,-0.0093,-0.0112,-0.0153,-0.0232,-0.0074,-0.0111,-0.0101,-0.0098,-0.0101,-0.0045,0.003,0.008
2000-10-19,28.2715,-16.6403,NO,,0.0591,0.032,-0.0169,-0.0538,-0.0489,-0.0636,-0.0563,-0.0259,-0.0338,-0.0085,-0.0175,0.0109,0.0117,0.0132,0.0089,0.0071,0.0138,0.0131,0.0177,0.0169,0.0218,0.0178,0.0198,0.0159,0.0094,0.0055,-0.0077,-0.0279,-0.0247
2000-10-19,28.2715,-16.6403,O,,0.1205,0.0632,0.0256,0.0098,0.0157,0.0038,-0.0089,0.0024,-0.0027,0.0014,-0.0025,0.0058,0.0048,-0.0047,-0.0176,-0.0275,-0.0326,-0.0107,0.0062,0.0066,0.0015,0.0088,0.0014,0.008,0.0049,0.0022,-0.0031,-0.0104,-0.0215
2000-10-19,28.2715,-16.6403,S,,0.1197,0.1033,0.06,0.029,0.002,0.0151,-0.0058,-0.0084,0.0017,-0.0029,0.0042,0.0176,0.0326,0.0275,0.0288,0.0227,0.0178,0.0085,0.0059,0.0004,-0.0039,-0.0065,-0.0098,-0.0061,-0.0117,-0.0067,-0.0062,-0.0041,-0.0005
