date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-12,2.3245,36.5659,E,,-0.0118,-0.0164,-0.0168,-0.0124,-0.0046,-0.009,-0.0279,-0.0385,-0.0386,-0.04,-0.0285,-0.0089,-0.0242,-0.0029,0.0053,0.014,0.0128,0.0088,0.0066,0.0018,0.0064,0.0079,0.0084,0.0073,0.0084,0.008,0.0085,0.0018,-0.0011
2000-02-12,2.3245,36.5659,N,,0.0869,0.0802,0.0639,0.0556,0.0476,0.0371,0.0308,0.0235,0.0104,-0.0242,-0.0469,-0.0527,-0.0887,-0.0834,-0.0465,-0.02,0.027,0.0601,0.0777,0.0748,0.055,0.0493,0.0013,-0.0186,-0.0128,-0.0212,-0.01,0.0003,-0.0017
2000-02-12,2.3245,36.5659,NE,0.0979,0.06,0.0597,0.0502,0.0424,0.03,0.0284,0.0174,0.0127,0.0014,-0.0164,-0.0092,-0.0126,-0.0123,0.0031,0.0081,-0.005,0.0051,0.006,0.0032,0.0115,0.0184,0.0149,0.0051,-0.0097,-0.0014,-0.007,-0.0071,-0.0106,-0.0222
2000-02-12,2.3245,36.5659,NO,,0.1631,0.1364,0.1288,0.1253,0.0886,0.0791,0.0201,0.0219,0.0118,0.0118,0.0035,-0.0081,-0.0366,-0.0447,-0.0472,-0.0607,-0.0081,0.0064,-0.0017,0.0074,0.0232,0.0225,0.0046,0.0064,0.0004,0.0169,-0.009,0.0117,-0.0004
2000-02-12,2.3245,36.5659,O,0.1573,0.1146,0.0757,0.0417,-0.005,0.0088,0.0289,0.0136,0.0176,0.013,0.0331,0.011,0.0145,0.0108,0.0255,0.0165,0.025,0.0055,0.0344,0.0374,0.0062,0.0097,-0.0128,-0.0356,-0.0186,-0.0093,0.0055,0.0241,0.0408,0.0565
2000-02-12,2.3245,36.5659,S,0.1442,0.138,0.138,0.1352,0.1294,0.1054,0.1011,0.0588,0.0603,0.072,0.0843,0.0953,0.1001,0.09,0.063,0.0304,-0.0192,0.0031,0.031,0.0352,0.0166,-0.0087,-0.0365,-0.0457,-0.0502,-0.0547,-0.0577,-0.0632,-0.0696,-0.0755
2000-02-12,2.3245,36.5659,SE,,0.0999,0.0878,0.0874,0.0803,0.0858,0.0759,0.0617,0.0536,0.0538,0.0627,0.0647,0.0586,0.0534,0.0502,0.0358,0.0227,0.0255,0.0381,0.0555,0.043,0.0304,-0.0402,-0.0926,-0.0974,-0.0945,-0.1003,-0.101,-0.1059,-0.1087
2000-02-12,2.3245,36.5659,SO,,0.1222,0.0816,0.0736,0.0585,0.02,0.0123,0.0259,0.0168,0.0177,0.0024,0.0099,0.0208,0.0247,0.0371,0.0328,0.0413,0.0516,0.0656,0.0554,0.0414,-0.0055,0.0206,-0.0218,0.0052,-0.0212,-0.0268,-0.0569,-0.054,-0.0611
2002-10-15,2.3242,36.5659,E,,0.0486,0.0387,0.0238,0.0237,0.0134,0.0027,-0.0116,-0.0269,-0.0379,-0.0377,-0.0368,-0.0319,-0.0274,-0.0203,-0.0177,-0.0077,0.0024,-0.0002,-0.0005,-0.0006,0.0011,0.0118,0.0168,0.0189,0.0105,0.0113,0.0083,0.0143,0.0137
2002-10-15,2.3242,36.5659,N,,0.1426,0.1217,0.1235,0.0999,0.0845,0.0657,0.05,0.0424,0.0267,-0.0161,-0.0262,-0.0386,-0.0799,-0.0803,-0.0402,-0.0143,0.0247,0.0594,0.0726,0.0631,0.0411,0.0348,-0.0056,-0.0248,-0.019,-0.0185,-0.0005,-0.0096,-0.007
