date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2003-02-26,55.8288,160.3316,E,,0.1748,0.1642,0.1549,0.1312,0.1127,0.1068,0.1098,0.1162,0.1196,0.109,0.1037,0.0979,0.0835,0.0714,0.0568,0.0324,-0.0253,-0.029,-0.0331,-0.0402,-0.0415,-0.0418,-0.0446,-0.0408,-0.0337,-0.0263,-0.0212,-0.0175,-0.0145
2003-02-26,55.8288,160.3316,N,,0.0732,0.0666,0.061,0.055,0.0453,0.0371,0.0277,0.01,0.0005,-0.0102,-0.0154,-0.0198,-0.035,-0.0352,-0.0377,-0.0268,-0.0117,0.0011,0.0018,0.009,0.0135,0.0117,0.0103,0.0113,0.0103,0.0047,0.0029,0.0011,0.0019
2003-02-26,55.8288,160.3316,NE,0.0559,0.0585,0.0439,0.0331,0.0245,0.016,0.0091,0.0113,0.013,0.017,0.02,0.0144,0.0097,-0.0005,0.0115,0.006,0.0267,0.0329,0.0224,0.0345,0.0297,0.0143,0.0128,-0.0046,-0.0033,-0.0044,-0.0129,-0.0246,-0.0456,-0.0613
2003-02-26,55.8288,160.3316,NO,0.0098,0.0068,0.0007,0.0012,0.0021,0.0045,0.0033,0.0072,0.008,0.0119,0.0091,0.0011,0.0064,0.0003,-0.0014,-0.0018,-0.0043,-0.0046,-0.0029,0.0016,0.0014,0.0033,0.0023,0.0025,0.0003,-0.0002,0.0007,0.0019,0.0011,0.0082
2003-02-26,55.8288,160.3316,O,0.0294,0.0225,0.022,0.0146,0.0076,0.0042,0.0048,0.0074,0.0065,0.0022,0.0032,0.0027,0.0016,0.0041,-1e-04,-0.0037,-0.0023,-0.0045,-0.0017,-0.0019,0.0023,0.0098,0.0112,0.0064,0.0028,0.001,-0.0002,-0.0016,-0.0034,-0.0079
2003-02-26,55.8288,160.3316,S,,0.0858,0.0725,0.0669,0.055,0.0536,0.0537,0.0557,0.0566,0.0571,0.0549,0.055,0.0524,0.049,0.0461,0.0403,0.0365,0.0321,0.0335,0.0357,0.0297,0.0235,-0.0035,0.0108,-0.0423,-0.0428,-0.0424,-0.0668,-0.0592,-0.0684
2003-02-26,55.8288,160.3316,SE,0.1983,0.1862,0.168,0.1613,0.134,0.1209,0.1178,0.1219,0.1213,0.1188,0.1075,0.0937,0.06,0.0173,-0.0222,-0.037,-0.0362,-0.0344,-0.0321,-0.0292,-0.0257,-0.0224,-0.0187,-0.0155,-0.0121,-0.0092,-0.0057,-0.0026,0.0013,0.0035
2003-02-26,55.8288,160.3316,SO,0.0301,0.0201,0.014,0.0142,0.014,0.0073,0.0019,-0.0008,-0.0034,-0.004,-0.0023,-0.0009,0.0004,0.0012,-0.0017,-0.0004,-0.0004,-0.0005,-0.0008,0.0037,-0.0012,0.0012,-0.0019,0.0008,-0.0004,0.0022,0.0027,0.0051,0.0046,0.0025
2003-05-26,55.8266,160.3344,E,-0.0432,-0.0557,-0.0538,-0.0523,-0.052,-0.0397,,,,,,,,,,,,,,,,-0.0125,0.0112,0.0259,0.0337,0.0328,-0.0047,-0.0089,-0.0196,-0.0258
2003-05-26,55.8266,160.3344,N,,0.0401,0.0179,-0.0035,-0.0155,-0.0249,-0.0279,-0.0254,-0.0254,-0.0233,-0.0188,-0.014,-0.0084,0.0096,0.0095,0.0133,0.0185,0.0281,0.0234,0.0114,-0.0023,-0.0061,-0.0002,0.0106,0.0163,0.0158,-0.0019,-0.0097,-0.0243,-0.0287
