date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-10,42.5434,140.8335,E,,0.1693,0.1572,0.137,0.1174,0.0919,0.074,0.0573,0.0459,0.023,0.0173,-0.003,-0.0094,-0.0204,-0.021,-0.0173,-0.012,-0.0128,-0.0147,-0.0105,-0.0096,-0.0079,-0.0054,-0.0034,-0.0006,0.0014,0.0026,0.0076,0.0056,0.0047
2000-07-10,42.5434,140.8335,N,,0.1169,0.0954,0.0938,0.0666,0.0615,0.0598,0.0308,0.0098,0.0242,0.0095,-0.004,0.0034,-0.0016,-0.0039,-0.0112,-0.0068,0.0008,-0.0049,-0.01,-0.0107,-0.0153,-0.0171,-0.0196,-0.0091,0.0098,0.0076,0.0256,0.007,0.0018
2000-07-10,42.5434,140.8335,NE,,0.1969,0.1721,0.1269,0.1046,0.083,0.0555,0.0392,0.025,0.0031,0.0003,0.0002,-0.0023,0.0015,-0.0199,-0.0169,-0.0107,-0.0149,-0.0143,-0.0087,-0.0032,0.0008,-0.0114,-0.0146,-0.0147,-0.0149,-0.0162,-0.0118,0.0098,0.0176
2000-07-10,42.5434,140.8335,NO,,0.099,0.0657,0.0298,-0.0049,-0.0313,-0.0363,-0.0139,-0.0382,-0.0128,0.0142,0.0297,0.0435,0.0416,0.0181,0.0074,-0.0026,-0.0171,-0.0086,-0.0126,0.0012,-0.002,0.0029,0.0046,0.0111,0.028,0.0222,-0.0101,-0.0384,-0.0585
2000-07-10,42.5434,140.8335,O,0.0646,0.0372,0.0244,-0.0044,-0.0425,-0.0522,-0.0383,-0.0177,-0.009,-0.0093,-0.0037,0.0113,0.0325,0.0487,0.0468,0.0142,0.0024,-0.0206,-0.0327,-0.0358,-0.0214,-0.0086,-0.0021,0.0068,0.0137,0.0144,0.0202,0.0099,-0.006,-0.0083
2000-07-10,42.5434,140.8335,S,-0.032,-0.0622,-0.0724,-0.0981,-0.1151,-0.0767,-0.048,-0.054,-0.0412,-0.0158,0.0193,0.029,0.0272,0.0469,0.0022,0.009,0.0113,0.0257,0.0246,0.0231,0.0156,0.0145,0.0144,-0.0018,0.006,-0.0226,-0.0341,-0.0302,-0.0541,-0.0447
2000-07-10,42.5434,140.8335,SE,,0.1387,0.12,0.0892,0.0541,0.0357,-0.0149,-0.0177,-0.0268,0.0117,0.0181,0.0223,0.0343,0.0248,0.0112,-0.0046,-0.0067,-0.0237,-0.007,0.0059,0.0132,0.0123,0.0239,0.0385,0.0421,0.0334,0.0104,-0.019,-0.0136,-0.046
2000-07-10,42.5434,140.8335,SO,,0.0075,-0.011,-0.0204,0.0087,0.0203,0.025,0.0201,0.0006,-0.0218,-0.0273,-0.0282,-0.0261,-0.0107,0.0082,0.0177,0.0339,0.036,0.0407,0.0396,0.0391,0.0211,0.024,0.0076,-0.0021,-0.0135,-0.0209,-0.0545,-0.0338,-0.0128
2000-10-14,42.539,140.8412,E,,0.0398,0.0265,0.0349,0.0723,0.0683,0.0482,0.0169,0.0164,0.0044,0.0037,-0.0012,0.0014,0.0039,0.0077,0.0082,0.0108,-0.0054,-0.0066,-0.0103,-0.0121,-0.0072,-0.0026,0.0049,0.0028,0.0048,0.0038,0.0022,-0.0021,-0.0146
2000-10-14,42.539,140.8412,N,0.1257,0.1141,0.1177,0.078,0.0431,0.0439,0.0288,0.0269,0.0188,0.0053,0.0063,-0.0009,-0.0021,-0.0006,0.0007,-0.0038,-0.003,-0.0068,-0.0085,-0.0068,-0.0085,-0.007,-0.004,-0.0039,-0.0027,-0.0043,0.0022,0.0045,0.0066,0.0073
