date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-01-03,-1.4672,-78.4382,E,0.0304,0.0169,0.0141,0.0141,0.0067,0.0119,0.0083,0.0162,0.0185,0.0261,0.0218,0.0312,0.0292,0.0174,0.008,0.0029,0.0185,0.0088,0.0004,0.0106,0.0079,-0.006,-0.0097,-0.0017,-0.001,-0.0027,-0.0051,-0.0144,-0.0152,-0.0147
2001-01-03,-1.4672,-78.4382,N,,0.0508,0.0275,0.0153,0.0048,-0.0044,0.0146,0.0124,0.0059,-0.0075,-0.014,-0.0103,-0.0166,-0.022,-0.0201,-0.0214,-0.0042,-0.0046,-0.0061,-0.0059,0.013,0.0186,0.0184,0.0212,0.0213,0.0081,0.0085,0.0102,0.002,1e-04
2001-01-03,-1.4672,-78.4382,NE,,0.0014,-0.0009,-0.0048,-0.0098,0.0007,0.0073,-0.0055,-0.0022,-0.003,-0.0066,-0.0018,-0.0015,-0.0019,-0.0069,0.0088,-0.0109,0.002,0.0,0.0033,0.0122,0.0087,0.007,0.0033,0.0123,0.0079,0.0013,-0.003,-0.0041,-0.0099
2001-01-03,-1.4672,-78.4382,NO,,0.0114,-0.003,-0.0041,-0.024,-0.0139,-0.0013,0.0052,1e-04,-0.0086,-0.0134,-0.0102,-0.0191,-0.0113,-0.0079,-0.0045,0.0107,0.021,0.021,0.0218,0.019,0.0012,-0.022,-0.0197,-0.017,-0.0062,0.0036,-0.0039,-0.0039,-0.0087
2001-01-03,-1.4672,-78.4382,O,,0.0021,-0.0372,-0.0415,-0.0069,0.0058,0.0098,0.0131,0.0085,0.0081,0.0187,-0.0035,-0.0111,-0.024,-0.0406,-0.0462,-0.034,-0.0224,-0.0014,0.0164,0.0106,0.0077,0.0193,0.0265,0.0177,0.0135,0.0146,0.0191,0.017,0.0111
2001-01-03,-1.4672,-78.4382,S,0.0627,0.0399,0.0245,0.0093,0.0287,0.0128,0.003,-0.0023,0.0023,-0.0053,0.0108,-0.0019,-0.0088,-0.0002,-0.018,-0.0042,,,,,0.0034,,,,,,0.0024,0.0009,0.0036,0.0126
2001-01-03,-1.4672,-78.4382,SE,,0.0403,0.0195,-0.0004,0.0067,0.0124,0.0131,0.0284,0.0431,0.0403,0.0215,0.0066,0.0046,0.0061,0.0064,0.0102,-0.0003,-0.0082,-0.0094,-0.0079,-0.0206,-0.016,-0.0117,-0.0123,-0.013,-0.0099,0.0047,0.014,0.0076,-0.0041
2001-01-03,-1.4672,-78.4382,SO,,0.0118,0.0043,-0.0052,-0.0047,0.0282,0.0179,0.0068,-0.0035,-0.0215,0.0127,0.0205,-0.004,-0.0247,,,,,,-0.0215,,,,,,-0.0188,,-0.0022,-0.008,0.002
2001-09-16,-1.4645,-78.4384,E,0.0384,0.045,0.0342,0.0267,0.0143,0.0009,-0.0081,-0.0146,-0.0254,-0.021,0.0059,0.0017,0.0133,0.0283,0.0207,-0.0003,0.0026,-0.0084,-0.0109,-0.0051,0.0008,0.0062,0.012,0.0059,-0.0006,0.0063,0.0148,0.0108,-0.0009,-0.0129
2001-09-16,-1.4645,-78.4384,N,,-0.0159,0.0054,1e-04,-0.0018,-0.0089,-0.0213,-0.0132,-0.0139,-0.0111,-0.0157,-0.007,-0.009,-0.013,-0.0092,-0.0043,-0.0024,-0.0085,-0.0057,-0.0037,0.0006,0.0083,0.0088,0.0104,0.0133,0.0071,0.0007,-0.0059,0.0163,0.0184
2001-09-16,-1.4645,-78.4384,NE,,0.0056,0.0108,0.0232,0.0175,0.0121,0.0159,0.0116,0.0118,0.0106,0.0103,0.0065,0.0039,0.0081,0.0033,-0.0016,-0.0016,-0.0039,-0.0014,-0.002,1e-04,-0.0008,0.0007,0.0036,-0.0021,-0.0076,-0.0017,-0.0014,0.0011,-0.0114
2001-09-16,-1.4645,-78.4384,NO,,0.0084,0.0199,-0.0003,-0.0085,0.0011,0.0051,-0.0034,-0.0079,-0.0142,-0.0173,-0.0047,-0.0014,-0.0049,-0.0009,-0.0026,-0.0066,-0.0009,-0.005,0.0016,0.0017,-0.0009,-0.0009,0.0093,0.0063,0.0086,0.0123,0.008,0.0048,0.0005
2001-09-16,-1.4645,-78.4384,O,,-0.0201,-0.0173,-0.0335,-0.0401,-0.0226,-0.0124,-0.0069,-0.0004,0.0076,0.0223,0.0262,0.028,0.0199,0.0175,0.0273,0.0181,0.0177,0.0083,0.0101,0.0112,-0.0084,-0.0142,-0.0185,-0.0226,-0.0178,-0.0201,-0.0188,-0.017,-0.0078
2001-09-16,-1.4645,-78.4384,S,,0.0096,0.0037,-0.0127,-0.0258,-0.0181,-0.0077,0.0051,0.0075,0.0151,0.0316,0.0293,0.0122,-0.0029,0.0023,-0.0045,-0.0159,-0.0265,-0.0121,-0.0135,-0.0144,0.0035,0.0128,0.0191,0.0083,-0.0101,-0.0176,-0.017,-0.0057,-0.005
2001-09-16,-1.4645,-78.4384,SE,,0.0399,0.0309,0.009,-0.0077,-0.0299,-0.0084,0.0152,0.0034,-0.0083,0.0087,0.0022,-0.0035,-0.0214,-0.0029,-0.0004,0.0238,0.013,0.0168,0.0149,0.0286,0.0269,0.0077,-0.0073,-0.0118,-0.0051,-0.0119,-0.023,-0.022,-0.0239
2001-09-16,-1.4645,-78.4384,SO,0.0804,0.0772,0.0757,0.0658,0.0509,0.0503,0.0355,0.0426,0.0355,0.0196,0.0179,-0.0003,-0.0259,-0.0299,-0.0264,-0.0208,-0.016,-0.0023,-0.0112,-0.0119,-0.0089,-0.0065,-0.0006,0.0006,0.0019,0.0065,0.0058,0.0095,0.0122,0.009
2001-11-03,-1.4639,-78.439,E,-0.0225,-0.0426,-0.1106,-0.0883,-0.1054,-0.0706,-0.0615,-0.0119,-0.0137,-0.0309,0.0008,0.0309,0.0091,-0.0078,0.0007,-0.0326,-0.0247,-0.0104,-0.0143,-0.0046,-0.0074,0.0118,0.0103,0.0105,0.013,0.007,0.0023,0.0085,0.0022,-0.0101
2001-11-03,-1.4639,-78.439,N,,-0.0115,-0.0005,0.017,0.0259,0.0312,0.0316,0.0246,-0.0046,-0.0076,-0.009,-0.0123,-0.0211,-0.0215,-0.0103,0.0021,-0.0184,-0.0184,-0.0035,-0.0083,-0.0008,0.0079,0.0003,-0.0055,0.0121,0.0123,0.0227,0.0164,0.0132,-0.0051
2001-11-03,-1.4639,-78.439,NE,,-0.1551,-0.1466,-0.1121,-0.0832,-0.0634,-0.0396,-0.0063,0.021,0.0379,0.0227,0.0322,0.0159,-0.0063,-0.0081,0.0088,0.0237,0.0361,0.0363,0.0268,0.0192,-0.0119,-0.0254,-0.0237,-0.0337,-0.026,-0.0117,0.002,0.0045,0.0106
2001-11-03,-1.4639,-78.439,NO,,0.1248,0.1201,0.1116,0.0857,0.1044,0.0704,0.0647,0.0739,0.0748,0.074,0.0645,0.0278,0.0139,0.026,0.0302,0.0495,0.0156,0.0052,-0.0214,-0.0427,-0.0203,-0.0302,-0.0205,-0.028,-0.009,-0.0121,-0.0109,-0.0182,-0.0228
2001-11-03,-1.4639,-78.439,O,,0.1305,0.1159,0.1031,0.0899,0.0691,0.0404,0.0311,0.0197,0.0256,0.0313,0.0317,0.0459,0.0512,0.0248,-0.0005,0.0042,0.0093,0.0243,0.0155,0.0241,0.0279,0.0213,0.005,-0.0039,-0.0153,-0.0216,-0.0368,-0.0441,-0.0554
2001-11-03,-1.4639,-78.439,S,,-0.072,-0.1135,-0.0785,-0.0399,-0.0211,-0.0203,-0.0034,0.0108,0.0212,0.0292,0.0165,0.0169,-0.0008,0.0074,0.007,0.0072,0.0095,0.0015,-0.0063,0.0079,0.0086,-0.025,-0.0206,-0.0202,-0.0366,-0.0233,0.0088,0.0213,0.0386
