date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-12-21,10.023,-83.7641,E,0.074,0.0692,0.0731,0.0691,0.0415,0.0486,0.0271,0.0407,0.0427,0.0307,0.0276,0.0182,0.0124,0.0047,-0.0013,-0.0068,-0.0016,-0.0019,-0.0138,-0.0134,-0.0114,-0.0091,-0.007,-0.0079,-0.0071,-0.009,-0.0062,-0.0068,-0.0005,0.0004
2000-12-21,10.023,-83.7641,N,0.1228,0.057,0.0108,0.0012,0.0563,-0.0019,0.0813,0.0576,0.0613,0.0825,0.0614,0.0635,0.0735,0.0677,0.0702,0.0649,0.053,0.0373,0.0169,0.0073,-0.0041,-0.0066,0.0071,0.0049,0.0107,-0.0023,-0.0156,-0.0344,-0.053,-0.1056
2000-12-21,10.023,-83.7641,NE,,0.0897,0.0629,0.0187,0.0345,0.0406,0.055,0.0443,0.0202,0.0087,0.0044,0.0055,0.006,0.0028,-0.0051,-0.0017,-0.0028,-0.0083,-0.0073,-0.0107,-0.0097,-0.0148,-0.0067,-0.0052,-0.0024,-0.0031,-0.0008,-0.0012,0.0044,0.0064
2000-12-21,10.023,-83.7641,NO,,0.1046,0.1171,0.1394,0.1672,0.1652,0.1554,0.1375,0.1305,0.121,0.0844,0.0725,0.0375,0.0261,0.003,-0.0185,-0.0375,-0.0393,-0.0531,-0.0238,0.0106,0.0116,-0.0058,0.0007,0.0037,-0.0314,-0.0208,-0.0333,-0.0429,-0.0594
2000-12-21,10.023,-83.7641,O,,0.0602,0.0805,0.1038,0.1306,0.147,0.1453,0.1402,0.1199,0.1169,0.1002,0.075,0.0516,0.0733,0.0708,0.0283,0.0142,-0.0133,-0.0145,-0.0173,-0.0381,-0.0414,-0.0341,-0.0317,-0.0009,-0.0058,-0.0194,-0.0217,-0.0329,-0.0415
2000-12-21,10.023,-83.7641,S,,0.0731,0.0022,-0.0119,-0.0155,-0.0238,-0.028,-0.0037,-0.0053,-0.0035,-0.0091,-0.0087,-0.0071,0.0018,0.0034,1e-04,0.001,0.0015,0.0015,0.0016,-0.0016,-0.0,-0.0022,0.0019,0.0034,-0.0102,-0.0128,-0.0046,-0.0024,0.0006
2000-12-21,10.023,-83.7641,SE,,0.0498,0.0348,1e-04,0.0183,0.0242,0.0079,0.0145,0.0125,0.0117,0.0071,0.006,0.0078,0.0127,-0.0149,-0.005,-0.0112,-0.0128,-0.0092,-0.0073,-0.007,-0.0053,-0.0093,-0.0101,-0.007,-0.0014,-0.0003,0.0006,0.0011,0.0016
2000-12-21,10.023,-83.7641,SO,,0.0293,0.0292,0.0298,0.0583,-0.0113,-0.0162,-0.0036,-0.0118,-0.0065,0.0006,-0.0049,0.0026,0.0139,0.0041,0.0124,0.0037,0.0036,0.0094,0.0128,0.0091,0.0067,-0.0167,-0.0066,-0.0119,-0.0108,-0.0116,-0.0129,-0.0026,-0.0156
2001-06-15,10.0241,-83.7638,E,0.164,0.1476,0.1322,0.1349,0.1196,0.1049,0.0915,0.0509,0.0486,0.0492,0.0347,0.0199,0.0195,0.0059,-0.01,-0.0165,-0.0253,-0.0312,-0.0347,-0.0405,-0.0326,-0.0274,-0.0273,-0.0139,-0.006,0.0046,0.0031,-0.0109,-0.0095,-0.0081
2001-06-15,10.0241,-83.7638,N,,-0.0206,-0.0342,-0.0619,-0.0395,-0.0653,0.0122,-0.0247,-0.0023,-0.0517,-0.0683,-0.0552,-0.0719,-0.0362,0.0086,0.0085,0.0922,0.1071,0.1124,0.102,0.0802,0.0875,0.0736,0.0614,0.0481,0.0225,-0.0221,-0.0694,-0.0946,-0.0973
2001-06-15,10.0241,-83.7638,NE,,0.1825,0.1437,0.1216,0.0821,0.0283,0.0198,0.0025,-0.0038,-0.0036,-0.0021,-0.0092,-0.0159,-0.0042,-0.0111,-0.0166,-0.016,-0.0187,-0.0255,-0.0158,-0.0195,-0.0098,-0.0075,0.0021,0.0129,0.0244,0.0245,0.0275,0.0237,0.0182
2001-06-15,10.0241,-83.7638,NO,0.0719,0.0305,-0.0862,-0.128,-0.1383,-0.0535,0.0144,0.0372,0.0504,0.0508,0.0553,0.0422,0.0412,0.0308,0.0202,0.0072,-0.0073,-0.0179,-0.0338,-0.0361,-0.0078,0.0296,0.0089,0.0267,0.012,-0.0006,-0.014,-0.0331,-0.0309,-0.0424
2001-06-15,10.0241,-83.7638,O,,-0.0049,-0.0483,-0.0517,-0.0406,-0.0224,-0.0058,0.0177,0.0355,0.0543,0.0625,0.0566,0.0338,0.0314,0.0303,0.0177,0.0186,0.0307,0.046,0.0339,0.0179,0.0076,0.0272,0.0269,0.0254,-0.0603,-0.0768,-0.0787,-0.0993,-0.1019
2001-06-15,10.0241,-83.7638,S,,0.1274,0.0662,0.0351,0.0073,0.0057,0.0067,0.0029,0.0005,-0.0028,-0.0013,-0.001,-0.0021,-0.0011,-0.0021,-0.004,-0.0014,-0.0021,-0.0056,0.0051,0.0104,0.0111,-0.0037,0.0044,0.004,0.0036,-0.0057,-0.0093,-0.0068,-0.0049
2001-06-15,10.0241,-83.7638,SE,,0.144,0.126,0.0768,0.0609,0.055,0.0201,0.0288,0.028,0.0184,-0.0021,-0.0151,-0.0136,-0.0118,-0.0015,-0.0026,-0.0026,-0.0061,-0.0075,-0.0086,-0.0115,-0.0085,-0.0086,-0.0088,-0.0029,-0.002,0.0115,0.0084,0.0078,0.0074
2001-06-15,10.0241,-83.7638,SO,,-0.0277,-0.0366,-0.052,-0.0501,-0.0648,-0.003,-0.0007,-0.088,-0.0598,-0.0526,-0.0455,-0.0353,-0.0386,-0.0298,-0.0247,-0.0083,-0.0191,-0.0042,0.0035,0.0249,0.0261,0.0239,0.0243,0.0127,0.0183,0.0258,-0.0023,0.0009,-0.0117
2001-12-24,10.023,-83.7641,E,0.0336,0.0288,0.0291,0.0374,0.0394,0.0374,0.0229,0.033,0.0382,0.0275,0.0282,0.0199,0.0071,0.0045,-0.0026,-0.0058,-0.005,-0.0027,-0.0162,-0.0143,-0.0119,-0.0073,-0.0051,-0.0087,-0.0083,-0.0108,-0.0062,-0.0047,0.0031,0.002
2001-12-24,10.023,-83.7641,N,0.109,0.055,0.0128,0.0041,0.0497,-0.0002,0.0692,0.0576,0.0618,0.0747,0.0553,0.0623,0.0587,0.0529,0.0574,0.0403,0.0357,0.0201,0.0088,0.0041,-0.0099,-0.0018,0.0049,0.0075,0.0079,-0.0063,-0.0174,-0.027,-0.0498,-0.0944
2001-12-24,10.023,-83.7641,NE,,0.0742,0.056,0.0269,0.0418,0.0446,0.0375,0.0546,0.0204,0.0059,0.0015,0.0026,-0.0011,-0.0019,-0.0072,-0.0042,-0.0082,-0.0091,-0.004,-0.0075,-0.0063,-0.0114,-0.0066,-0.0033,-0.0022,-0.0027,-0.0005,0.0033,0.0065,0.0082
2001-12-24,10.023,-83.7641,NO,,0.1159,0.1107,0.1194,0.1378,0.1339,0.1223,0.1077,0.096,0.0885,0.0553,0.0441,0.0133,0.01,0.003,0.0005,-0.0245,-0.027,-0.0385,-0.0249,0.0085,0.0109,0.0003,0.0011,0.001,-0.0194,-0.016,-0.0233,-0.0359,-0.0475
2001-12-24,10.023,-83.7641,O,,0.0696,0.0761,0.0782,0.1006,0.1068,0.1017,0.0937,0.0763,0.0753,0.0759,0.0668,0.0572,0.0612,0.0805,0.0307,0.0205,-0.0027,-0.0022,-0.0126,-0.0312,-0.0472,-0.0435,-0.0361,-0.0094,-0.0252,-0.0308,-0.0313,-0.0424,-0.0393
2001-12-24,10.023,-83.7641,S,,0.0752,0.0005,-0.0212,-0.0223,-0.0291,-0.0333,-0.0031,-0.0103,-0.003,-0.0046,-0.0034,-0.0018,-0.0013,0.0014,-0.0022,0.0011,-0.006,-0.0005,0.001,0.0016,0.0015,-0.0025,0.0037,0.0085,-0.0091,-0.0108,-0.0032,0.0013,0.0019
2001-12-24,10.023,-83.7641,SE,,0.0287,-1e-04,-0.0195,0.0176,0.0226,0.0095,0.0144,0.0153,0.0136,0.0112,0.0139,0.017,0.0152,-0.0138,-0.0019,-0.0062,-0.0096,-0.009,-0.0113,-0.0097,-0.011,-0.0045,-0.0099,-0.0055,0.0002,0.0021,0.0019,0.0014,0.0026
2001-12-24,10.023,-83.7641,SO,,0.0385,0.0299,0.0302,0.0408,-0.0112,-0.0168,-0.0045,-0.0164,-0.0067,-0.0068,-0.0086,-1e-04,0.0129,0.0049,0.0006,0.001,-0.0004,0.0014,-0.0002,-0.003,0.002,-0.0135,-0.0036,0.0079,-0.0028,-0.0059,,,
2002-03-14,10.023,-83.7641,E,0.1598,0.1654,0.1415,0.1323,0.1034,0.085,0.0674,0.0783,0.0668,0.0451,0.0326,0.019,0.0178,0.0115,0.0082,-0.0007,-0.0038,-0.0138,-0.0238,-0.0208,-0.0269,-0.022,-0.0175,-0.018,-0.0173,-0.0132,-0.0032,0.0072,0.0069,0.0135
2002-03-14,10.023,-83.7641,N,0.1025,0.0214,-0.0466,-0.0584,0.0407,-0.0244,0.1033,0.0942,0.1141,0.1338,0.1134,0.1222,0.1154,0.1145,0.1136,0.1023,0.0829,0.075,0.0475,0.028,0.0226,0.0038,0.0128,0.0246,0.022,-0.003,-0.0242,-0.0555,-0.1129,-0.1976
