date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-05-13,-5.0488,151.3342,E,,-0.0115,-0.027,-0.0238,-0.0189,-0.014,-0.0094,0.0129,-0.009,0.0032,0.0155,0.024,0.0395,0.0417,0.018,-0.0003,-0.0042,-0.0264,-0.0276,-0.0181,-0.0233,-0.0293,-0.0317,-0.0361,-0.026,-0.014,0.0095,0.0145,0.046,0.0641
2000-05-13,-5.0488,151.3342,N,0.1055,0.1097,0.102,0.0932,0.0638,0.047,0.0433,0.0329,0.0208,0.0004,-0.0026,0.0209,0.0252,0.0301,0.0351,0.0274,0.0165,0.0171,-0.0008,-0.0064,-0.0233,-0.0328,-0.0516,-0.0499,-0.0534,-0.0562,-0.0354,-0.0243,-0.0277,0.1101
2000-05-13,-5.0488,151.3342,NE,,-0.0108,-0.0034,-0.0035,0.0076,0.0066,-0.0009,-0.0243,-0.0251,0.0232,0.0267,0.0284,0.0245,-0.0086,-0.0118,-0.0107,-0.0108,-0.0246,-0.0205,-0.0155,-0.024,-0.0131,-0.0038,-0.0019,0.0062,-0.0118,-0.0139,-0.0036,0.0147,0.0303
2000-05-13,-5.0488,151.3342,NO,,0.0801,0.0652,0.0365,0.0239,0.0094,-0.0,0.002,-0.0199,-0.0031,-0.0052,0.0058,0.0122,0.0185,0.0163,0.027,0.0056,0.0199,0.0186,0.0234,0.0179,0.0022,0.0092,0.0063,0.0067,0.0022,-0.0154,,,
2000-05-13,-5.0488,151.3342,O,,0.15,0.1241,0.1013,0.0679,0.0217,0.0084,-0.0051,-0.0049,-0.0048,-0.0115,-0.0115,-0.0041,0.0047,0.0048,-0.0141,0.0124,0.0267,0.0266,0.0182,0.0182,0.0033,-0.0069,-0.013,-0.0225,-0.0194,-0.0266,-0.0232,-0.0155,-0.0297
2000-05-13,-5.0488,151.3342,S,0.1086,0.0886,0.0685,0.0552,,,,,,,-0.023,0.0494,,,,,,,,,,,,,,,,,,
2000-05-13,-5.0488,151.3342,SE,,0.0248,0.0028,-0.0008,-0.003,-0.0064,0.003,-0.012,-0.0069,0.0013,,,,,,,,,,,,,,,,,,,,
2000-05-13,-5.0488,151.3342,SO,,0.1519,0.1247,0.084,0.037,-0.0021,-0.0021,-0.0019,-0.0021,-0.0021,0.0018,-0.0012,-0.0017,-0.0014,-0.0008,-0.0002,,,,,,,,,,,,,,
2000-07-23,-5.051,151.3318,E,,,,,,,,,,,,,,,,,,,,,-0.017,,0.0043,0.0058,,1e-04,-0.0078,,-0.0019,-0.0068
2000-07-23,-5.051,151.3318,N,0.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-23,-5.051,151.3318,S,,,,,,,,,,,,,,,,,,,,,0.0006,,,-0.0035,-0.0012,,,0.0021,,0.0015
2000-07-23,-5.051,151.3318,SO,,,,,,,,,,,,,,,,,,,-0.003,,0.0089,0.0113,-0.0004,-0.002,-0.0045,-0.0012,0.0012,0.0,0.0019,0.0016
2000-09-09,-5.0459,151.3315,E,-0.0744,,,,,,,,,,,,,,0.0365,0.0294,0.0324,0.0254,0.0245,0.008,0.0028,-0.008,-0.0069,0.0061,0.0011,-0.0041,-0.0031,0.0094,-0.0007,0.0094
2000-09-09,-5.0459,151.3315,N,,0.0529,0.0557,0.0713,0.0642,0.0297,0.0024,-0.0012,0.0056,0.029,0.0467,0.0537,0.0353,0.0406,0.0132,-0.0257,-0.0437,-0.051,-0.0456,-0.0397,-0.0437,-0.0236,-0.0178,-0.0078,0.0052,0.0178,0.033,0.0317,,
2000-09-09,-5.0459,151.3315,NE,,0.0344,,,0.068,0.0247,0.0018,-0.042,-0.0566,-0.0324,-0.0902,-0.0142,0.0225,-0.0205,0.0784,0.013,-0.0855,0.0203,-0.007,-0.0109,-0.0039,0.0065,0.0034,-0.007,-0.03,-0.0423,-0.0033,0.0143,0.0185,0.0218
2000-09-09,-5.0459,151.3315,NO,0.0081,,,,,,,,,,,,,,,,,,,-0.0598,-0.031,0.0075,0.0251,0.0549,0.0371,,,,,
2000-09-09,-5.0459,151.3315,O,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-09-09,-5.0459,151.3315,S,0.0914,,0.044,0.0482,0.0534,0.0271,,,-0.0199,-0.0159,-0.0079,-0.0102,0.0056,0.0077,0.0206,0.0222,0.0253,0.0388,0.0073,0.0115,-0.0099,0.0213,0.009,0.016,0.0083,-0.004,-0.0203,-0.003,-0.0215,-0.0311
2000-09-09,-5.0459,151.3315,SE,,,,,,,,,,,,0.001,0.0118,0.0151,0.0041,0.0195,0.0031,-0.005,-0.0313,-0.0435,,-0.0348,-0.0176,-0.0284,-0.0232,,,,,
2000-09-09,-5.0459,151.3315,SO,,,0.0537,0.0422,0.0305,0.0132,0.0022,0.001,0.002,0.0008,-0.002,0.0002,-1e-04,-0.0013,0.0004,0.0032,0.0171,-0.0005,-0.0035,-0.0033,-0.0044,-0.0045,-0.0054,,,,,,,
2001-08-27,-5.0502,151.3318,N,0.2303,0.219,0.2095,0.1869,0.1825,0.1543,,,,,,,,,,,,-0.0232,0.0062,-0.033,0.0182,-0.0067,0.0115,-0.0439,-0.0073,0.0188,0.0055,-0.0019,-0.0104,-0.0006
