date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-05-26,56.1694,-159.3878,E,0.0062,0.0015,0.0012,0.0012,0.001,0.0007,0.0045,0.0012,0.0002,0.0002,0.0002,-0.0036,-0.0021,0.0,-0.0002,-0.0005,-0.0002,0.0018,0.0028,0.0002,1e-04,0.0013,0.0029,0.0014,-0.0002,-0.001,-0.0015,-0.0013,-0.0007,-0.0009
2000-05-26,56.1694,-159.3878,N,,0.0032,0.0032,0.0032,0.0011,0.0009,-0.0031,0.0009,0.001,0.001,0.0009,0.0007,0.0005,0.0004,0.0004,0.0003,0.0002,0.0002,0.0003,0.0,0.0006,0.0004,-0.0,-0.0035,-0.0037,-1e-04,0.0,-0.0005,-0.0005,-0.0005
2000-05-26,56.1694,-159.3878,NE,0.0055,0.0034,0.0013,0.0013,-0.0029,-0.0029,-0.0029,0.0014,0.0016,0.0014,0.0014,-0.0026,-0.0028,0.001,0.0014,0.0015,0.0014,0.0013,0.0013,0.0009,-0.0025,0.001,0.0012,0.0016,0.0013,0.001,0.001,-0.0025,-0.0025,-0.0025
2000-05-26,56.1694,-159.3878,NO,0.009,0.0044,0.0043,0.0041,0.0041,0.0078,0.0054,0.0031,0.0031,0.0048,0.006,0.0016,0.0011,0.0011,0.0006,1e-04,-0.0004,-0.0004,-0.0029,-0.0011,-0.0006,-0.0007,-1e-04,0.0018,0.0004,0.001,0.0005,-0.0003,-0.0005,-0.0007
2000-05-26,56.1694,-159.3878,O,-0.0005,-0.0007,-0.0048,-0.0049,-0.0049,-0.0033,-0.0036,-0.0018,-0.0021,-0.0022,-0.0027,-0.003,-0.0033,-0.003,-0.0029,0.001,0.0029,0.0004,-1e-04,-0.0007,-0.0009,0.0006,0.0019,0.0015,0.0009,0.0005,-0.0,0.0,-0.0013,-0.0026
2000-05-26,56.1694,-159.3878,S,,-0.0129,-0.0126,-0.0126,-0.0122,-0.0114,-0.0069,-0.0075,-0.0084,-0.0102,-0.01,-0.0094,-0.0048,-0.0045,-0.0045,-0.0045,-0.0032,-0.0015,-0.0012,0.0026,0.002,-0.0009,-0.0017,0.0022,0.0038,0.0026,0.0026,0.0047,0.0038,0.0032
2000-05-26,56.1694,-159.3878,SE,0.0034,0.0011,-0.0012,-0.0013,-0.0014,-0.0015,0.0005,-0.0015,0.0003,0.0021,0.0022,0.0021,0.0021,0.0019,0.0018,0.0016,-0.0024,0.0015,0.0015,0.0016,0.0015,0.0015,0.0013,0.0013,-0.0027,-0.0027,-0.0028,-0.0029,-0.003,-0.0029
2000-05-26,56.1694,-159.3878,SO,-0.0096,-0.0054,-0.0094,-0.0094,-0.0096,-0.0055,-0.0074,-0.0094,-0.0087,-0.0054,-0.005,-0.0052,-0.0054,-0.0057,-0.0022,0.0012,0.0012,0.0038,0.0041,0.0035,0.0028,0.0032,0.0028,0.0015,0.0011,1e-04,-0.002,-0.0026,-0.0014,0.0022
2000-11-02,56.1716,-159.3873,E,,1e-04,0.0022,0.0064,0.0044,0.0065,0.0023,0.0023,0.0022,0.0024,-0.0014,-0.0019,-0.0014,-0.0016,-0.0015,-0.0015,-0.0014,-0.0012,-0.0013,-0.0015,-0.0013,-0.0008,0.0028,-0.0008,-0.0012,-0.0009,-0.001,-0.0008,-0.0008,-0.0006
2000-11-02,56.1716,-159.3873,N,,,,,,,,,,0.0007,0.0007,0.0007,0.0007,0.0007,0.0006,0.0007,0.0006,0.0006,-0.0016,0.0006,0.0005,0.0005,0.0004,-0.0033,0.0006,0.0009,0.0009,0.0005,0.0003,-0.0035
2000-11-02,56.1716,-159.3873,NE,,,,,,,,,,0.0028,-0.0014,-0.0013,-0.0015,0.0007,-0.0015,-0.0014,-0.0013,-0.0013,-0.0014,-0.0014,0.0025,0.0026,-0.0015,-0.0015,-0.0015,-0.0011,-0.001,-0.0012,-0.0015,-0.0014
