date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-08,40.8173,14.4267,E,,,,,,,,,,,,,,,,,,,,0.0364,0.0586,0.065,0.0709,0.0322,0.0028,-0.0203,-0.045,-0.0515,-0.0597,-0.0552
2000-07-08,40.8173,14.4267,NO,0.3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-08,40.8173,14.4267,S,0.0621,0.0587,0.0343,-0.0477,-0.0512,-0.0807,-0.0771,-0.0659,-0.0243,0.0359,0.0261,0.0485,0.0441,0.0547,0.0543,0.033,-0.0187,-0.0011,-0.0197,-0.0466,-0.0407,-0.0335,-0.0184,-0.0137,-0.0027,-0.0016,0.0046,0.0111,0.0143,0.0224
2000-07-08,40.8173,14.4267,SE,,0.1829,0.1648,,,,,,,,,-0.0066,0.0111,-0.009,0.0228,0.0243,0.0048,0.024,-0.0073,-0.016,-0.0378,-0.0476,-0.0363,-0.0184,-0.0261,-0.0083,-0.002,0.0081,-0.0065,-0.0279
2000-07-08,40.8173,14.4267,SO,,,,,,,,,,0.1046,0.0916,0.0995,0.0959,0.0835,0.0205,-0.0113,-0.0575,-0.0772,-0.0775,-0.0567,-0.0534,-0.0423,-0.0342,-0.0133,-0.0049,-0.0043,-0.0025,-0.0038,0.0068,0.0107
2000-08-02,40.8205,14.4316,E,0.0833,0.0791,0.0632,0.0632,0.0927,0.0738,0.0888,0.0522,0.0468,0.041,0.0279,0.0285,0.014,0.0127,0.0127,0.0186,0.0073,0.0128,-0.0113,-0.0206,-0.0389,-0.0506,-0.0497,-0.0304,-0.013,0.0018,0.0056,0.0121,0.0123,0.0044
2000-08-02,40.8205,14.4316,N,-0.0603,-0.0469,-0.0487,-0.0268,-0.0268,-0.0244,0.0415,0.0269,0.0545,0.0237,0.0163,0.0223,0.0248,0.0037,-0.0414,-0.0683,-0.0755,-0.0733,-0.0207,0.0183,-0.0092,-0.028,-0.0118,0.0129,-0.015,0.0283,0.0659,0.0579,-0.0096,-0.0199
2000-08-02,40.8205,14.4316,NE,0.0482,0.0596,0.0448,0.0438,0.0536,0.0478,0.0353,0.0067,-0.0023,0.0193,0.025,0.0513,0.0684,0.0267,-0.0132,-0.0449,-0.0615,-0.033,-0.0832,-0.1036,-0.0609,-0.0424,-0.0167,0.0072,0.0168,0.0224,0.038,0.0282,-1e-04,-0.0239
2000-08-02,40.8205,14.4316,NO,,-0.3288,-0.3024,-0.2638,-0.2246,-0.1817,-0.1339,-0.0882,-0.0403,0.0022,0.0379,0.0623,0.0659,0.0639,-0.012,-0.0764,-0.0809,-0.0371,-0.0376,-0.0193,-0.009,-0.0057,-0.0126,-0.0003,0.0058,-0.0047,-0.0072,0.0038,0.0245,0.0651
2000-08-02,40.8205,14.4316,O,,-0.2073,-0.1916,-0.2087,-0.1896,-0.1417,-0.1139,-0.0719,-0.0649,-0.0212,-0.0063,0.0198,0.0558,0.0668,0.0979,0.1097,0.1082,0.0891,0.0835,0.0552,0.0006,-0.0545,-0.0492,-0.0355,-0.0313,-0.0317,-0.0306,-0.0221,0.0136,0.0219
