date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-31,-9.2003,149.0757,E,0.0172,0.0066,0.0039,0.0011,0.0009,0.0011,0.0016,-0.0026,-0.0038,0.0008,0.0085,0.0125,0.009,0.0029,0.0025,0.0064,0.0055,0.0007,1e-04,0.0002,-0.0049,-0.0047,-0.0028,-0.0057,-0.0049,-0.001,-0.0005,0.0028,0.0013,0.0055
2000-07-31,-9.2003,149.0757,N,,0.0329,0.0286,0.0213,0.0164,0.0085,-0.0016,-0.0004,0.0016,-0.0008,,,,,,,,,,,,,,,,,,,,
2000-07-31,-9.2003,149.0757,NE,,-0.0021,-0.004,-0.004,-0.0044,-0.0056,-0.0057,-0.0059,-0.0068,-0.0011,0.0047,0.0105,,0.0109,0.0094,,,,,,,,-0.0005,0.0002,-0.0035,-0.0003,0.0006,0.0037,-0.0027,-0.0067
2000-07-31,-9.2003,149.0757,NO,-0.0223,-0.0183,-0.0289,-0.0287,-0.0219,-0.0196,-0.0069,0.0006,0.0014,-0.0015,,,,,,,,,,,,,,,,,,,,
2000-07-31,-9.2003,149.0757,O,,0.0138,0.006,0.0014,-0.0015,-0.0005,0.0007,-0.0012,0.0006,0.0085,0.0113,0.0066,0.0005,0.0026,-0.0017,-0.0032,-0.0014,0.0046,0.002,-0.0042,-0.0061,0.0037,0.001,-0.0076,-0.008,-0.0039,-0.0009,-0.0029,-0.0052,-0.0047
2000-07-31,-9.2003,149.0757,S,,0.015,0.0171,0.0159,0.0169,0.0161,0.0153,0.0102,0.0084,0.0037,-0.0026,-0.0034,-0.0036,-0.0036,-1e-04,0.0005,0.0021,-0.0013,-0.0033,-0.0038,-0.002,-0.0035,0.0011,0.0044,-0.0008,-0.0035,0.0015,-0.0004,-0.0047,-0.0031
2000-07-31,-9.2003,149.0757,SE,,0.0148,0.0095,0.0121,0.0144,0.0149,0.008,0.0043,0.0014,-0.0025,-0.0084,-0.0047,-0.004,-0.0034,-0.0085,-0.0082,-0.0095,-0.0014,-0.0024,0.0006,0.0031,0.003,0.0023,0.0045,0.0042,0.0025,0.002,0.0044,0.0052,0.0063
2000-07-31,-9.2003,149.0757,SO,,0.023,0.019,0.0125,0.0033,0.0011,-0.007,-0.0025,0.0003,0.0029,0.0035,-0.002,-0.0044,-0.0048,-0.0052,-0.0036,-0.0006,1e-04,-0.0009,-0.0003,-0.002,0.0003,-0.0037,-0.0039,-0.0022,-0.0008,0.0035,-0.0012,0.0005,-0.0019
2000-08-24,-9.2023,149.0697,E,0.0153,0.0041,-0.0072,-0.0,0.0062,-0.0028,-0.0035,0.0029,0.0036,-0.001,0.0048,0.0028,0.0034,0.0059,0.006,0.0064,0.0025,0.0022,-0.002,-0.0116,-0.0134,-0.0087,-0.0037,-0.0021,-0.0055,-0.003,0.0046,0.007,0.007,0.0089
2000-08-24,-9.2023,149.0697,N,,0.0267,0.0142,0.0099,0.0058,0.0051,0.0007,-0.0003,0.0036,0.0065,0.002,0.0041,-0.0022,-0.0073,-0.0071,-0.001,0.0002,0.0009,-0.0,-0.0019,-0.0061,-0.0035,-0.0043,-0.0059,-0.0081,-0.003,-0.0006,0.0013,0.0081,0.0095
2000-08-24,-9.2023,149.0697,NE,,0.0198,0.0112,0.0081,0.0055,0.0043,0.0048,0.0061,0.0059,0.0033,0.0036,0.0106,0.0096,0.0063,0.0061,0.009,0.0036,-0.0008,-0.0067,-0.0042,-0.0069,-0.0074,-0.0099,-0.0095,-0.0088,-0.0059,-0.0055,0.0074,0.0075,0.0108
2000-08-24,-9.2023,149.0697,NO,,0.0332,0.0186,0.0063,-0.0021,-0.0068,-0.0029,-0.0044,-0.0055,-0.0044,-0.0042,-0.0031,0.0008,0.0021,0.0028,-0.0004,-0.0033,-0.0029,-0.002,0.0039,0.0051,0.0013,-0.0004,-0.0021,0.0005,0.0005,0.0026,0.0022,-0.0007,-0.0012
2000-08-24,-9.2023,149.0697,O,,0.0578,0.0531,0.0466,0.0318,0.0324,0.0252,0.0241,0.0123,0.0056,0.0046,0.0092,0.011,0.0096,0.0011,-0.0056,-0.007,-0.0098,0.0011,0.0037,0.0002,1e-04,-0.0002,-0.0007,0.0014,-0.0042,-0.0045,-0.0084,-0.0072,-0.0085
2000-08-24,-9.2023,149.0697,S,0.042,0.0349,0.0227,0.02,0.0118,0.0067,0.0112,0.0054,0.0031,-0.0012,-0.0068,-0.0092,-0.0103,-0.0099,0.0066,0.0034,-0.0011,0.0006,0.0069,0.0055,0.0044,0.001,0.0021,-0.0008,-0.0017,-0.0047,-0.0045,-0.0016,0.0042,0.0016
2000-08-24,-9.2023,149.0697,SE,,0.0322,0.0219,0.0164,0.0077,0.0041,-0.0003,-0.001,-0.0023,-0.0042,-0.0036,-0.0041,0.0005,-0.0019,-1e-04,0.0017,0.0011,0.0044,0.0026,0.0027,0.0033,0.0039,0.0003,-0.0006,0.0022,0.0022,-0.0004,-0.0004,-0.0016,0.0004
2000-08-24,-9.2023,149.0697,SO,,0.064,0.0585,0.0467,0.0476,0.0197,0.0205,0.0116,0.0059,-0.0002,-0.0034,-0.006,-0.0073,-0.0066,-0.0063,-0.0021,-0.0014,-0.0066,0.0011,0.0014,-0.0045,-0.0039,-0.0027,-0.0057,-0.005,-0.0035,0.0004,-0.0006,0.0023,-0.0004
2001-03-04,-9.2025,149.0694,E,0.0457,0.0315,0.0278,0.0218,0.0144,0.0166,0.0048,0.0007,-0.0007,-0.0059,-0.0054,-0.007,-0.002,-0.0017,-0.0023,0.003,0.01,0.0118,0.0103,0.0068,0.0015,-0.006,-0.0075,-0.0062,-0.0029,-0.0018,-0.0026,-0.0005,0.0016,0.0039
2001-03-04,-9.2025,149.0694,N,,0.0266,0.0138,0.0043,-0.0081,-0.0104,-0.0141,-0.016,-0.0104,-0.0063,-0.0057,-0.0033,-0.0035,0.0014,-0.0064,-0.011,-0.0096,0.0009,0.0008,-0.0,0.0044,0.0082,0.0015,-0.0049,-0.0031,-0.003,0.0005,0.0067,0.0097,0.0103
2001-03-04,-9.2025,149.0694,NE,,0.0322,0.0192,0.0075,0.0044,0.002,0.0082,0.0153,0.0095,0.0014,-0.0068,-0.0111,-0.0067,-0.0071,-0.0029,0.0028,0.013,0.0141,0.0154,0.0082,0.0032,-0.0022,-0.0023,-0.0056,-0.0066,-0.0012,0.0012,-0.0031,-0.0051,-0.0021
2001-03-04,-9.2025,149.0694,NO,,0.0402,0.0277,0.019,0.0168,0.0127,0.0143,0.0074,0.0043,0.0035,-0.0012,-0.0018,0.0025,0.0039,0.0017,-0.004,-0.0062,0.0032,0.0084,0.0163,0.0107,0.001,-0.0057,-0.0084,-0.0062,-0.0042,-0.0013,-0.0006,-0.0022,-0.0004
