date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-11,-39.42,-71.9401,E,,0.3379,0.1476,0.1686,0.2083,0.2006,0.1355,0.0828,0.0183,-0.0142,-0.0228,-0.0064,-0.0004,-0.005,0.0136,0.0119,0.009,0.01,-0.0071,-0.0125,-0.01,-0.0175,-0.011,-0.0079,-0.0043,-0.005,0.0054,-0.003,-0.0005,0.0006
2000-01-11,-39.42,-71.9401,N,0.3682,0.1632,0.1657,0.0501,0.0502,0.0697,0.0553,0.0383,0.0558,0.0634,0.058,0.0428,0.0339,0.0187,-0.0036,-0.0459,-0.0553,-0.0661,-0.0718,-0.0669,-0.0596,-0.0512,-0.05,-0.0462,-0.0403,-0.036,-0.0354,-0.0315,-0.0307,-0.0259
2000-01-11,-39.42,-71.9401,NE,0.4938,-0.108,-0.1654,-0.1647,-0.1201,-0.0815,-0.0582,-0.0392,-0.0037,0.0124,0.0583,0.0744,0.0478,0.1191,0.0563,-0.0257,-0.0569,-0.0771,-0.0755,-0.0759,-0.065,-0.0473,-0.025,-0.0311,-0.0079,0.0078,0.0073,0.0221,0.0391,0.0473
2000-01-11,-39.42,-71.9401,NO,,0.2949,0.3425,0.2874,0.203,0.1582,0.1476,0.0685,0.0783,0.0507,-0.0159,-0.0129,-0.0221,-0.0253,-0.0222,-0.0267,-0.0277,-0.0235,-0.0229,-0.024,-0.0203,-0.0186,-0.0134,-0.0106,-0.0049,0.0005,0.0039,0.008,0.0102,0.0153
2000-01-11,-39.42,-71.9401,O,,0.808,0.5342,0.3304,0.2006,0.1272,0.0487,0.0221,0.0127,0.0039,-0.003,-0.0097,-0.0121,-0.0111,-0.0096,-0.0125,-0.0113,-0.0101,-0.0082,-0.0068,-0.0075,-0.0046,-0.0013,0.0005,0.0018,0.004,0.0056,0.0056,0.0039,0.0044
2000-01-11,-39.42,-71.9401,S,0.6055,0.6055,0.4025,0.0932,0.0572,0.0626,0.0392,0.0325,0.0371,0.0359,0.0316,0.0287,0.021,-0.0163,-0.0309,-0.029,-0.0332,-0.0301,-0.0297,-0.022,-0.0181,-0.0146,-0.0168,-0.0122,-0.0065,-0.0038,0.0046,0.0102,0.0168,0.0158
2000-01-11,-39.42,-71.9401,SE,,0.2966,0.1905,0.1063,0.0851,0.0785,0.0741,0.0578,0.049,0.0573,0.0558,0.0404,0.0222,-0.0173,-0.0421,-0.0494,-0.0403,-0.032,-0.0242,-0.02,-0.0128,-0.0062,0.0005,0.0067,0.0138,0.0203,0.0241,0.0331,0.0476,0.0738
2000-01-11,-39.42,-71.9401,SO,,0.7606,0.6635,0.3839,0.1507,0.0943,0.0639,0.0387,0.0204,0.0119,0.0122,0.0083,0.0032,-0.0063,-0.0138,-0.0163,-0.0131,-0.0158,-0.0129,-0.0116,-0.0096,-0.0074,-0.0057,-0.0035,-0.001,0.0012,0.0033,0.0053,0.0072,0.0087
2000-03-24,-39.4204,-71.9398,E,0.5994,0.3626,0.2207,0.0301,-0.0059,0.0026,-0.0015,-0.0053,-0.0009,-0.0004,-0.0005,-0.0,0.0002,0.0048,0.0051,0.0014,0.0015,0.0017,-0.0021,-0.0019,-0.0018,-0.0014,-0.0009,-0.0013,-0.0011,-0.0011,-0.0009,-0.0006,-0.0005,-0.0002
2000-03-24,-39.4204,-71.9398,N,,0.5432,0.3385,-0.0094,0.0015,0.0017,-0.0022,-0.004,-0.0037,-0.0034,0.0011,-0.0026,-0.0024,0.0021,0.0002,-0.0015,0.0031,0.0032,0.0034,0.0035,-0.0006,-0.0003,0.004,-0.0003,-0.0022,-0.0043,-0.0041,-0.004,-0.0039,-0.0038
2000-03-24,-39.4204,-71.9398,NE,0.469,0.4686,0.1922,0.0582,-0.0035,0.0008,-0.0065,-0.0068,-0.0055,-0.0045,-0.0038,-0.0039,-0.0028,-0.0036,-0.0011,0.0038,0.0048,0.0053,0.001,-0.0031,-0.0054,-0.0011,-1e-04,-0.001,-0.0036,-0.0016,-0.0033,-0.0015,-0.0036,-0.0026
2000-03-24,-39.4204,-71.9398,NO,0.5417,0.376,0.148,0.0371,-0.0065,-0.0042,-0.0061,-0.0103,-0.0059,-0.0057,-0.0053,-0.0091,-0.0046,-0.0,0.0041,0.0024,0.0045,0.005,0.0051,0.0052,0.0054,0.0055,0.0017,0.0017,0.0015,-0.0026,-0.0027,-0.0026,-0.0067,-0.0066
2000-03-24,-39.4204,-71.9398,O,0.7512,0.4543,0.0667,-0.0149,-0.0039,-0.0082,-0.0083,-0.0084,-0.0085,-0.0086,-0.0044,-0.0045,-0.0003,-0.0003,0.0037,0.0036,-0.0006,-0.0007,-0.0008,0.0034,0.0054,0.0073,0.0072,0.0028,0.0025,-0.0019,-0.0022,-0.0023,-0.0024,-0.0025
2000-03-24,-39.4204,-71.9398,S,,0.2995,0.2995,,0.0166,0.0042,-0.0038,-0.0035,-0.0032,0.0015,0.0016,-0.002,0.0003,0.0008,-0.001,-0.0005,0.0,0.0041,0.0004,0.0004,-0.0014,-0.0033,0.0008,0.0009,-0.0032,-0.0027,-0.0023,0.0015,-0.0018,-0.0014
2000-03-24,-39.4204,-71.9398,SE,,0.4549,0.2156,0.0366,0.024,0.0179,0.0074,0.0054,0.0014,0.0016,0.0018,-0.0022,-0.0021,-0.0019,-0.0016,-0.0014,0.0029,-0.0011,-0.001,-0.001,-0.0009,-0.0009,-0.0008,-0.0005,-0.0002,-0.0,0.0002,0.0003,0.0006,0.0008
2000-03-24,-39.4204,-71.9398,SO,0.6986,0.3746,0.1938,0.0184,-0.0068,-0.0108,-0.0103,-0.006,-0.0076,-0.0053,-0.005,-0.0043,-0.002,0.0003,0.0008,0.0013,0.0016,0.0022,0.0066,0.007,0.0072,0.0032,0.0033,-0.0006,-0.0004,-0.0002,-0.0042,-0.0041,-0.0039,-0.0078
2001-02-07,-39.4204,-71.9398,E,0.4266,0.2669,0.1568,0.0849,0.0898,0.0939,0.0705,0.0269,0.0188,-0.0051,-0.0145,-0.0198,-0.0191,-0.0186,-0.0132,-0.0085,-0.0089,-0.0114,-0.0121,-0.0114,-0.0098,-0.0075,-0.0071,-0.0049,-0.004,0.0026,0.0056,0.0089,0.0116,0.0118
2001-02-07,-39.4204,-71.9398,N,,0.4273,0.2184,0.2136,,,0.0921,0.0348,0.036,0.0088,-0.0059,-0.0081,-0.0075,-0.0109,-0.009,-0.008,-0.0103,-0.0095,-0.0083,-0.0067,-0.0055,-0.0009,-0.0038,-0.0027,-0.0018,-0.0008,-0.0002,0.0006,0.0014,0.0015
2001-02-07,-39.4204,-71.9398,NE,0.242,0.2389,0.0318,-0.0102,-0.0228,-0.0464,-0.0355,-0.0592,-0.0663,-0.03,0.015,0.0058,0.0319,-0.0191,-0.0169,-0.0111,-0.0248,-0.0197,-0.0233,-0.0189,-0.0222,-0.011,-0.0074,-0.0091,-0.0043,-0.0025,0.0012,0.006,0.0087,0.016
2001-02-07,-39.4204,-71.9398,NO,0.4167,0.4009,0.2148,,0.0621,0.0453,0.0281,0.0192,0.0174,0.0131,0.0083,0.0023,-0.0014,-0.0019,-0.0062,-0.0067,-0.0056,-0.0064,-0.0071,-0.0062,-0.0062,-0.0051,-0.0037,-0.0033,-0.0006,0.0022,0.0035,0.0035,0.0051,0.0059
2001-02-07,-39.4204,-71.9398,O,0.5949,0.5565,0.3128,0.1553,0.092,0.0443,0.0244,0.0186,0.0046,0.0008,-0.0028,-0.0003,0.0021,-0.001,-0.0014,-0.0008,-0.0045,-0.0038,-0.0036,-0.0031,-0.0026,-0.0018,-0.0014,-0.001,-0.0005,0.0,0.0003,0.0006,0.0009,0.0012
2001-02-07,-39.4204,-71.9398,S,,0.3909,0.3909,0.2796,0.0871,0.0319,0.0281,0.004,-0.0038,-0.0034,0.0012,0.0058,0.0022,0.0025,-0.001,-0.0009,-0.0004,-0.004,-0.0037,-0.0033,-0.0028,-0.0025,-0.0022,-0.0017,0.0019,-0.0013,-0.0011,-1e-04,0.0035,0.0007
