date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-06-15,-1.4551,29.4818,E,-0.0021,0.0007,0.0058,0.0075,0.0092,0.0058,0.0035,-1e-04,-0.002,-0.0056,-0.0045,-0.0022,-0.0014,-0.0013,-0.0007,0.0025,-0.0002,0.0018,0.0039,0.0057,0.0022,0.0036,-0.0017,-0.003,-0.0072,-0.0058,-0.0032,-0.0038,-0.0032,-0.0052
2000-06-15,-1.4551,29.4818,O,0.0093,0.0007,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-15,-1.4551,29.4818,S,,0.0155,0.0143,0.0095,0.0071,0.0083,0.0059,0.0049,0.0022,0.0004,0.0014,0.0055,0.003,0.004,0.006,-0.0005,0.001,0.0052,0.0044,-0.0019,-0.0016,0.0015,-0.0002,-0.0012,-0.0008,0.001,0.0037,-0.0008,-0.0034,-0.0042
2000-06-15,-1.4551,29.4818,SE,,0.007,0.0084,0.0098,0.0072,0.0088,0.0096,0.0113,0.0094,0.0089,0.007,0.0054,0.0032,-0.0036,0.0021,0.0018,-0.0013,-0.0003,-1e-04,0.0022,0.0022,-0.001,0.002,0.0045,0.0041,0.0029,0.0055,0.0008,-0.0033,-0.0018
2000-06-15,-1.4551,29.4818,SO,,0.0012,0.0006,0.0005,-0.0,-0.0,1e-04,-0.0009,-1e-04,0.0093,0.0102,0.003,0.0007,-0.001,-0.0021,-0.0033,-0.0019,0.0059,-1e-04,0.0023,-0.001,-0.0019,-0.0015,-0.002,-0.0032,-0.004,-0.0045,-0.0031,-0.0041,-0.0038
2000-09-03,-1.4537,29.485,E,0.0008,-0.0017,-0.0035,-0.0041,-0.0066,-0.005,-0.0039,-0.0071,-0.0042,-0.0033,-0.0015,-0.0009,-0.0028,0.0005,0.0,0.0018,0.0057,0.0067,0.0047,0.0035,0.0005,0.0002,0.0011,0.0006,-0.0009,-0.0008,-0.003,-0.0018,-0.0008,-0.0036
2000-09-03,-1.4537,29.485,N,-0.0201,-0.0251,-0.0222,-0.0232,-0.0221,-0.022,-0.0219,-0.0173,-0.0175,-0.0137,-0.0131,-0.0137,-0.0135,-0.0164,-0.0158,-0.0127,-0.0094,-0.005,-0.0044,-0.0034,-0.0028,0.0017,0.0071,0.0057,0.0112,0.0071,0.0078,0.009,0.0079,0.0153
2000-09-03,-1.4537,29.485,NE,,-0.0058,-0.0054,-0.0069,-0.0073,-0.0061,-0.0041,-0.0029,-0.0045,-0.0055,-0.0017,0.0004,0.0038,0.0052,0.007,0.0067,0.0057,0.0089,0.0014,-0.0025,-0.0005,0.0014,0.0022,-0.0008,-0.0028,-0.0026,-0.0032,-0.0015,-0.0039,-0.0031
2000-09-03,-1.4537,29.485,NO,,-0.0278,-0.031,-0.0287,-0.0255,-0.026,,,,,,,-0.0226,-0.0222,,,0.0015,,0.0008,0.0097,-0.0056,0.0059,0.0191,0.0232,0.0171,-0.0,-0.0191,,,
2000-09-03,-1.4537,29.485,O,0.0104,0.0044,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
2000-09-03,-1.4537,29.485,S,,0.0091,0.0103,0.0097,0.0094,0.0093,0.0079,0.0066,0.0055,0.0052,0.0059,0.007,0.0064,0.0071,0.0068,0.0068,0.0048,0.0022,0.0008,-0.0023,-0.0033,-0.003,-0.0042,-1e-04,-0.0033,-0.0038,-0.0044,-0.0052,-0.003,0.0008
2000-09-03,-1.4537,29.485,SE,,0.0088,0.0063,0.0071,0.0051,0.0089,0.0023,0.0035,0.0013,0.0021,0.0013,0.0003,1e-04,0.0003,0.002,0.0036,0.0014,0.0015,0.0014,-0.0022,-0.0008,-0.0053,-0.0005,-0.0026,0.001,-0.0006,-0.0022,-0.0009,-0.0005,-0.0009
2000-09-03,-1.4537,29.485,SO,,0.003,0.0008,0.0005,0.0006,0.0006,0.0004,0.0003,,,,,,,,,,,,,,,,-0.0003,-0.0002,-0.0002,-0.0002,-0.0005,-0.0003,-0.0003
2002-06-05,-1.4607,29.4848,E,0.0734,,,,,,,,-0.0004,-0.0031,0.0019,0.0149,0.0191,0.0201,-0.0064,0.0033,0.0041,0.0011,0.001,-0.0047,-0.0114,-0.0133,-0.0138,-0.0118,-0.0078,-0.0015,0.0071,0.0103,0.0123,0.0169
2002-06-05,-1.4607,29.4848,N,0.0692,0.0229,-0.0196,-0.0325,,,,,,,,,,,,,,,,,0.0029,-0.0052,-0.0036,0.0041,0.005,0.0042,0.0002,-0.0017,-0.006,-0.0068
2002-06-05,-1.4607,29.4848,NE,,0.038,0.0105,-0.0045,-0.0089,-0.0172,-0.019,-0.0047,-0.0165,-0.0371,-0.0407,-0.0365,-0.0028,0.0176,0.0259,0.028,0.0243,0.0213,0.0184,0.008,-0.002,-0.0062,-0.0069,-0.0046,0.002,0.0067,0.002,0.0013,0.0013,-0.0037
2002-06-05,-1.4607,29.4848,NO,,0.0938,0.0598,0.0554,0.0538,0.0432,0.0324,,,0.0112,,,,,,,,,,,,0.0014,-0.0007,0.0117,0.0063,-0.0002,0.0037,0.0019,0.0018,0.0053
2002-06-05,-1.4607,29.4848,O,,0.1307,0.1134,0.0861,0.0398,0.018,0.0047,0.0182,0.0133,0.0173,0.0148,0.0085,0.0019,-0.0026,-0.0061,-0.0066,-0.009,-0.0145,-0.0154,-0.0108,-0.0037,0.0002,1e-04,-0.0016,1e-04,0.0021,0.0038,0.0056,0.0046,0.0024
2002-06-05,-1.4607,29.4848,S,,0.148,0.122,0.064,0.0361,-0.0004,-0.0164,-0.0146,-0.0132,-0.0131,-0.0047,-0.0082,-0.0026,-0.001,0.0096,0.0171,0.0174,0.0013,0.0024,0.0021,-0.0032,-0.0038,-0.0081,-0.007,-0.0061,-0.0058,-0.0043,-0.0036,-0.0026,-0.0017
2002-06-05,-1.4607,29.4848,SE,,0.1142,,,,,,,,,,,,,,0.0014,0.007,0.0048,0.0005,0.0005,-0.0,-0.0,-0.0076,0.0014,-0.0034,-0.002,-0.0003,0.0038,0.0036,0.0032
2002-06-05,-1.4607,29.4848,SO,0.0968,0.0674,0.0457,-0.0239,-0.0632,-0.0713,-0.0649,-0.0562,-0.0386,-0.0165,0.0134,0.0259,0.0529,0.023,0.0178,0.0123,0.007,0.0102,0.0015,0.0042,0.0027,-0.0014,-0.0007,-0.0145,-0.0163,-0.0196,-0.0126,-0.008,-0.0055,-0.0023
2003-01-31,-1.4608,29.4845,E,0.0936,0.0987,0.0643,0.0629,0.0751,0.0702,0.0532,0.0349,0.0214,0.0005,-0.0018,-0.0043,-0.0139,-0.0131,-0.0164,-0.0156,-0.0116,-0.0083,-0.0045,-0.0034,-0.0037,-0.0056,-0.0044,-0.0046,-0.0014,0.003,0.0056,0.0039,0.0055,0.0116
2003-01-31,-1.4608,29.4845,N,0.0995,0.0671,0.0368,0.0096,-0.0355,-0.0377,-0.0364,-0.0363,-0.0386,-0.039,-0.0404,-0.0401,,,,,,,,,,0.0589,0.0513,0.0428,0.0377,0.0263,0.0089,0.0106,-0.0016,-0.0065
2003-01-31,-1.4608,29.4845,NE,,0.0656,0.0602,0.0552,0.0509,0.0464,0.0492,0.0592,0.0294,0.0176,0.0149,0.0052,0.0017,0.0069,-0.0111,-0.0166,-0.0215,-0.0217,-0.0212,-0.0192,-0.0195,-0.0209,-0.0175,-0.0127,-0.0117,0.003,0.0004,0.0153,0.0202,0.0151
2003-01-31,-1.4608,29.4845,NO,,0.0275,0.009,-0.0072,-0.0262,-0.0348,-0.027,-0.0222,-0.021,-0.0148,-0.0486,-0.0018,0.0111,,,,,0.0145,0.0184,0.008,0.0085,0.0046,-0.0036,-0.001,0.0013,0.0013,0.0003,-0.002,-0.0043,-0.0074
2003-01-31,-1.4608,29.4845,O,,0.0426,0.0317,0.0204,0.0032,-0.0079,-0.0315,-0.0398,-0.0416,-0.0373,-0.0234,-0.0184,-0.0099,-0.0034,-0.0003,0.0139,0.0197,0.0219,0.0226,0.014,0.0052,-0.008,0.0135,0.0144,0.0189,0.0218,0.0245,0.0214,0.021,0.0223
2003-01-31,-1.4608,29.4845,S,,0.0632,0.0179,0.0166,0.0084,-0.009,-0.0146,0.0022,0.0252,0.0439,0.0426,0.0383,0.034,0.0165,0.0252,0.0214,0.0167,-0.0051,-0.0248,-0.0263,-0.0279,-0.0243,-0.0229,-0.02,-0.0166,-0.0123,-0.0095,-0.0063,-0.0,0.005
2003-01-31,-1.4608,29.4845,SE,,0.1118,0.0957,0.0759,0.0699,0.0562,0.0372,0.0169,0.0055,0.0013,-0.0033,0.0004,0.0022,0.0043,0.0002,0.0005,-0.0009,-0.0031,-0.0042,-0.0069,-0.0043,-0.0048,-0.0055,-0.0051,-0.0042,-0.0029,0.0018,0.002,0.0064,0.009
2003-01-31,-1.4608,29.4845,SO,0.0192,-0.0113,-0.0255,-0.0299,-0.0298,-0.0238,-0.0284,-0.0178,-0.0035,0.0176,0.0363,0.0238,0.0297,0.0292,0.0269,0.0014,0.0021,-0.0046,-0.0162,-0.0155,-0.0154,-0.0038,-0.0067,-0.0013,0.0027,0.0024,-0.0112,-0.0073,-0.0026,0.0047
2003-07-26,-1.4575,29.4856,E,0.0588,0.0276,0.027,0.0262,0.0259,0.0245,0.0173,0.0093,0.0091,0.0036,-0.0003,-0.0048,-0.002,-0.0025,-0.0051,-0.0039,-0.0024,-0.0016,,,-0.0005,-0.0019,-0.0007,-0.0006,0.0016,0.0019,0.0016,0.0047,0.0044,-0.0003
2003-07-26,-1.4575,29.4856,N,0.0189,-0.0033,-0.0014,-0.0024,-0.0107,-0.0095,0.0066,0.0074,0.0025,-0.0019,-0.0012,0.0072,0.0079,-0.0064,-0.0133,-0.0123,-0.0015,-1e-04,0.005,0.0063,0.0036,0.0036,0.0024,-0.0014,-0.004,-0.003,0.0023,-0.0014,-0.0049,-0.0038
2003-07-26,-1.4575,29.4856,NE,,0.0065,0.0081,0.0139,0.0084,0.0081,0.0097,0.0093,0.0058,0.0007,-0.0024,-0.0084,-0.0116,-0.015,-0.0133,-0.0112,-0.0152,-0.004,-0.0043,0.0039,0.0014,0.0062,-0.0018,-0.0017,-0.0023,0.0029,0.0043,0.0025,0.0031,0.0041
2003-07-26,-1.4575,29.4856,NO,,0.0775,0.0405,0.0252,0.0113,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2003-07-26,-1.4575,29.4856,O,,0.082,0.0618,0.0504,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-26,-1.4575,29.4856,S,,0.0769,0.0701,0.0366,0.0276,0.0187,0.011,0.0043,0.002,0.0018,0.0025,-0.002,-0.0021,-0.0024,0.0063,0.0019,0.0004,-0.0035,-0.0041,-0.004,-0.0042,-0.0041,-0.0042,-0.0045,-0.0049,-0.0017,0.0023,0.0064,0.0111,0.0093
2003-07-26,-1.4575,29.4856,SE,,0.0697,0.0392,0.0365,0.0339,0.0322,0.0286,0.0189,0.0165,0.0112,0.0076,-0.0003,-0.001,-0.0048,-0.0062,-0.0044,-0.0029,0.0023,0.0058,0.0014,-0.0071,0.0025,-0.0064,0.0035,0.0016,-0.0005,0.0035,-0.0003,0.006,0.0047
