date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-01,38.4051,14.9609,E,0.2903,0.2513,0.1969,0.1378,0.1053,0.0913,0.1093,0.1073,0.0743,0.0188,-0.0098,-0.005,0.0083,-0.0209,-0.0399,-0.0508,-0.0508,-0.0479,-0.044,-0.0381,-0.0316,-0.0276,-0.0262,0.0158,0.0369,0.0405,0.0292,0.0458,0.0166,-0.0127
2000-07-01,38.4051,14.9609,N,,0.1099,0.0662,0.0078,0.0034,-0.0281,-0.0527,-0.0668,-0.0678,-0.0839,-0.111,-0.1258,-0.1041,-0.0967,-0.068,-0.0454,-0.0394,-0.0412,-0.0258,-0.0155,0.0184,0.0556,0.0564,0.0513,0.0813,0.0456,0.0421,0.0202,0.0108,0.0021
2000-07-01,38.4051,14.9609,NE,0.2285,0.2313,0.1903,0.125,0.0765,0.0593,0.0479,0.0606,0.0714,0.0642,0.0819,0.0709,0.0752,0.0227,-0.0744,-0.0665,-0.0865,-0.0728,-0.076,-0.0788,-0.0616,-0.0423,-0.0336,-0.0099,-0.018,-0.0123,0.0121,0.0294,0.0474,0.0582
2000-07-01,38.4051,14.9609,NO,0.1664,0.1614,0.1379,0.0885,0.0331,-0.0095,-0.0584,-0.08,-0.0822,-0.1246,-0.1271,-0.155,-0.1384,-0.0727,0.0004,0.0299,0.0327,0.0143,-0.009,-0.0109,0.0283,0.0515,0.0728,0.0723,0.0912,0.0576,0.0366,0.0208,0.0109,-0.0005
2000-07-01,38.4051,14.9609,O,,0.2083,0.1807,0.1517,0.1067,0.0758,0.0523,0.0275,0.0135,-0.0112,-0.0222,0.0272,0.0566,0.0495,-0.0064,-0.0148,-0.0086,-0.0211,-1e-04,0.0017,-0.0109,-0.0198,-0.0219,-0.0084,-0.005,-0.0132,-0.0244,-0.023,-0.0166,0.0049
2000-07-01,38.4051,14.9609,S,,0.3343,0.2723,0.286,0.2446,0.1986,0.1665,0.1554,0.1546,0.0589,0.0313,-0.0337,-0.0206,0.0002,-0.0076,0.0008,-0.0123,-0.0692,-0.0723,-0.0958,-0.099,-0.0983,-0.0953,-0.0551,0.0059,0.0223,0.0612,0.0966,0.1,0.0874
2000-07-01,38.4051,14.9609,SE,,0.2572,0.2205,0.1604,0.1186,0.0753,0.0776,0.0787,0.0328,-0.0224,-0.0289,-0.0281,-0.0192,0.0069,0.0096,0.0011,-0.0011,-0.0546,-0.0652,-0.0734,-0.0712,-0.0523,0.011,-0.0119,0.0223,0.0084,0.0009,0.0096,-0.0187,-0.0059
2000-07-01,38.4051,14.9609,SO,0.2913,0.2684,0.2441,0.2298,0.2247,0.2183,0.2109,0.1765,0.1565,0.121,0.0939,0.0796,0.0225,-0.012,-0.0418,-0.0761,-0.088,-0.1081,-0.1137,-0.1175,-0.1136,-0.0969,-0.0661,-0.0688,-0.048,-0.0256,0.0228,0.0851,0.1339,0.1608
2000-08-27,38.4051,14.9613,E,0.29,0.2491,0.1902,0.1374,0.108,0.0971,0.0974,0.1024,0.0684,0.0242,-0.0034,-0.012,-0.0102,-0.0178,-0.0259,-0.0379,-0.0429,-0.0383,-0.0325,-0.0263,-0.0206,-0.0144,-0.0109,0.0099,0.0185,0.0101,-0.0017,0.0014,0.0045,0.0045
2000-08-27,38.4051,14.9613,N,,0.1064,0.0555,0.052,0.0262,-0.0103,-0.0297,-0.0328,-0.0531,-0.0888,-0.1003,-0.1014,-0.0858,-0.0784,-0.0647,-0.0616,-0.0546,-0.0379,-0.022,0.027,0.0453,0.0462,0.0503,0.081,0.0543,0.052,0.0212,0.0041,-0.017,-0.0143
