date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-04,-37.5216,177.181,E,,-0.0136,-0.0427,-0.0603,-0.0721,-0.06,-0.0482,-0.0304,-0.03,-0.0242,-0.0127,-0.0193,-0.0318,-0.0424,-0.0542,-0.0427,-0.0294,-0.0324,-0.0366,-0.0082,-0.0023,0.0036,0.0096,0.0043,0.0157,0.0409,0.0511,0.0162,0.0102,-0.0156
2000-02-04,-37.5216,177.181,N,0.1854,0.1567,0.1509,0.1683,0.174,0.1911,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-04,-37.5216,177.181,NE,,0.0251,-0.0039,-0.0234,-0.0338,-0.022,-0.0141,-0.0,0.0053,0.0022,0.0112,-0.001,-0.0068,-0.0379,,,,,,,,,,,,,,,,
2000-02-04,-37.5216,177.181,NO,,0.0012,0.0258,0.0348,0.0695,0.0351,0.048,0.0028,-0.0188,-0.0211,-0.0041,-0.0014,0.0043,0.0223,0.0317,,,,,,,,,,,,,,,
2000-02-04,-37.5216,177.181,O,0.0922,0.1072,0.1046,0.0948,0.0895,0.0949,0.1044,0.1167,0.1238,0.1183,0.0882,0.0017,-0.0391,-0.0637,-0.0582,-0.0438,-0.0371,-0.0283,-0.0231,-0.0168,-0.0149,-0.012,0.0054,0.0176,0.0378,0.0449,0.0345,-0.0044,-0.0423,-0.0711
2000-02-04,-37.5216,177.181,S,0.1376,0.1753,0.1878,0.186,0.1739,0.1067,0.0403,0.0358,0.0067,-0.0158,-0.029,-0.0231,-0.0298,-0.0316,-0.0255,-0.0179,-0.0068,0.0033,0.0183,0.0249,0.0309,0.0258,0.017,0.0289,0.0117,-0.0132,-0.0125,-0.0228,-0.029,-0.029
2000-02-04,-37.5216,177.181,SE,,0.128,0.1325,0.1549,0.1347,0.1223,0.1073,0.0603,0.0323,0.027,-0.0094,-0.0039,0.0002,-0.0078,0.0071,-0.0011,-0.0011,0.0082,-0.0111,-0.0119,-0.0091,-0.0205,-0.0029,-0.0046,0.011,-0.0066,-0.0201,-0.0026,0.0121,0.0173
2000-02-04,-37.5216,177.181,SO,,0.1638,0.1642,0.1669,0.154,0.1424,0.1078,0.1132,0.1207,0.0602,-0.0124,-0.0522,-0.0562,-0.0354,-0.0139,0.0097,0.0164,0.0246,0.0128,0.0334,0.0279,0.0023,-0.0033,-0.0095,-0.0095,-0.0095,-0.0095,-0.0095,-0.0095,-0.0095
2000-08-14,-37.5216,177.181,E,,,,-0.0414,-0.039,-0.0305,-0.0166,0.0017,0.0026,-0.0142,-0.0192,-0.0197,-0.0025,0.0007,-0.0229,-0.0096,0.0044,0.0152,0.0135,0.0089,0.0046,0.0003,0.0023,0.0078,0.004,0.0021,0.0,0.0012,0.0065,-0.0299
2000-08-14,-37.5216,177.181,N,,,,0.0273,0.0273,0.0273,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14,-37.5216,177.181,NE,,,,0.0296,0.0318,0.0273,0.0273,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14,-37.5216,177.181,NO,,,,-0.1387,-0.1211,-0.0913,-0.0639,-0.0474,-0.0223,-0.0076,0.0023,0.0008,0.0047,0.0271,-0.0056,,,,,,,,,,,,,,,
2000-08-14,-37.5216,177.181,O,,,,,,,,,0.0796,0.0942,0.1252,0.119,-0.005,-0.0435,-0.0435,-0.0435,-0.0435,-0.0436,-0.0436,-0.0436,-0.0436,-0.0436,-0.03,-0.0187,-0.0074,0.0015,0.0059,0.0236,0.0366,0.0496
2000-08-14,-37.5216,177.181,S,,,,,,,,,,,,,,,,,0.0083,0.0052,-0.0015,-0.0082,-0.0145,-0.0144,-0.0131,-0.017,-0.0114,-0.0037,-0.0033,-0.0067,0.0098,0.0153
2000-08-14,-37.5216,177.181,SE,,,,,0.0669,0.0679,0.0769,0.0326,-0.0134,0.0057,-0.029,-0.0135,-0.0356,-0.0431,0.0054,-0.0104,0.0222,0.0234,0.0229,-0.0239,-0.0198,-0.0008,0.0078,0.034,0.0406,0.0476,0.0573,-0.0032,0.0122,0.0081
2000-08-14,-37.5216,177.181,SO,,,,,,,,,,,,,,,,,,,,,0.0091,0.0007,-0.0226,-0.0132,0.0002,0.0002,0.0023,0.0044,0.0044,0.0044
2001-01-05,-37.5216,177.181,E,,-0.0975,,,,,,,,,,,,,,,,,,-0.0351,-0.0192,-0.0033,-0.0183,-0.0282,-0.0085,-0.0024,0.0202,0.0167,0.0088,-0.0166
2001-01-05,-37.5216,177.181,N,0.1583,0.117,,0.111,0.111,0.1668,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-05,-37.5216,177.181,NE,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-05,-37.5216,177.181,NO,,-0.0881,-0.0833,-0.0585,-0.0608,-0.0403,-0.0206,-0.0072,-0.0048,-0.0112,-0.0033,0.0037,0.0059,0.0093,0.0044,,,,,,,,,,,,,,,
2001-01-05,-37.5216,177.181,O,0.0392,0.0762,0.0792,0.0773,0.0849,0.0949,0.104,0.1221,0.1217,0.1052,0.0609,-0.0125,-0.0448,-0.0549,-0.0572,-0.0491,-0.0383,-0.0278,-0.017,-0.0057,-0.0048,-0.0072,0.0184,0.0271,0.0365,0.0534,0.0387,-0.0074,-0.0544,-0.0947
2001-01-05,-37.5216,177.181,S,0.1385,0.138,0.1359,0.133,0.0904,0.062,0.0487,,,,,,-0.0652,-0.0306,-0.0192,-0.0114,-0.0043,0.002,0.0098,0.0144,0.011,0.0206,0.01,0.0039,-0.0038,-0.0076,-0.0079,-0.0088,-0.0088,-0.0088
2001-01-05,-37.5216,177.181,SE,,-0.4517,-0.4534,,,,,,,,,,,,,,,,,,,,,,,,,,0.0115,0.0358
2001-01-05,-37.5216,177.181,SO,,0.1307,0.1617,0.1292,0.1317,0.1062,0.0348,0.0613,0.0314,-0.0033,-0.0305,-0.045,-0.0426,-0.0223,-0.0008,0.0257,0.038,0.0474,0.0337,0.0521,0.0326,0.0203,0.0064,-0.0088,-0.0188,-0.0251,-0.0251,-0.0251,-0.0251,-0.0251
2001-06-30,-37.5216,177.181,E,,-0.0537,-0.0581,-0.0582,-0.0671,-0.0672,-0.0532,-0.0512,-0.0721,-0.0717,-0.0756,-0.0764,-0.0687,-0.0585,0.003,-0.0025,0.008,0.0058,0.0021,0.0069,0.0136,0.0202,0.0207,0.0194,0.0205,0.0263,0.0308,0.0187,0.0083,-0.015
2001-06-30,-37.5216,177.181,N,0.0574,0.0661,0.079,0.0959,0.1001,0.1106,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,-37.5216,177.181,NE,,-0.0012,0.0049,0.0025,0.0098,0.0037,-0.0032,-0.0072,-0.0084,-0.0065,-0.012,0.0021,0.0138,0.047,,,,,,,,,,,,,,,,
2001-06-30,-37.5216,177.181,NO,,-0.077,-0.0709,-0.0616,-0.0491,,-0.0417,-0.0164,0.0121,0.0124,0.0205,0.0122,0.0031,0.0009,-0.0077,,,,,,,,,,,,,,,
2001-06-30,-37.5216,177.181,O,,,0.011,0.013,0.0215,0.0237,0.0703,0.0846,0.1006,0.1046,0.0661,0.0298,-0.0097,-0.0328,-0.0378,-0.0343,-0.0365,-0.0385,-0.0395,-0.0368,-0.0418,-0.0428,-0.0394,-0.0364,-0.0367,-0.0331,-0.0163,0.0094,0.0257,0.0547
2001-06-30,-37.5216,177.181,S,0.0159,0.014,0.0104,0.0158,0.0356,0.0666,0.0365,0.0275,0.0277,0.0234,0.02,0.0188,0.0114,0.0012,-0.0022,-0.0068,-0.0118,-0.0141,-0.0153,-0.0192,-0.0197,-0.0161,-0.0089,-0.011,-0.0034,0.0037,-0.0002,-0.0014,-0.0049,0.0034
2001-06-30,-37.5216,177.181,SE,,0.0589,0.0581,0.0598,0.0558,0.0569,0.053,0.0142,-0.0248,-0.0341,-0.0362,-0.0159,-0.0118,-0.0241,-0.0228,-0.0102,-0.0265,-0.0196,-0.0204,-0.0172,-0.0179,-0.0174,-0.0048,-0.007,0.0027,0.0012,0.0044,0.0067,0.0056,0.0141
