date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-08-14,-37.5224,177.1855,E,0.0838,0.0678,0.0472,0.0305,0.0305,0.0261,0.0084,-0.031,-0.0429,-0.0321,-0.0214,0.0084,-0.0018,0.0185,0.0517,0.0452,0.0396,0.0308,0.0175,0.0115,-0.0226,-0.034,-0.0268,-0.0003,0.0107,-0.0014,0.0004,0.0011,-0.0122,-0.0293
2000-08-14,-37.5224,177.1855,N,0.1215,0.1549,0.147,0.115,0.0772,0.0442,0.0214,0.0219,0.0221,0.023,0.0266,0.0373,0.0251,0.0197,0.0211,0.0095,-0.0174,-0.0203,-0.0047,-0.0132,0.0015,0.0061,0.0039,0.0026,-0.013,-0.0192,-0.0074,-0.0095,-0.014,-0.014
2000-08-14,-37.5224,177.1855,NE,,0.1321,0.0995,0.084,0.0577,0.0555,0.042,0.0124,-0.0168,-0.029,-0.0181,0.0149,0.0192,0.0016,-0.0018,-0.0013,-0.0089,-0.0077,-0.011,-0.0076,-0.0004,0.0017,0.0058,0.0117,0.0092,0.003,-0.0047,0.0036,-0.0003,0.0028
2000-08-14,-37.5224,177.1855,NO,,0.0725,0.0987,0.088,0.0592,0.0496,0.0325,0.0222,0.0332,0.0098,0.0257,0.0257,0.0327,0.0295,0.021,0.0238,0.0345,0.0219,0.0221,0.0076,0.0002,-0.0102,-0.0182,-0.0245,-0.0199,-0.024,-0.0358,-0.0358,-0.0358,-0.0381
2000-08-14,-37.5224,177.1855,O,,0.0735,0.0718,0.0618,0.0434,0.039,0.0,-0.011,0.0171,0.0238,0.0513,0.0677,0.0643,0.0087,-0.0494,-0.0442,-0.0148,0.0017,-0.0193,-0.0234,-0.0178,-0.0224,-0.0213,-0.0215,-0.0039,-0.014,-0.0167,-0.0131,0.0002,0.0019
2000-08-14,-37.5224,177.1855,S,0.1504,0.1412,0.1567,0.1493,0.1219,0.1363,0.064,-0.0136,-0.0199,0.0163,0.004,,,,,,,,,,,-0.0099,,0.0109,,,,,,
2000-08-14,-37.5224,177.1855,SE,,0.1301,0.1077,0.0829,0.0531,0.0183,0.0033,-0.0161,-0.014,-0.0143,-0.0142,-0.0285,-0.0212,-0.0205,-0.0197,-0.0163,0.0146,0.0123,0.0251,0.0083,-0.0051,0.0038,0.0006,0.0163,-0.004,-0.0023,-0.0027,-0.003,0.0039,0.0004
2000-08-14,-37.5224,177.1855,SO,,0.0955,0.0943,0.0832,0.1008,0.0732,0.0587,0.0458,0.0307,0.0487,0.0463,0.0544,0.0347,-0.0164,-0.059,-0.0058,0.0028,-0.0618,0.0125,0.0089,-0.0048,-0.0172,-0.0025,-0.0085,-0.0163,-0.0055,-0.0207,-0.0344,-0.0167,-0.0017
2000-09-15,-37.5218,177.1841,E,0.0317,0.0076,-0.0084,-0.0184,-0.013,0.015,,-0.0169,-0.0341,-0.025,-0.0035,0.0079,0.0071,0.0221,-0.0153,-0.0158,-0.0002,-0.0005,-0.0002,0.0075,0.0114,0.0115,0.0116,0.015,0.0124,0.0146,0.0071,-0.0033,-0.0207,-0.0408
2000-09-15,-37.5218,177.1841,N,,0.0367,0.0011,0.0054,0.015,0.0069,0.0358,0.0028,-1e-04,0.0058,-0.0106,-0.0141,0.0037,0.0131,0.028,0.0463,0.0363,0.011,0.0246,0.0084,-0.0208,0.0022,0.0037,0.0088,0.0128,0.0058,-0.0119,-0.002,-0.0438,-0.0637
