date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-04,-37.5215,177.185,E,0.1463,0.0107,-0.0574,-0.079,-0.0513,0.0226,0.0636,0.0692,0.0261,-0.0452,-0.0764,-0.0772,-0.0439,0.0219,0.0411,0.0143,0.0095,0.023,0.0344,0.0364,0.0351,0.0391,0.0326,0.0299,0.0199,0.0132,-0.0099,-0.0459,-0.0893,-0.1205
2000-02-04,-37.5215,177.185,N,0.3153,0.2571,0.1466,0.1105,0.1095,0.0973,0.1095,0.1018,0.0984,0.0841,0.0702,0.0522,0.0154,-0.0223,-0.0143,-0.0349,-0.0118,0.0125,0.0261,0.0342,0.0619,0.0621,0.052,0.0258,-0.0318,-0.0503,-0.0753,-0.0753,-0.0753,-0.0753
2000-02-04,-37.5215,177.185,NE,,0.1344,0.0096,-0.0068,0.0315,0.0533,0.0756,0.0824,0.0559,0.0065,-0.0748,-0.1,-0.0917,-0.0296,-0.0293,-0.009,0.0203,0.0175,0.0288,0.0307,0.0278,0.0386,0.0494,0.0511,0.0499,0.0342,-0.0129,-0.0531,-0.1108,-0.1108
2000-02-04,-37.5215,177.185,NO,,0.2662,0.1897,0.1358,0.0797,0.0639,0.065,0.0682,0.062,0.0395,0.0457,0.046,0.0404,0.0472,0.0595,0.0557,0.0515,0.0519,0.0516,0.0582,0.0643,0.0648,0.0634,0.053,0.0293,-0.0278,-0.0778,-0.1292,-0.1329,-0.1329
2000-02-04,-37.5215,177.185,O,0.3357,0.3794,0.3587,0.2851,0.1809,0.1575,0.1491,0.1294,0.1073,0.0897,0.0613,0.0521,0.0538,0.0624,0.0711,0.0585,0.0237,-0.0004,-0.0182,-0.0235,-0.0264,-0.0218,-0.0136,-0.0042,0.0049,0.0163,0.0238,0.0115,-0.0067,-0.0482
2000-02-04,-37.5215,177.185,S,0.4048,0.3994,0.3475,0.3339,0.2665,0.1401,0.306,,,,,,,,,,,,,,,,,,,,,,,
2000-02-04,-37.5215,177.185,SE,,0.2291,0.1487,0.112,0.0563,0.0097,-0.0111,-0.0142,-0.0107,-0.002,0.005,0.0101,0.0103,-0.0122,,,,,,,,,,,,,,,,
2000-02-04,-37.5215,177.185,SO,,0.3603,0.3535,0.3161,0.2924,0.2418,0.1414,0.0162,-0.0145,-0.0224,-0.0191,-0.0053,0.017,0.039,0.0517,,,,,,,,,,,,,,,
2000-08-14,-37.5215,177.185,E,-0.0235,-0.0323,-0.0367,-0.0537,-0.0765,-0.0805,-0.0798,-0.0786,-0.0782,-0.0772,-0.0741,-0.0496,-0.0085,0.0312,0.0568,0.0524,0.0209,-0.0018,-0.0203,-0.0074,-0.0032,0.0115,0.0173,0.0213,0.0164,0.0163,-0.0049,-0.0323,-0.0479,-0.0537
2000-08-14,-37.5215,177.185,N,0.005,0.0096,0.0166,0.0539,0.0668,0.0646,0.0625,0.0276,0.0188,0.0099,-0.0035,-0.0035,-0.0012,-0.0099,-0.0303,-0.0322,-0.0155,0.0121,-0.0007,-0.0024,0.0331,0.0154,0.0238,0.0099,0.0007,-0.0083,-0.0084,-0.0173,-0.022,-0.022
2000-08-14,-37.5215,177.185,NE,,-0.0112,-0.0051,-0.0149,-0.0069,-0.0483,-0.0518,-0.0414,-0.0461,-0.0482,-0.0592,-0.0673,-0.0352,0.0096,0.0106,0.0259,0.0121,0.0066,0.0089,0.0147,0.0234,0.0238,0.029,0.0269,0.0206,0.0108,0.0151,-0.0073,-0.013,-0.0175
2000-08-14,-37.5215,177.185,NO,,0.0131,0.036,0.0816,0.0956,0.0927,0.0759,0.0612,0.0425,0.0732,0.0572,0.0351,0.0187,0.0304,0.0486,0.0527,0.0357,0.0561,0.021,0.0359,0.0287,0.0016,-0.0075,-0.0075,-0.0166,-0.0257,-0.0382,-0.0427,-0.0444,-0.0431
2000-08-14,-37.5215,177.185,O,0.0462,0.0767,0.1084,0.149,0.1726,0.1822,0.1652,0.147,0.115,0.0713,0.0493,0.0503,0.0523,0.0912,0.1227,0.1227,0.0594,-0.006,-0.0583,-0.0685,-0.0681,-0.0602,-0.0554,-0.0554,-0.0469,-0.0406,-0.0395,-0.0359,-0.0278,-0.0174
2000-08-14,-37.5215,177.185,S,0.0776,0.0821,0.0369,0.0233,0.0,0.0,0.0187,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14,-37.5215,177.185,SE,,0.037,0.0233,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,
2000-08-14,-37.5215,177.185,SO,,0.0067,0.0141,0.0279,0.0423,0.0445,0.0477,0.0063,-0.0036,-0.0099,-0.0033,-0.0167,-0.0143,0.0306,0.0272,,,,,,,,,,,,,,,
2001-01-05,-37.5215,177.185,E,0.0863,0.0055,-0.0017,0.0147,0.0383,0.0612,0.0727,0.0702,0.0519,0.0082,-0.0292,-0.0602,-0.0309,0.0266,0.0563,0.0471,0.0441,0.0542,0.0561,0.0552,0.047,0.0363,0.0377,0.0326,0.0212,-0.0,-0.0118,-0.0341,-0.0852,-0.1148
2001-01-05,-37.5215,177.185,N,0.1933,0.1362,0.0814,0.1206,0.13,0.1384,0.1441,0.1312,0.1224,0.1125,0.0872,0.0555,0.0185,-0.0143,-0.0032,-0.0218,-0.0376,0.0,0.0175,0.0094,0.0107,0.0326,0.0279,-0.0056,-0.0316,-0.0703,-0.0965,-0.0965,-0.0965,-0.0965
2001-01-05,-37.5215,177.185,NE,,0.0831,0.0512,0.0652,0.0882,0.1077,0.1154,0.1311,0.1014,0.0648,-0.0152,-0.0714,-0.0733,-0.0469,-0.0308,-0.0081,0.0073,0.0172,0.0287,0.0267,0.0326,0.0421,0.0455,0.0442,0.0413,0.0198,-0.0286,-0.0573,-0.1103,-0.1103
2001-01-05,-37.5215,177.185,NO,,0.1166,0.0732,0.082,0.0834,0.0893,0.1026,0.1053,0.0957,0.0812,0.0722,0.0611,0.0693,0.0716,0.0681,0.0654,0.0585,0.0476,0.0566,0.0627,0.057,0.0634,0.0484,0.034,0.0336,0.01,-0.0391,-0.1351,-0.1728,-0.1728
2001-01-05,-37.5215,177.185,O,0.1949,0.2303,0.2255,0.1994,0.1612,0.1502,0.1403,0.12,0.1152,0.0973,0.0759,0.0635,0.061,0.0584,0.0472,0.0282,0.0007,-0.0079,-0.0122,-0.0172,-0.0202,-0.0158,-0.0074,0.0095,0.0195,0.0336,0.0369,0.012,-0.016,-0.0732
2001-01-05,-37.5215,177.185,S,0.2818,0.2581,0.1793,0.1296,0.0979,0.0462,0.1296,,,,,,,,,,,,,,,,,,,,,,,
2001-01-05,-37.5215,177.185,SE,,0.1856,0.1421,0.1011,0.0754,0.0396,0.0198,,,,,,,,,,,,,,,,,,,,,,,
2001-01-05,-37.5215,177.185,SO,,0.1974,0.1957,0.1952,0.1364,0.1013,0.0431,-0.0023,-0.0158,-0.009,0.0036,0.004,0.0021,0.0011,0.0026,,,,,,,,,,,,,,,
2001-06-30,-37.5215,177.185,E,-0.0198,-0.0202,-0.0251,-0.0279,-0.0337,-0.049,-0.0572,-0.0564,-0.0376,-0.0461,-0.0587,-0.0565,-0.0384,0.0126,0.0221,0.0195,0.0395,0.0337,0.0237,0.0102,0.0045,0.0018,0.0065,0.0099,0.0085,0.0085,0.0035,-0.0078,-0.024,-0.0216
2001-06-30,-37.5215,177.185,N,-0.0355,-0.0165,,,,,,,,,,,,,,-0.0446,-0.0411,-0.0387,-0.0304,-0.031,0.0083,0.0083,0.0221,0.0168,0.0166,0.0097,0.0097,0.0135,0.014,0.014
2001-06-30,-37.5215,177.185,NE,,-0.0262,-0.0371,-0.0452,-0.0599,-0.0617,-0.0485,-0.0367,-0.0243,-0.0185,-0.0153,-0.0105,-0.0178,0.021,-0.0003,0.0146,0.0013,0.0058,0.0049,0.001,0.0033,0.0016,-0.0003,-0.0055,-0.0035,0.0031,0.0026,0.0107,0.0153,0.0151
2001-06-30,-37.5215,177.185,NO,,-0.0338,-0.0011,0.0301,0.0633,0.062,0.0417,0.0284,0.0313,0.0558,0.0477,0.0326,0.0306,0.0307,0.0271,0.0257,0.021,0.0231,0.0168,0.0202,0.0143,-0.0038,-0.014,-0.0244,-0.0535,-0.046,-0.024,-0.0147,-0.0084,-0.0041
2001-06-30,-37.5215,177.185,O,0.0086,0.0136,0.035,0.0692,0.1025,0.126,0.1165,0.1033,0.0821,0.0548,0.0444,0.0335,0.0344,0.0479,0.0587,0.0485,0.0307,0.0022,-0.0352,-0.0348,-0.0335,-0.0326,-0.0325,-0.0318,-0.0308,-0.0303,-0.0298,-0.023,-0.0244,-0.0105
2001-06-30,-37.5215,177.185,S,0.0406,0.0495,0.0886,0.0801,0.0801,0.0843,0.0539,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,-37.5215,177.185,SE,,0.0135,0.0437,0.0578,0.048,0.0209,0.0144,-0.0055,-0.0028,-0.0184,-0.0211,-0.0156,-0.0024,0.013,,,,,,,,,,,,,,,,
2001-06-30,-37.5215,177.185,SO,,-0.076,-0.0712,-0.0758,-0.0656,-0.034,0.0106,0.0101,,0.0019,-0.0024,-0.003,-0.0086,0.0082,0.0057,,,,,,,,,,,,,,,
2002-02-25,-37.5215,177.185,E,0.0117,0.0114,0.0167,0.0369,0.047,0.0513,0.0435,0.0248,-0.0102,-0.0606,-0.1107,-0.0882,-0.0279,0.0059,0.0291,0.0366,0.0277,0.0261,0.0268,0.0344,0.0367,0.0338,0.037,0.0348,0.0326,0.0286,1e-04,-0.0337,-0.0742,-0.1007
2002-02-25,-37.5215,177.185,N,0.0537,0.044,0.0543,0.1024,0.1082,0.1107,0.1091,0.0868,0.0767,0.0711,0.0498,0.0381,0.026,-0.0004,-0.0107,-0.0423,-0.0231,0.0143,0.0191,0.0222,0.0225,0.0454,0.0438,0.0114,-0.0204,-0.028,-0.0641,-0.0688,-0.0688,-0.0688
2002-02-25,-37.5215,177.185,NE,,0.034,0.062,0.0839,0.0885,0.0871,0.0867,0.0899,0.0466,0.004,-0.0635,-0.0777,-0.0607,-0.018,-0.0123,0.0102,0.0146,0.0175,0.0237,0.0249,0.0308,0.0363,0.0343,0.0373,0.0321,0.015,-0.0164,-0.0512,-0.0748,-0.0772
2002-02-25,-37.5215,177.185,NO,,0.0083,0.0239,0.0745,0.0941,0.0922,0.087,0.0843,0.0767,0.0708,0.0584,0.0566,0.0453,0.0518,0.0627,0.0458,0.0405,0.0421,0.0399,0.0464,0.0462,0.0409,0.0406,0.0239,0.0187,-0.0115,-0.045,-0.1142,-0.1339,-0.1339
