date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-04-02,-5.572,150.5167,E,,,,,,,,,,,,-0.017,-0.0023,0.0021,-0.0022,0.0021,0.0088,0.0128,0.0051,0.0044,0.0142,0.0209,-0.0005,-0.007,-0.0051,-0.0005,0.0035,0.0028,,
2000-04-02,-5.572,150.5167,N,0.2201,0.2068,0.1666,0.1,0.0486,0.0346,0.0278,0.0266,0.0299,0.0237,0.0165,0.0031,-0.0045,-0.0116,-0.0148,-0.0125,-0.0131,-0.0103,-0.0143,-0.0024,-0.003,-0.0041,-0.0118,-0.0052,0.0093,0.0024,-0.0048,-0.0049,-0.0121,-0.0123
2000-04-02,-5.572,150.5167,NE,,,0.2048,0.1529,0.0824,0.0502,0.0424,0.046,,,,,,,,,,,,,,,,,,,,,,
2000-04-02,-5.572,150.5167,NO,,0.2259,0.1963,0.1306,0.0609,0.0473,0.0368,0.0284,0.0165,0.0264,0.0153,0.0089,0.0066,0.0037,0.0069,0.0015,-0.0058,-0.0145,-0.0127,-0.0119,-0.0104,-0.0098,-0.0074,-0.0069,-0.0047,0.0005,0.005,0.0141,0.0136,0.0197
2000-04-02,-5.572,150.5167,O,0.2203,0.1866,0.1207,0.0632,0.0453,0.0093,0.0787,0.0229,0.0081,,,0.0366,0.0368,-0.0169,-0.0171,-0.0099,-0.0163,-0.0174,-0.0197,-0.0145,-0.0058,-0.0054,0.0043,0.0044,0.0008,0.0007,0.0018,0.007,0.007,0.0072
2000-04-02,-5.572,150.5167,S,,0.1802,0.1508,0.1596,,0.1576,0.1402,0.1505,0.136,0.1056,0.0483,0.0185,0.0093,-0.0123,-0.0129,-0.008,-0.0042,-0.0056,-0.0063,-0.0044,-0.0024,-0.0027,-0.0014,0.0006,0.002,-0.0021,0.0012,0.0061,0.0089,0.0098
2000-04-02,-5.572,150.5167,SE,0.2233,,,,,,,,,,,,0.0018,0.0055,0.0024,-0.0045,-0.0059,-0.0003,-0.0003,-0.0005,-0.0002,-0.0008,-0.0018,-0.0019,-0.0021,-0.003,0.0025,0.0021,0.0017,0.0023
2000-04-02,-5.572,150.5167,SO,,0.1101,0.0828,0.0923,0.0881,0.0573,0.0696,0.0206,0.0496,0.0131,0.0143,-0.0155,-0.0335,-0.0509,-0.0505,,,,,,,-0.0078,-0.009,-0.0201,-0.0138,0.0015,-0.0013,0.003,0.0035,-0.0067
2000-12-30,-5.5736,150.511,E,0.0439,,,,,,,,,,,,,,,-0.0037,0.0002,0.0005,-0.0018,-0.0016,-0.0016,0.0048,0.004,-0.0028,0.0,-0.0029,-0.0026,-0.0043,-0.0041,-0.0036
2000-12-30,-5.5736,150.511,N,0.0279,0.0208,0.0146,0.0064,0.0041,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2000-12-30,-5.5736,150.511,NO,,0.006,0.0,0.0045,0.0,0.0076,0.0081,0.0082,,,,,,,,,,,,,,,,,,,,,,
2000-12-30,-5.5736,150.511,O,0.0084,-0.002,-0.0004,-0.0017,0.011,0.0106,0.0095,0.0004,-0.0008,0.0025,0.0031,-0.0004,0.0017,0.0061,-0.0066,-0.0093,-0.0018,-0.0036,-0.0042,-0.001,-0.0011,-0.0008,0.0022,-0.0015,0.0015,-0.0016,-0.0027,-0.002,0.0029,0.0081
2000-12-30,-5.5736,150.511,S,,0.0178,0.0177,0.0073,0.0071,0.0072,0.0177,0.0228,0.0068,0.0071,0.0068,0.0069,0.0067,0.0065,-0.0028,-0.0033,-0.0078,-0.0033,-0.0037,-0.0034,-0.0038,-0.0038,-0.0034,0.0072,0.0071,0.0067,-0.0036,-0.0041,-0.0042,-0.004
2000-12-30,-5.5736,150.511,SE,,,,,,0.0211,,,,0.0059,-0.0011,-0.0023,-0.005,-0.0051,-0.0055,-0.0057,-0.0051,-0.0016,0.003,-0.0018,0.0074,0.0071,0.0004,-0.0006,-0.0009,-0.0024,-0.0044,0.0044,0.0035,0.002
