date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-05-16,0.0152,-91.3531,E,0.2905,0.2726,0.2674,0.2771,0.3098,0.3047,0.276,0.2468,0.1879,0.1387,0.0988,0.0801,0.0515,0.0464,0.0391,0.0174,-0.0067,-0.0164,-0.0248,-0.0236,-0.0162,-0.0385,-0.0452,-0.0509,-0.0486,-0.0547,-0.066,-0.0708,-0.0511,-0.0734
2000-05-16,0.0152,-91.3531,N,0.3358,0.3613,0.369,0.3614,0.3712,0.3347,0.2867,0.21,0.0886,0.0552,0.0649,0.062,0.0625,0.0561,0.0531,0.0334,0.0041,-0.0008,-0.0153,-0.0164,-0.0117,-0.0186,-0.0127,-0.0156,-0.0185,-0.0284,-0.0346,-0.0384,-0.0414,-0.0448
2000-05-16,0.0152,-91.3531,NE,,0.4905,0.4714,0.4288,0.385,0.3209,0.2143,0.124,0.0728,0.0613,0.0533,0.0596,0.0629,0.0664,0.0465,0.0206,0.0072,-0.0108,-0.0194,-0.0224,-0.0194,-0.0161,-0.0194,-0.0192,-0.0192,-0.0161,-0.0194,-0.0177,-0.0161,-0.0161
2000-05-16,0.0152,-91.3531,NO,,0.266,0.2206,0.1807,0.129,0.0793,0.0686,0.1192,0.1027,0.0648,0.0173,0.004,-0.0056,0.0018,0.0086,0.034,0.0114,0.0279,0.0323,0.0196,-0.0136,-0.0469,-0.0371,-0.0202,-0.0232,-0.0136,-0.0122,-0.0038,-0.0094,-0.0228
2000-05-16,0.0152,-91.3531,O,0.2008,0.142,0.0769,-0.015,-0.0653,-0.0665,-0.0463,-0.0362,-0.0437,-0.046,-0.0842,-0.076,-0.0419,-0.0049,0.0174,0.019,0.0006,0.0056,0.0114,0.0026,-0.0066,-0.0127,-0.022,0.0005,0.0059,0.0189,0.0245,0.044,0.0582,0.0732
2000-05-16,0.0152,-91.3531,S,,0.1412,0.1214,0.0938,0.0626,0.0302,-0.0052,-0.0085,-0.0503,-0.0564,-0.0438,-0.0076,0.0132,0.0292,0.0331,0.0367,0.0435,0.0282,0.0149,-0.0031,-0.0132,-0.0146,-0.0093,0.0017,-0.0251,-0.0238,-0.0164,-0.0224,-0.0128,-0.0216
2000-05-16,0.0152,-91.3531,SE,,0.2562,0.2313,0.1739,0.1412,0.1129,0.0924,0.0728,0.0791,0.089,0.0722,0.0515,0.0255,0.0109,-0.0022,-0.0166,-0.004,0.0008,-0.0163,-0.0297,-0.0189,-0.0259,-0.0148,-0.0091,-0.0086,-0.0097,-0.0104,-0.0144,-0.0094,-0.0083
2000-05-16,0.0152,-91.3531,SO,,0.1759,0.1329,0.0926,0.052,-0.0022,-0.0315,-0.086,-0.077,-0.0667,-0.0625,-0.0664,-0.0667,-0.0611,-0.0577,-0.0476,-0.0605,-0.0707,-0.0603,-0.03,0.0006,0.0139,0.0331,0.0503,0.0727,0.0597,0.0801,0.0968,0.0649,0.0805
2001-03-16,0.0212,-91.3545,E,0.2516,0.2519,0.2538,0.2266,0.2229,0.1923,0.21,0.1924,0.1474,0.0973,0.0473,0.0215,0.0132,0.0044,-0.0035,0.0255,-0.0071,-0.0284,-0.0155,-0.0329,-0.034,-0.0148,0.0146,0.0092,0.0127,0.0041,0.0338,0.0172,0.0148,-0.0045
2001-03-16,0.0212,-91.3545,N,0.3895,0.2491,0.1776,0.1401,0.0863,0.0603,0.0359,0.0164,0.0066,-0.0009,-0.0009,0.009,0.0067,0.0015,0.0015,-0.001,0.0017,0.0016,0.0054,0.0087,0.0064,-0.0011,-0.0035,-0.0034,-0.0012,-0.0037,-0.0035,-0.0035,-0.0035,-0.0036
