date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-01-15,15.052,42.1805,E,,-0.0272,-0.0045,0.0178,0.0335,0.0403,0.0405,0.0373,0.031,0.0149,0.0087,0.0093,0.0181,0.0251,0.0218,0.0285,0.0278,0.0357,0.0356,0.0329,0.0286,0.0124,0.0037,-0.0069,-0.012,-0.0091,-0.0144,-0.0147,-0.0083,-0.0084
2001-01-15,15.052,42.1805,N,,-0.1044,-0.0845,-0.0627,-0.0309,-0.0209,-0.0241,-0.0312,-0.0347,-0.0312,-0.0226,-0.0028,0.0027,0.0004,-0.0025,-0.0034,-0.0004,0.0102,0.0392,0.05,0.0761,0.05,0.0399,0.0005,0.0124,0.0,-0.0378,-0.0126,0.0096,0.0333
2001-01-15,15.052,42.1805,NE,-0.0853,-0.061,-0.0377,-0.0197,-0.0142,-0.0108,-0.0063,-0.0069,-0.0057,-0.0009,-0.0069,0.0052,0.0096,0.0071,0.0065,0.0062,-0.0053,0.0061,0.0074,0.0191,0.0165,0.0121,0.0028,0.0018,-0.003,-0.003,-0.0077,-0.001,-0.005,-0.0058
2001-01-15,15.052,42.1805,NO,-0.0702,-0.0375,-0.0299,-0.022,-0.0345,-0.0418,-0.0417,-0.0338,-0.0372,-0.0323,-0.0186,-0.0057,0.0195,0.0132,0.0018,-0.0012,-0.0082,-0.0004,-0.0047,0.0069,-0.0017,0.0023,0.0014,0.0014,0.0021,-0.0042,0.005,0.0053,0.0006,0.0071
2001-01-15,15.052,42.1805,O,,0.0867,0.101,0.114,0.1072,0.0754,0.0458,0.0158,0.0024,0.009,0.0251,0.0477,0.0683,0.082,0.0865,0.0737,0.0601,0.0535,0.038,0.0214,0.0034,-0.0174,-0.0143,-0.0234,-0.0323,-0.039,-0.0486,-0.0483,-0.063,-0.0615
2001-01-15,15.052,42.1805,S,,0.0903,0.073,0.0426,0.0488,0.0559,0.0691,0.0854,0.1004,0.0991,0.0743,0.0595,0.0331,0.0021,-0.0193,-0.0215,-0.0272,-0.0353,-0.0373,-0.0339,-0.0257,-0.0204,-0.0173,-0.0136,-0.0127,-0.0042,-0.0042,0.006,0.0134,0.0258
2001-01-15,15.052,42.1805,SE,-0.0026,-0.0123,0.0113,0.0475,0.0789,0.0961,0.0935,0.0685,0.0651,0.016,-0.0129,-0.0171,-0.0269,-0.0189,-0.0257,-0.0127,-0.0089,0.024,0.0462,0.0531,0.0584,0.0245,-0.0075,-0.0035,-0.0091,0.0013,-0.0014,-0.0179,-0.0226,-0.0282
2001-01-15,15.052,42.1805,SO,0.138,0.1247,0.1179,0.1373,0.1243,0.1186,0.1188,0.0914,0.0497,0.0167,-0.0011,-0.0101,-0.0094,-0.0098,-0.0098,-0.0055,-0.0024,-0.0044,-0.0061,-0.0101,-0.0115,-0.0173,-0.0149,-0.0171,-0.0185,-0.0185,-0.0082,0.0084,0.02,0.0369
2002-02-03,15.052,42.1805,E,,-0.0122,-0.013,-0.0207,-0.0146,0.0058,0.0047,0.0008,-0.0078,-0.0094,-0.011,-0.0117,-0.0109,-0.0093,-0.0096,-0.0008,0.0073,0.019,0.009,-0.0003,-0.0058,-0.0062,-0.005,-0.0055,-0.0077,-0.0023,-0.0034,0.0009,0.001,0.0055
2002-02-03,15.052,42.1805,N,,-0.0549,-0.0416,-0.0319,-0.0151,-0.0103,-0.0211,-0.0271,-0.0319,-0.0265,-0.0133,-0.0031,0.0018,-0.003,-0.0072,-0.0066,-0.003,0.0072,0.0319,0.0385,0.0416,0.0326,0.0127,-0.0049,-0.0117,-0.0117,-0.0117,-0.0116,-0.0092,-0.0092
